	form_bfm	flp	lemma_bfm	cattex	feats_bfm	lemma_src	file_src_bfm	fl	fp
0	tractié	tractié_traité_noun	traité	NOMcom	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	tractié_traité	tractié_noun
1	resplandissanz	resplandissanz_resplendissant_adj	resplendissant	ADJqua	_	DMF	SEustPr1	resplandissanz_resplendissant	resplandissanz_adj
2	loüm	loüm_louer_verb	louer	VERcjg	VerbForm=Fin	DMF	cambps	loüm_louer	loüm_verb
3	Lambiert	lambiert_lambert_propn	Lambert	NOMpro	_	DMF	chartes_hain13	lambiert_lambert	lambiert_propn
4	feisanz	feisanz_faisan_noun	faisan	NOMcom	_	DECT	CharretteKu, PercevalKu	feisanz_faisan	feisanz_noun
5	sali	sali_saillir_verb	saillir	VERcjg	VerbForm=Fin	DMF	aucassin	sali_saillir	sali_verb
6	mercet	mercet_merci_noun	merci	NOMcom	_	DMF	passion	mercet_merci	mercet_noun
7	sorleueiz	sorleueiz_surlever_verb	surlever	VERppe	VerbForm=Part|Tense=Past	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	sorleueiz_surlever	sorleueiz_verb
8	ribault	ribault_ribaud_noun	ribaud	NOMcom	_	no_source	Jouvencel1_manual-seg_pos_lem	ribault_ribaud	ribault_noun
9	Esture	esture_esture_propn	Esture	NOMpro	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	esture_esture	esture_propn
10	Bourbonnoys	bourbonnoys_bourbonnais_propn	Bourbonnais	NOMpro	_	no_source	commyn1_manual_seg_lemm	bourbonnoys_bourbonnais	bourbonnoys_propn
11	prestat	prestat_prêter_verb	prêter	VERcjg	VerbForm=Fin	DMF	chartes_hain13	prestat_prêter	prestat_verb
12	conissanz	conissanz_connaître_verb	connaître	VERppa	VerbForm=Part|Tense=Pres	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	conissanz_connaître	conissanz_verb
13	remenrons	remenrons_remanoir_verb	remanoir	VERcjg	VerbForm=Fin	DECT	YvainKu	remenrons_remanoir	remenrons_verb
14	enbrunket	enbrunket_embroncher_verb	embroncher	VERcjg	VerbForm=Fin	DMF	roland	enbrunket_embroncher	enbrunket_verb
15	pensée	pensée_pensée_noun	pensée	NOMcom	_	no_source	Jouvencel1_manual-seg_pos_lem	pensée_pensée	pensée_noun
16	mand	mand_mander_verb	mander	VERcjg	VerbForm=Fin	DMF	roland	mand_mander	mand_verb
17	Chimay	chimay_chimay_propn	Chimay	NOMpro	_	no_source	commyn1_manual_seg_lemm	chimay_chimay	chimay_propn
18	ofrande	ofrande_ofrende_noun	ofrende	NOMcom	_	DECT	ErecKu	ofrande_ofrende	ofrande_noun
19	ebaldissent	ebaldissent_ébaudir_verb	ébaudir	VERcjg	VerbForm=Fin	DMF	roland	ebaldissent_ébaudir	ebaldissent_verb
20	enprisone	enprisone_emprisoner_verb	emprisoner	VERcjg	VerbForm=Fin	DECT	CharretteKu	enprisone_emprisoner	enprisone_verb
21	pleisant	pleisant_plaire_verb	plaire	VERppa	VerbForm=Part|Tense=Pres	DECT	CharretteKu, PercevalKu	pleisant_plaire	pleisant_verb
22	Mirebaut	mirebaut_mirebeau_propn	Mirebeau	NOMpro	_	DMF	regcrim1-cat	mirebaut_mirebeau	mirebaut_propn
23	ausquelz	ausquelz_à.lequel_adp.pron	à.lequel	PRE.PROrel	_.PronType=Rel	no_source	Jouvencel1_manual-seg_pos_lem	ausquelz_à.lequel	ausquelz_adp.pron
24	inimitié	inimitié_inimitié_noun	inimitié	NOMcom	_	no_source	commyn1_manual_seg_lemm	inimitié_inimitié	inimitié_noun
25	buillit	buillit_bouillir_verb	bouillir	VERcjg	VerbForm=Fin	DMF	roland	buillit_bouillir	buillit_verb
26	xxie	xxie_vingt-et-unième_adj	vingt-et-unième	ADJord	NumType=Ord	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	xxie_vingt-et-unième	xxie_adj
27	vax	vax_val_noun	val	NOMcom	_	DECT	CharretteKu, CligesKu, ErecKu	vax_val	vax_noun
28	morras	morras_morir_verb	morir	VERcjg	VerbForm=Fin	DECT	CharretteKu, ErecKu	morras_morir	morras_verb
29	morras	morras_mourir_verb	mourir	VERcjg	VerbForm=Fin	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	morras_mourir	morras_verb
30	anseing	anseing_enseing_noun	enseing	NOMcom	_	DECT	PercevalKu	anseing_enseing	anseing_noun
31	suzciteains	suzciteains_soscitëain_noun	soscitëain	NOMcom	_	TL	cambps	suzciteains_soscitëain	suzciteains_noun
32	abandonnast	abandonnast_abandonner_verb	abandonner	VERcjg	VerbForm=Fin	DMF	SBath1	abandonnast_abandonner	abandonnast_verb
33	embussemens	embussemens_embûchement_noun	embûchement	NOMcom	_	DMF	moree-cat	embussemens_embûchement	embussemens_noun
34	Pompeianus	pompeianus_pompeïanus_propn	Pompeïanus	NOMpro	_	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	pompeianus_pompeïanus	pompeianus_propn
35	apansse	apansse_apenser_verb	apenser	VERcjg	VerbForm=Fin	DECT	PercevalKu, YvainKu	apansse_apenser	apansse_verb
36	vestoit	vestoit_vestir_verb	vestir	VERcjg	VerbForm=Fin	DECT	PercevalKu	vestoit_vestir	vestoit_verb
37	recomance	recomance_recomencier_verb	recomencier	VERcjg	VerbForm=Fin	DECT	CligesKu, PercevalKu	recomance_recomencier	recomance_verb
38	chevos	chevos_chevel_noun	chevel	NOMcom	_	DECT	CharretteKu	chevos_chevel	chevos_noun
