Cils	PRON	cel
qui	PRON	qui
vuet	VERB	vouloir
aucun	DET	aucun
art	NOUN	art
aprendre	VERB	aprendre
A	ADP	a
douze	ADJ	douze
choses	NOUN	chose
doit	VERB	devoir
entendre	VERB	entendre
:	PUNCT	:
La	DET	le
premiere	ADJ	premier
est	VERB	estre
qu'	SCONJ	que
il	PRON	il
doit	VERB	devoir
eslire	VERB	eslire
Celui	DET	cel
ou	CCONJ	ou
ses	DET	son
cuers	NOUN	cuer
mieus	ADV	mieux
se	PRON	se
tire	NOUN	tirer
Et	CCONJ	et
ou	CCONJ	ou
sa	DET	son
nature	NOUN	nature
l'	DET	le
encline	VERB	encliner
;	PUNCT	;
Car	CCONJ	car
la	DET	le
chose	NOUN	chose
envis	NOUN	envis
bien	NOUN	bien
define	NOUN	definer
Qu'	CCONJ	que
on	PRON	on
vuet	VERB	vouloir
encontre	ADP	encontre
son	DET	son
cuer	NOUN	cuer
faire	VERB	faire
,	PUNCT	,
Quant	SCONJ	cant
Nature	NOUN	nature
li	DET	le
est	VERB	estre
contraire	ADJ	contraire
.	PUNCT	.
Aimme	PROPN	amer
son	DET	son
maistre	NOUN	maître
et	CCONJ	et
son	DET	son
mestier	NOUN	mestier
Seur	NOUN	seror
tout	DET	tout
;	PUNCT	;
et	CCONJ	et
ce	PRON	ce
li	DET	le
est	VERB	estre
mestier	NOUN	mestier
Qu'	CCONJ	que
il	PRON	il
l'	DET	le
onneure	NOUN	honneur
,	PUNCT	,
oubeïsse	NOUN	oubïer
,	PUNCT	,
serve	VERB	servir
;	PUNCT	;
Et	CCONJ	et
ne	ADV	ne
cuide	VERB	cuidier
pas	NOUN	pas
qu'	SCONJ	que
il	PRON	il
s'	DET	soi
asserve	NOUN	asserver
,	PUNCT	,
Car	CCONJ	car
s'	DET	soi
il	PRON	il
les	DET	le
aimme	VERB	amer
,	PUNCT	,
il	PRON	il
l'	DET	le
ameront	VERB	amer
,	PUNCT	,
Et	CCONJ	et
s'	DET	soi
il	PRON	il
les	DET	le
het	VERB	häir
,	PUNCT	,
il	PRON	il
le	DET	le
harront	NOUN	harret
:	PUNCT	:
Pourfiter	VERB	pourtroidie
ne	ADV	ne
puet	VERB	pöoir
autrement	ADV	autrement
.	PUNCT	.
Doctrine	NOUN	doctrine
reçoive	VERB	recevoir
humblement	ADV	humblement
;	PUNCT	;
Mais	CCONJ	mais
bien	NOUN	bien
se	PRON	se
gart	VERB	garder
qu'	SCONJ	que
il	PRON	il
continue	VERB	continuer
,	PUNCT	,
Car	CCONJ	car
science	NOUN	science
envis	NOUN	envis
retenue	VERB	retenir
Est	VERB	estre
et	CCONJ	et
de	ADP	de
legier	ADJ	legier
oubliée	VERB	oublier
,	PUNCT	,
Quant	SCONJ	cant
elle	PRON	elle
n'	ADV	ne
est	VERB	estre
continuée	VERB	continuer
.	PUNCT	.
Soing	NOUN	soing
,	PUNCT	,
penser	VERB	penser
,	PUNCT	,
desir	ADP	desirrer
de	ADP	de
savoir	VERB	savoir
Ait	VERB	avoir
,	PUNCT	,
si	ADV	si
porra	VERB	pöoir
science	NOUN	science
avoir	VERB	avoir
.	PUNCT	.
Et	CCONJ	et
l'	DET	le
entreprengne	VERB	entreprenge
en	ADP	en
juene	ADJ	juene
aage	NOUN	ëage
,	PUNCT	,
Eins	ADV	ains
qu'	SCONJ	que
en	ADP	en
malice	NOUN	malic
son	DET	son
corage	NOUN	corage
Mue	ADJ	müe
par	ADP	par
trop	ADV	trop
grant	ADJ	grant
congnoissance	NOUN	connaissance
.	PUNCT	.
Car	CCONJ	car
le	DET	le
droit	ADJ	droit
estat	NOUN	état
d'	ADP	de
innocence	NOUN	innechoncier
Ressamble	NOUN	résimbler
proprement	NOUN	proprement
la	DET	le
table	NOUN	table
Blanche	ADJ	blanc
,	PUNCT	,
polie	NOUN	poile
,	PUNCT	,
qui	PRON	qui
est	VERB	estre
able	NOUN	able
A	ADP	a
recevoir	VERB	recevoir
,	PUNCT	,
sans	NOUN	sans
nul	DET	nul
contraire	ADJ	contraire
,	PUNCT	,
Ce	PRON	ce
qu'	SCONJ	que
on	PRON	on
y	ADV	y
vuet	VERB	vouloir
peindre	VERB	peindre
et	CCONJ	et
pourtraire	VERB	pourtorier
;	PUNCT	;
Et	CCONJ	et
est	VERB	estre
aussi	ADV	aussi
comme	SCONJ	comme
la	DET	le
cire	NOUN	cire
Qui	PRON	qui
sueffre	VERB	souffrir
dedens	ADP	dedans
li	DET	le
escrire	VERB	écrire
,	PUNCT	,
Ou	CCONJ	où
qui	PRON	qui
retient	VERB	retenir
