Qui	PRON	qui
petit	ADJ	petit
seme	NOUN	semer
petit	ADJ	petit
quialt	ADJ	coillir
,	PUNCT	,
et	CCONJ	et
qui	PRON	qui
auques	ADV	auques
recoillir	VERB	recevoir
vialt	VERB	voloir
an	ADP	en
tel	DET	tel
leu	NOUN	lieu
sa	DET	son
semance	NOUN	semence
espande	VERB	espandre
que	SCONJ	que
fruit	NOUN	fruit
a	ADP	a
cent	DET	cent
dobles	NOUN	doble
li	DET	le
rande	NOUN	rendre
;	PUNCT	;
car	CCONJ	car
an	ADP	en
terre	NOUN	terre
qui	PRON	qui
rien	NOUN	rien
ne	ADV	ne
vaut	VERB	valoir
,	PUNCT	,
bone	ADJ	bon
semance	NOUN	semence
i	ADV	i
seche	NOUN	sechier
et	CCONJ	et
faut	VERB	falir
.	PUNCT	.
Crestiens	PROPN	crestiien
seme	NOUN	semer
et	CCONJ	et
fet	VERB	faire
semance	NOUN	semence
d'	ADP	de
un	DET	un
romans	NOUN	romanz
que	SCONJ	que
il	PRON	il
ancomance	NOUN	encomencier
,	PUNCT	,
et	CCONJ	et
si	ADV	si
le	DET	le
seme	NOUN	semer
an	ADP	en
si	ADV	si
bon	ADJ	bon
leu	NOUN	lieu
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
puet	VERB	pöoir
estre	VERB	estre
sanz	ADP	sans
grant	ADJ	grant
preu	ADJ	pro
,	PUNCT	,
qu'	SCONJ	que
il	PRON	il
le	DET	le
fet	VERB	faire
por	ADP	por
le	DET	le
plus	ADV	plus
prodome	NOUN	pro
qui	PRON	qui
soit	VERB	estre
an	ADP	en
l'	DET	le
empire	NOUN	empire
de	ADP	de
Rome	PROPN	rome
.	PUNCT	.
C'	CCONJ	ce
est	VERB	estre
li	DET	le
cuens	NOUN	conte
Phelipes	PROPN	philippe
de	ADP	de
Flandres	PROPN	flandres
,	PUNCT	,
qui	PRON	qui
mialz	ADV	mieus
valt	VERB	valoir
ne	ADV	ne
fist	VERB	faire
Alixandres	PROPN	alixandre
,	PUNCT	,
cil	DET	cel
que	SCONJ	que
l'	DET	le
an	ADP	en
dit	VERB	dire
qui	PRON	qui
tant	ADV	tant
fu	VERB	estre
buens	ADJ	bon
.	PUNCT	.
Mes	CCONJ	mais
je	PRON	je
proverai	VERB	prover
que	SCONJ	que
li	DET	le
cuens	NOUN	conte
valt	VERB	valoir
mialz	ADV	mieus
que	SCONJ	que
cist	DET	cest
ne	ADV	ne
fist	VERB	faire
asez	ADV	assez
,	PUNCT	,
car	CCONJ	car
il	PRON	il
ot	VERB	avoir
an	ADP	en
lui	PRON	lui
amassez	VERB	amasser
toz	DET	tot
les	DET	le
vices	NOUN	vice
et	CCONJ	et
toz	DET	tot
les	DET	le
max	NOUN	mal
dont	PRON	dont
li	DET	le
cuens	NOUN	conte
est	VERB	estre
mondes	NOUN	monde
et	CCONJ	et
sax	NOUN	sauf
.	PUNCT	.
Li	DET	le
cuens	NOUN	conte
est	VERB	estre
tex	ADJ	tel
que	SCONJ	que
il	PRON	il
n'	ADV	ne
escote	NOUN	escouter
vilain	ADJ	vilain
gap	NOUN	gap
ne	ADV	ne
parole	NOUN	parole
estote	NOUN	estot
,	PUNCT	,
et	CCONJ	et
s'	DET	soi
il	PRON	il
ot	VERB	avoir
mal	NOUN	mal
dire	VERB	dire
d'	ADP	de
autrui	PRON	autrui
,	PUNCT	,
qui	PRON	qui
que	SCONJ	que
il	PRON	il
soit	VERB	estre
,	PUNCT	,
ce	PRON	ce
