Pluseurs	PRON	plusieurs
ont	VERB	avoir
travaillé	VERB	travaillier
a	ADP	a
monstrer	VERB	montrer
par	ADP	par
grans	ADJ	grand
raisons	NOUN	raison
et	CCONJ	et
auctorités	NOUN	autorité
que	SCONJ	que
c'	CCONJ	ce
est	VERB	estre
plus	ADV	plus
grant	ADJ	grant
felicité	NOUN	félition
en	ADP	en
terre	NOUN	terre
a	ADP	a
homme	NOUN	homme
de	ADP	de
vivre	VERB	vivre
en	ADP	en
franchise	NOUN	franchise
et	CCONJ	et
liberté	NOUN	liébert
que	SCONJ	que
soy	PRON	soi
asservir	VERB	asservir
de	ADP	de
sa	DET	son
voulenté	NOUN	volonté
sans	NOUN	sans
crainte	NOUN	crainte
.	PUNCT	.
A	ADP	a
l'	DET	le
oppinion	NOUN	opinion
des	ADP.DET	de.le
quelx	DET	quel
on	PRON	on
pourroit	VERB	pouvoir
dire	VERB	dire
que	SCONJ	que
ung	DET	un
homme	NOUN	homme
n'	ADV	ne
a	ADP	a
pas	NOUN	pas
bon	ADJ	bon
sens	NOUN	sens
qui	PRON	qui
est	VERB	estre
en	ADP	en
joies	NOUN	joie
et	CCONJ	et
delices	NOUN	délice
du	ADP.DET	de.le
monde	NOUN	monde
,	PUNCT	,
come	SCONJ	come
de	ADP	de
jeunesse	NOUN	jeunesse
garnie	VERB	garnir
de	ADP	de
franche	ADJ	france
voulenté	NOUN	volonté
,	PUNCT	,
et	CCONJ	et
de	ADP	de
son	DET	son
propre	NOUN	propre
mouvement	ADV	mouvoir
,	PUNCT	,
sans	NOUN	sans
necessité	NOUN	nécessité
,	PUNCT	,
trouve	VERB	trouver
l'	DET	le
entree	NOUN	entree
d'	ADP	de
une	DET	un
estroicte	NOUN	estrocier
chartre	NOUN	charte
douloureuse	NOUN	doulourseu
et	CCONJ	et
plaine	ADJ	plein
de	ADP	de
plours	NOUN	plorer
et	CCONJ	et
se	PRON	se
boute	NOUN	boter
dedens	ADP	dedans
.	PUNCT	.
Et	CCONJ	et
quant	SCONJ	cant
il	PRON	il
est	VERB	estre
liens	NOUN	line
enclos	VERB	enclore
,	PUNCT	,
on	PRON	on
lui	PRON	lui
ferme	NOUN	ferme
la	DET	le
porte	NOUN	porte
qui	PRON	qui
est	VERB	estre
de	ADP	de
fer	NOUN	fer
fermant	NOUN	ferment
a	ADP	a
grosses	ADJ	gros
barres	NOUN	barre
,	PUNCT	,
et	CCONJ	et
est	VERB	estre
si	ADV	si
estroictement	NOUN	estrocer
tenu	VERB	tenir
que	SCONJ	que
ja	ADV	ja
més	NOUN	mais
pour	ADP	pour
nulles	NOUN	nul
prieres	NOUN	priier
ne	ADV	ne
avoir	VERB	avoir
ne	ADV	ne
peut	VERB	pouvoir
saillir	VERB	saillir
.	PUNCT	.
Et	CCONJ	et
par	ADP	par
especial	ADJ	espécial
doit	VERB	devoir
on	PRON	on
bien	NOUN	bien
tenir	VERB	tenir
celui	DET	cel
sans	NOUN	sans
nul	DET	nul
sans	NOUN	sans
de	ADP	de
soy	PRON	soi
estre	VERB	estre
ainxin	ADJ	aincin
emprisonné	VERB	emprisoner
,	PUNCT	,
s'	DET	soi
il	PRON	il
avoit	VERB	avoir
ouy	VERB	ouïr
davant	ADP	davant
plourer	VERB	plorer
et	CCONJ	et
gemir	VERB	jejon
ou	CCONJ	ou
dedens	ADP	dedans
la	DET	le
chartre	NOUN	charte
les	DET	le
prisonniers	NOUN	prisonnier
qui	PRON	qui
liens	NOUN	line
estoient	VERB	estre
.	PUNCT	.
Et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
nature	NOUN	nature
humaine	ADJ	humain
appete	VERB	appeter
de	ADP	de
soy	PRON	soi
liberté	NOUN	liébert
et	CCONJ	et
franchise	NOUN	franchise
,	PUNCT	,
pluseurs	DET	plusieurs
grans	ADJ	grand
seigneurs	NOUN	seigneur
