S'	PRO	se
ensuyt	VERB	ensuivre
la	DET	le
vie	NOUN	vie
de	ADP	de
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
,	PUNCT	,
royne	NOUN	roine
de	ADP	de
France	PROPN	france
.	PUNCT	.
Benoist	PROPN	benois
soit	VERB	estre
Nostre	DET	notre
Seigneur	NOUN	seigneur
qui	PRON	qui
veult	VERB	vouloir
tous	DET	tout
hommes	NOUN	homme
saulver	VERB	sauver
et	CCONJ	et
que	SCONJ	que
ung	DET	un
chacung	NOUN	chacun
vienne	ADJ	venir
a	ADP	a
cougnoissance	NOUN	conoisgneur
de	ADP	de
verité	NOUN	vérité
.	PUNCT	.
Son	DET	son
non	NOUN	nom
doibt	VERB	devoir
estre	VERB	estre
glorifié	VERB	glorifier
et	CCONJ	et
magniffié	NOUN	magnifier
en	ADP	en
toutes	DET	tout
choses	NOUN	chose
quant	SCONJ	cant
des	ADP.DET	de.le
petilz	ADJ	petille
il	PRON	il
faict	VERB	faire
grans	ADJ	grand
ainssi	ADV	ainsi
come	SCONJ	come
nous	PRON	nous
congnoissons	NOUN	connaître
en	ADP	en
ceste	DET	cest
venerable	NOUN	venerance
dame	NOUN	dame
madame	NOUN	mademe
saincte	ADJ	saint
Bauptheur	NOUN	bauthoup
de	ADP	de
laquelle	DET	lequel
nous	PRON	nous
celebrons	VERB	celer
au	ADP.DET	a.le
jour	NOUN	jour
d'	ADP	de
uy	ADV	ui
la	DET	le
feste	NOUN	fête
en	ADP	en
grant	ADJ	grant
exultacion	NOUN	eux-voutin
.	PUNCT	.
Ceste	DET	cest
dame	NOUN	dame
descendit	VERB	descendre
du	ADP.DET	de.le
noble	ADJ	noble
sang	NOUN	sang
des	ADP.DET	de.le
ductz	NOUN	duct
de	ADP	de
Saxone	PROPN	savoir
.	PUNCT	.
Ung	DET	un
jour	NOUN	jour
ainssi	ADV	ainsi
qu'	SCONJ	que
elle	PRON	elle
fuct	NOUN	fucer
saillye	VERB	saillir
de	ADP	de
la	DET	le
cité	NOUN	cité
et	CCONJ	et
que	SCONJ	que
elle	PRON	elle
ce	PRON	ce
spacioit	VERB	savoir
au	ADP.DET	a.le
pres	ADV	près
de	ADP	de
la	DET	le
mer	NOUN	mer
,	PUNCT	,
les	DET	le
Sarrazins	PROPN	sarrasin
d'	ADP	de
oultre	ADP	outre
mer	NOUN	mer
la	DET	le
prindrent	VERB	prendre
et	CCONJ	et
la	DET	le
menerent	VERB	mener
aulx	ADP.DET	à.le
partiez	NOUN	partir
de	ADP	de
Sirie	NOUN	sire
,	PUNCT	,
mais	NOUN	mais
aprés	ADP	après
aulcung	DET	aucun
temps	NOUN	temps
fuct	NOUN	fucer
racheptee	VERB	racheter
a	ADP	a
force	NOUN	force
d'	ADP	de
argent	NOUN	argent
et	CCONJ	et
ramenee	VERB	ramener
en	ADP	en
France	PROPN	france
par	ADP	par
le	DET	le
gouverneur	NOUN	gouverneur
du	ADP.DET	de.le
palays	NOUN	palais
imperial	NOUN	impervelit
nommé	VERB	nommer
Archenoald	PROPN	archance
,	PUNCT	,
ou	CCONJ	ou
elle	PRON	elle
ce	PRON	ce
maintint	VERB	maint
cy	ADV	ci
honnestement	NOUN	honnété
que	SCONJ	que
elle	PRON	elle
plaisoit	VERB	plaire
tant	ADV	tant
audict	ADP.DET	à.ledit
prince	NOUN	prince
que	SCONJ	que
a	ADP	a
tous	DET	tout
ses	DET	son
mynistres	NOUN	mintière
.	PUNCT	.
Elle	PRON	elle
estoit	VERB	estre
debonnayre	ADJ	debonainement
de	ADP	de
courage	NOUN	courage
,	PUNCT	,
humble	ADJ	humble
,	PUNCT	,
sage	ADJ	sage
,	PUNCT	,
pudicque	NOUN	puitque
,	PUNCT	,
sobre	NOUN	sorbre
,	PUNCT	,
ne	ADV	ne
voullant	NOUN	volent
mal	NOUN	mal
a	ADP	a
nul	DET	nul
.	PUNCT	.
Elle	PRON	elle
n'	ADV	ne
estoit	VERB	estre
pas	NOUN	pas
legiere	ADJ	legier
en	ADP	en
parolle	NOUN	parole
ne	ADV	ne
presumptueuse	ADJ	présuptement
,	PUNCT	,
mais	NOUN	mais
moderoit	ADJ	modoire
toutes	DET	tout
sez	VERB	savoir
oeuvres	NOUN	oeuvrer
par	ADP	par
honneste	NOUN	honnété
engin	NOUN	engin
demonstrant	NOUN	dementrer
bien	NOUN	bien
en	ADP	en
toutes	DET	tout
choses	NOUN	chose
estre	VERB	estre
descendue	VERB	descendre
de	ADP	de
la	DET	le
noble	ADJ	noble
lignee	NOUN	lignée
royalle	NOUN	royalle
,	PUNCT	,
car	CCONJ	car
elle	PRON	elle
estoit	VERB	estre
fille	NOUN	fille
de	ADP	de
Florida	VERB	florir
,	PUNCT	,
roy	NOUN	roi
de	ADP	de
Colongne	NOUN	colonnagnon
.	PUNCT	.
Elle	PRON	elle
estoit	VERB	estre
belle	ADJ	beau
a	ADP	a
merveilles	NOUN	merveille
,	PUNCT	,
ayant	VERB	avoir
tousjours	ADV	toujours
le	DET	le
visaige	NOUN	visage
joyeulx	NOUN	joyeux
,	PUNCT	,
pesante	NOUN	peser
et	CCONJ	et
grave	NOUN	graver
en	ADP	en
cheminant	VERB	cheminer
.	PUNCT	.
Elle	PRON	elle
fuct	NOUN	fucer
cy	ADV	ci
agreable	NOUN	agreable
au	ADP.DET	a.le
devantdict	VERB	deventir
prince	NOUN	prince
par	ADP	par
ses	DET	son
bonnes	ADJ	bon
oeuvres	NOUN	oeuvrer
que	SCONJ	que
il	PRON	il
l'	DET	le
ayma	VERB	aimer
plus	ADV	plus
et	CCONJ	et
prisa	VERB	prisier
que	SCONJ	que
toutes	DET	tout
lez	DET	lez
aultres	PRON	autre
gentilz	ADJ	gentil
fames	NOUN	feme
qui	PRON	qui
estoient	VERB	estre
entour	ADP	entour
luy	PRON	lui
.	PUNCT	.
Pourquoy	ADV	porquerre
il	PRON	il
luy	PRON	lui
establit	VERB	établir
que	SCONJ	que
chacune	ADJ	chacun
nuyt	NOUN	nuit
,	PUNCT	,
quant	SCONJ	cant
il	PRON	il
se	PRON	se
coucheroit	VERB	couchier
,	PUNCT	,
elle	PRON	elle
le	DET	le
servit	VERB	servir
de	ADP	de
vin	NOUN	vin
,	PUNCT	,
ce	PRON	ce
qu'	SCONJ	que
elle	PRON	elle
fict	VERB	fief
moult	ADV	moult
proprement	NOUN	proprement
come	SCONJ	come
tres	ADV	très
honneste	NOUN	honnété
bouteilliere	NOUN	boutiers
,	PUNCT	,
de	ADP	de
laquelle	DET	lequel
dignité	NOUN	dignier
ne	ADV	ne
s'	DET	soi
en	ADP	en
esleva	VERB	eslever
nullement	NOUN	noultement
mais	NOUN	mais
plus	ADV	plus
en	ADP	en
fuct	NOUN	fucer
humble	ADJ	humble
,	PUNCT	,
obediante	VERB	obédier
et	CCONJ	et
amyable	NOUN	amaillier
a	ADP	a
toutes	DET	tout
ses	DET	son
compaignes	NOUN	compagne
.	PUNCT	.
Elle	PRON	elle
portoit	VERB	porter
a	ADP	a
toutes	DET	tout
ses	DET	son
esneez	VERB	ensement
telle	DET	tel
reverance	NOUN	reverner
que	SCONJ	que
elle	PRON	elle
mesme	ADJ	même
lez	DET	lez
deschosoit	VERB	deschore
et	CCONJ	et
nectoyoit	VERB	nétot
leurs	DET	leur
soulliers	NOUN	soulier
a	ADP	a
ces	DET	ce
mains	NOUN	main
et	CCONJ	et
leur	DET	leur
aportoyt	VERB	aporter
de	ADP	de
l'	DET	le
eaue	NOUN	eau
et	CCONJ	et
leur	DET	leur
lavoit	VERB	laver
leurs	DET	leur
piedz	NOUN	pidier
et	CCONJ	et
nectoyoit	VERB	nétot
leurs	DET	leur
robes	NOUN	robe
et	CCONJ	et
tout	DET	tout
ce	PRON	ce
faisoit	VERB	faire
de	ADP	de
bon	ADJ	bon
coeur	NOUN	coeur
sans	NOUN	sans
murmure	NOUN	murmure
.	PUNCT	.
Par	ADP	par
sa	DET	son
noble	ADJ	noble
conversacion	NOUN	conversance
toutes	DET	tout
ses	DET	son
compaignes	NOUN	compagne
la	DET	le
louoyent	VERB	louer
et	CCONJ	et
aymoient	VERB	aimer
et	CCONJ	et
tant	ADV	tant
acreut	VERB	acreoir
sa	DET	son
bonne	ADJ	bon
renommee	VERB	renommer
que	SCONJ	que
,	PUNCT	,
quant	SCONJ	cant
la	DET	le
femme	NOUN	femme
du	ADP.DET	de.le
devantdict	VERB	deventir
Archenoald	PROPN	archance
fuct	NOUN	fucer
trespacee	VERB	trespasser
de	ADP	de
ce	PRON	ce
ciecle	NOUN	cil
,	PUNCT	,
il	PRON	il
voullut	VERB	vouloir
joindre	VERB	joindre
a	ADP	a
luy	PRON	lui
l'	DET	le
