Ci	DET	ci
commence	VERB	commencer
la	DET	le
vie	NOUN	vie
madame	NOUN	mademe
sainte	ADJ	saint
Genevieve	PROPN	genvier
en	ADP	en
françois	NOUN	françois
proprement	NOUN	proprement
selonc	ADJ	selonc
le	DET	le
latin	DET	lait
.	PUNCT	.
A	ADP	a
tout	DET	tout
crestien	ADJ	crestiien
qui	PRON	qui
Jhesucrist	PROPN	jésus-chir
et	CCONJ	et
ses	DET	son
sains	ADJ	sain
requiert	VERB	requerre
et	CCONJ	et
honneure	NOUN	honneur
est	VERB	estre
grant	ADJ	grant
bien	NOUN	bien
et	CCONJ	et
honneur	NOUN	honneur
et	CCONJ	et
proufist	NOUN	profit
de	ADP	de
savoir	VERB	savoir
aucune	DET	aucun
chose	NOUN	chose
des	ADP.DET	de.le
vertus	NOUN	vertu
,	PUNCT	,
miracles	NOUN	miralt
et	CCONJ	et
bontés	NOUN	bonté
que	SCONJ	que
nostre	DET	notre
Seigneur	NOUN	seigneur
a	ADP	a
fait	VERB	faire
et	CCONJ	et
fait	VERB	faire
en	ADP	en
euls	PRON	eux
et	CCONJ	et
par	ADP	par
euls	PRON	eux
pour	ADP	pour
Dieu	PROPN	dieu
amer	VERB	amer
plus	ADV	plus
parfaitement	ADV	parfaitement
,	PUNCT	,
pour	ADP	pour
les	DET	le
sains	ADJ	sain
honnorer	VERB	honnëor
plus	ADV	plus
devotement	ADV	dévonter
et	CCONJ	et
pour	ADP	pour
y	ADV	y
prendre	VERB	prendre
exemple	NOUN	exemple
et	CCONJ	et
doctrine	NOUN	doctrine
de	ADP	de
sauvement	NOUN	sauvement
.	PUNCT	.
Mout	ADV	mout
de	ADP	de
genz	NOUN	gent
requierent	VERB	requerre
et	CCONJ	et
honnorent	VERB	honnaître
madame	NOUN	mademe
sainte	ADJ	saint
Genevieve	PROPN	genvier
,	PUNCT	,
qui	PRON	qui
de	ADP	de
sa	DET	son
vie	NOUN	vie
et	CCONJ	et
de	ADP	de
ses	DET	son
vertus	NOUN	vertu
scevent	VERB	savoir
pou	ADV	peu
ou	CCONJ	ou
nient	ADV	néant
.	PUNCT	.
Sa	DET	son
vie	NOUN	vie
avons	VERB	avoir
en	ADP	en
latin	DET	lait
mout	ADV	mout
proprement	NOUN	proprement
et	CCONJ	et
en	ADP	en
françoiz	ADJ	françois
rimee	NOUN	rimer
mout	ADV	mout
gentement	NOUN	gentement
,	PUNCT	,
mes	DET	mais
li	DET	le
pluseurs	DET	plusieurs
n'	ADV	ne
entendent	VERB	entendre
pas	NOUN	pas
latin	DET	lait
,	PUNCT	,
li	DET	le
autres	PRON	autre
ne	ADV	ne
ont	VERB	avoir
cure	NOUN	cure
de	ADP	de
rimerie	NOUN	rimere
,	PUNCT	,
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
on	PRON	on
y	ADV	y
seult	ADJ	sol
ajouster	VERB	ajoutre
,	PUNCT	,
oster	VERB	oster
