Artus	PROPN	Artu
,	PUNCT	,
li	DET	le
boens	ADJ	bon
rois	NOUN	roi
de	ADP	de
Bretaingne	PROPN	bretagne
,	PUNCT	,
La	DET	le
cui	PRON	cui
proesce	NOUN	pröece
nos	PRON	nos
enseigne	NOUN	enseigne
Que	CCONJ	que
nos	PRON	nos
soiens	NOUN	estre
preu	ADJ	pro
et	CCONJ	et
cortois	ADJ	cortois
,	PUNCT	,
Tint	VERB	tenir
cort	NOUN	cort
si	ADV	si
riche	ADJ	riche
come	SCONJ	come
rois	NOUN	roi
A	ADP	a
cele	DET	cel
feste	NOUN	fête
qui	PRON	qui
tant	ADV	tant
coste	NOUN	coste
,	PUNCT	,
Qu'	CCONJ	que
an	ADP	en
doit	VERB	devoir
clamer	VERB	clamer
la	DET	le
Pantecoste	PROPN	pentece
.	PUNCT	.
Li	DET	le
rois	NOUN	roi
fu	VERB	estre
a	ADP	a
Carduel	PROPN	carduel
en	ADP	en
Gales	PROPN	gales
;	PUNCT	;
Aprés	ADP	après
mangier	VERB	mangier
,	PUNCT	,
parmi	NOUN	parmi
ces	DET	ce
sales	NOUN	sale
,	PUNCT	,
Cil	DET	cel
chevalier	NOUN	chevalier
s'	DET	soi
atropelerent	VERB	atropeler
La	DET	le
ou	CCONJ	ou
dames	NOUN	dame
les	DET	le
apelerent	VERB	apeler
Ou	CCONJ	où
dameiseles	NOUN	damoisele
ou	CCONJ	ou
puceles	NOUN	pucele
.	PUNCT	.
Li	DET	le
un	DET	un
recontoient	VERB	reconter
noveles	NOUN	novele
,	PUNCT	,
Li	DET	le
autre	ADJ	autre
parloient	VERB	parler
d'	ADP	de
Amors	NOUN	amor
,	PUNCT	,
Des	ADP.DET	de.le
angoisses	NOUN	angoissier
et	CCONJ	et
des	ADP.DET	de.le
dolors	NOUN	dolor
Et	CCONJ	et
des	ADP.DET	de.le
granz	ADJ	grant
biens	NOUN	bien
qu'	SCONJ	que
orent	VERB	avoir
sovant	ADV	sovent
Li	DET	le
deciple	NOUN	dechile
de	ADP	de
son	DET	son
covant	NOUN	covent
,	PUNCT	,
Qui	PRON	qui
lors	ADV	lors
estoit	VERB	estre
mout	ADV	mout
dolz	ADJ	douz
et	CCONJ	et
buens	ADJ	bon
;	PUNCT	;
Mes	CCONJ	mais
or	NOUN	or
i	ADV	i
a	ADP	a
mout	ADV	mout
po	ADV	poi
des	ADP.DET	de.le
suens	ADJ	suen
Qu'	CCONJ	que
a	ADP	a
bien	NOUN	bien
pres	ADV	près
l'	DET	le
ont	VERB	avoir
ja	ADV	ja
tuit	DET	tot
lessiee	VERB	laissier
,	PUNCT	,
S'	DET	se
an	ADP	en
est	VERB	estre
Amors	NOUN	amor
mout	ADV	mout
abessiee	VERB	abaissier
;	PUNCT	;
Car	CCONJ	car
cil	DET	cel
qui	PRON	qui
soloient	VERB	soloir
amer	VERB	amer
Se	SCONJ	se
feisoient	VERB	faire
cortois	ADJ	cortois
clamer	VERB	clamer
Et	CCONJ	et
preu	ADJ	pro
et	CCONJ	et
large	ADJ	large
et	CCONJ	et
enorable	NOUN	onorable
;	PUNCT	;
Or	ADV	or
est	VERB	estre
Amors	NOUN	amor
tornee	VERB	torner
a	ADP	a
fable	NOUN	fable
Por	ADP	por
ce	PRON	ce
que	SCONJ	que
cil	DET	cel
qui	PRON	qui
rien	NOUN	rien
n'	ADV	ne
en	ADP	en
santent	VERB	sente
Dïent	VERB	dire
qu'	SCONJ	que
il	PRON	il
aiment	VERB	aimer
,	PUNCT	,
mes	DET	mais
il	PRON	il
mantent	VERB	mentir
,	PUNCT	,
Et	CCONJ	et
cil	DET	cel
fable	NOUN	fable
et	CCONJ	et
mançonge	NOUN	mençogne
an	ADP	en
font	VERB	faire
Qui	PRON	qui
s'	DET	soi
an	ADP	en
vantent	VERB	vanter
et	CCONJ	et
droit	ADJ	droit
n'	ADV	ne
i	ADV	i
ont	VERB	avoir
.	PUNCT	.
Mes	CCONJ	mais
or	NOUN	or
parlons	NOUN	parler
de	ADP	de
cez	DET	ce
qui	PRON	qui
furent	VERB	estre
,	PUNCT	,
Si	ADV	si
leissons	NOUN	laissier
cez	DET	ce
qui	PRON	qui
ancor	ADV	encore
durent	VERB	devoir
,	PUNCT	,
Car	CCONJ	car
mout	ADV	mout
valt	VERB	valoir
mialz	ADV	mieus
,	PUNCT	,
ce	PRON	ce
m'	PRON	je
est	VERB	estre
avis	NOUN	avis
,	PUNCT	,
Uns	DET	un
cortois	ADJ	cortois
morz	VERB	morir
c'	CCONJ	ce
uns	DET	un
vilains	ADJ	vilain
vis	NOUN	vis
.	PUNCT	.
Por	ADP	por
ce	PRON	ce
me	PRON	je
plest	NOUN	plaire
a	ADP	a
reconter	VERB	reconter
Chose	NOUN	chose
qui	PRON	qui
face	VERB	faire
a	ADP	a
escouter	VERB	écouter
Del	ADP.DET	de.le
roi	NOUN	roi
qui	PRON	qui
fu	VERB	estre
de	ADP	de
tel	DET	tel
tesmoing	NOUN	tesmoin
Qu'	CCONJ	que
an	ADP	en
en	ADP	en
parole	NOUN	parole
et	CCONJ	et
pres	ADV	près
et	CCONJ	et
loing	ADV	loing
;	PUNCT	;
Si	ADV	si
m'	PRON	je
acort	VERB	acorter
de	ADP	de
tant	ADV	tant
as	VERB	a.le
Bretons	PROPN	breton
Que	CCONJ	que
toz	DET	tot
jorz	NOUN	jor
durra	VERB	durer
li	DET	le
renons	NOUN	renom
Et	CCONJ	et
par	ADP	par
lui	PRON	lui
sont	VERB	estre
amenteü	VERB	amentevoir
Li	DET	le
boen	ADJ	bon
chevalier	NOUN	chevalier
esleü	VERB	eslëus
Qui	PRON	qui
a	ADP	a
enor	NOUN	onor
se	PRON	se
traveillierent	VERB	travaillier
.	PUNCT	.
Mes	CCONJ	mais
cel	DET	cel
jor	NOUN	jor
mout	ADV	mout
se	PRON	se
merveillierent	VERB	merveillier
Del	ADP.DET	de.le
roi	NOUN	roi
qui	PRON	qui
einçois	ADV	ainçois
se	PRON	se
leva	VERB	lever
;	PUNCT	;
Si	ADV	si
ot	VERB	avoir
de	ADP	de
