Prologue	NOUN	prologue
Mut	PROPN	mout
fet	VERB	faire
bien	NOUN	bien
ki	PRON	qui
sun	DET	son
sens	NOUN	sens
despent	VERB	despendre
En	ADP	en
tel	DET	tel
liu	NOUN	lieu
dunt	PRON	dont
l'	DET	le
en	ADP	en
eit	VERB	aidier
amendement	NOUN	amendement
.	PUNCT	.
Meillur	ADJ	meilleur
uvre	NOUN	ouvre
ne	ADV	ne
put	VERB	puit
hume	NOUN	homme
fere	VERB	faire
Que	CCONJ	que
sei	PRON	soi
e	CCONJ	et
autre	ADJ	autre
a	ADP	a
Deu	PROPN	dieu
atrere	VERB	atrere
.	PUNCT	.
Qui	PRON	qui
suls	NOUN	sul
i	ADV	i
vient	VERB	venir
,	PUNCT	,
mene	ADJ	mener
a	ADP	a
dreite	ADJ	dreter
vie	NOUN	vie
,	PUNCT	,
Mieldre	ADJ	miedleur
ki	PRON	qui
i	ADV	i
meine	ADJ	mener
cumpanie	NOUN	compagnon
.	PUNCT	.
Pur	ADP	pour
ço	PRON	ce
ki	PRON	qui
set	VERB	savoir
se	PRON	se
deit	VERB	devoir
pener	VERB	pener
Que	CCONJ	que
plusurs	DET	plus
puisse	VERB	pöoir
a	ADP	a
Deu	PROPN	dieu
mener	VERB	mener
.	PUNCT	.
Ki	PRON	qui
ben	ADJ	bien
set	VERB	savoir
e	CCONJ	et
ne	ADV	ne
s'	DET	soi
entremet	VERB	entremetre
,	PUNCT	,
Mielz	ADV	mieux
li	DET	le
venist	VERB	venir
estre	VERB	estre
muet	VERB	movoir
,	PUNCT	,
Kar	CCONJ	car
de	ADP	de
Deu	PROPN	dieu
li	DET	le
ert	VERB	estre
repruvé	VERB	reprovre
Pur	ADP	pour
quei	PRON	quere
sun	DET	son
saveir	VERB	savoir
ait	VERB	avoir
celé	VERB	celer
.	PUNCT	.
Si	ADV	si
en	ADP	en
avra	VERB	avoir
mal	NOUN	mal
guerredun	NOUN	guerredon
:	PUNCT	:
Deu	PROPN	dieu
le	DET	le
fra	VERB	frair
juger	VERB	juger
a	ADP	a
larrun	NOUN	larron
.	PUNCT	.
Qui	PRON	qui
sages	ADJ	sage
est	VERB	estre
ne	ADV	ne
l'	DET	le
a	ADP	a
de	ADP	de
sei	PRON	soi
;	PUNCT	;
De	ADP	de
sul	DET	seul
Deu	PROPN	dieu
l'	DET	le
ad	VERB	avoir
,	PUNCT	,
sachez	VERB	savoir
en	ADP	en
fei	NOUN	foi
.	PUNCT	.
Par	ADP	par
sei	PRON	soi
ne	ADV	ne
put	VERB	puit
grant	ADJ	grant
sens	NOUN	sens
aprendre	VERB	aprendre
;	PUNCT	;
Pur	ADP	pour
ço	PRON	ce
le	DET	le
deit	VERB	devoir
as	VERB	a.le
autres	PRON	autre
rendre	VERB	rendre
,	PUNCT	,
Que	CCONJ	que
de	ADP	de
Deu	PROPN	dieu
del	ADP.DET	de.le
cel	DET	cel
ne	ADV	ne
ait	VERB	avoir
mal	NOUN	mal
gré	NOUN	gré
.	PUNCT	.
Endreit	PROPN	endret
mei	PRON	moi
m'	PRON	je
en	ADP	en
sui	VERB	estre
purpensé	NOUN	pourpenser
,	PUNCT	,
Que	CCONJ	que
aukune	DET	aucun
chose	NOUN	chose
voil	NOUN	voloir
treiter	VERB	traire
Que	CCONJ	que
de	ADP	de
Deu	PROPN	dieu
ne	ADV	ne
aie	VERB	avoir
repruver	VERB	reprover
.	PUNCT	.
Uvraine	PROPN	ouvrir
ai	VERB	avoir
emprise	NOUN	emprise
gloriuse	ADJ	glorieux
Dunt	PRON	dont
vul	DET	vouloir
mener	VERB	mener
vie	NOUN	vie
penuse	NOUN	penser
,	PUNCT	,
Que	CCONJ	que
m'	PRON	je
alme	NOUN	alem
en	ADP	en
ait	VERB	avoir
guerredun	NOUN	guerredon
E	CCONJ	et
de	ADP	de
mes	DET	mais
pechiez	NOUN	pechié
veir	NOUN	vair
pardun	NOUN	pardon
.	PUNCT	.
El	ADP.DET	en.le
nun	NOUN	non
del	ADP.DET	de.le
pere	NOUN	père
faz	VERB	faire
l'	DET	le
escrit	NOUN	écrit
,	PUNCT	,
Del	ADP.DET	de.le
fiz	NOUN	fils
e	CCONJ	et
del	ADP.DET	de.le
saint	ADJ	saint
esperit	NOUN	esperir
,	PUNCT	,
De	ADP	de
la	DET	le
dame	NOUN	dame
sainte	ADJ	saint
Marie	PROPN	marie
Ki	PRON	qui
desuz	ADP	dessous
Deu	PROPN	dieu
est	VERB	estre
nostre	DET	notre
aïe	NOUN	äie
.	PUNCT	.
De	ADP	de
ses	DET	son
vertuz	NOUN	vertu
voil	NOUN	voloir
cunter	VERB	conter
,	PUNCT	,
Ki	PRON	qui
duces	NOUN	duc
sunt	VERB	être
a	ADP	a
escuter	VERB	écuter
.	PUNCT	.
Enz	ADV	enz
el	ADP.DET	en.le
livre	NOUN	livre
puet	VERB	pöoir
l'	DET	le
em	ADP	en
oïr	VERB	öir
Cume	SCONJ	comme
l'	DET	le
em	ADP	en
deit	VERB	devoir
la	DET	le
dame	NOUN	dame
servir	VERB	servir
.	PUNCT	.
Cest	DET	cest
livre	NOUN	livre
a	ADP	a
nun	NOUN	non
«	PUNCT	"
Gracial	PROPN	gracieux
»	PUNCT	"
,	PUNCT	,
Pur	ADP	pour
ço	PRON	ce
qu'	SCONJ	que
en	ADP	en
grace	NOUN	grace
est	VERB	estre
cumunal	NOUN	communauc
,	PUNCT	,
Tut	DET	tout
estret	NOUN	estre
de	ADP	de
grace	NOUN	grace
seinte	ADJ	saint
De	ADP	de
meint	DET	mener
humme	NOUN	homme
,	PUNCT	,
de	ADP	de
femme	NOUN	femme
meinte	ADJ	mener
;	PUNCT	;
Si	ADV	si
est	VERB	estre
cummun	DET	commun
a	ADP	a
tute	DET	tout
gent	NOUN	gent
Ki	PRON	qui
de	ADP	de
Deu	PROPN	dieu
servir	VERB	servir
unt	VERB	avoir
talent	NOUN	talent
.	PUNCT	.
Estreit	PROPN	estret
est	VERB	estre
d'	ADP	de
icele	DET	icel
reïne	NOUN	röine
Ki	PRON	qui
est	VERB	estre
pleine	ADJ	plein
de	ADP	de
grace	NOUN	grace
fine	NOUN	finer
;	PUNCT	;
De	ADP	de
la	DET	le
Deu	PROPN	dieu
grace	NOUN	grace
est	VERB	estre
replenie	VERB	replendre
Cume	SCONJ	comme
sa	DET	son
mere	NOUN	mere
e	CCONJ	et
sa	DET	son
duce	NOUN	duc
amie	NOUN	ami
;	PUNCT	;
Pur	ADP	pour
ço	PRON	ce
est	VERB	estre
«	PUNCT	"
Gracial	PROPN	gracieux
»	PUNCT	"
numez	VERB	nommer
Cest	DET	cest
escrit	NOUN	écrit
,	PUNCT	,
si	ADV	si
l'	DET	le
apelerez	VERB	apeler
.	PUNCT	.
A	ADP	a
Dampnedeu	PROPN	damnedeu
l'	DET	le
escrit	NOUN	écrit
present	NOUN	présent
E	CCONJ	et
a	ADP	a
sa	DET	son
mere	NOUN	mere
ensement	ADV	ensement
;	PUNCT	;
A	ADP	a
lur	DET	leur
loenge	NOUN	louange
,	PUNCT	,
a	ADP	a
lur	DET	leur
