AMI	PROPN	ami
ET	CCONJ	et
AMILE	X	amile
Or	ADV	or
entendéz	VERB	entendre
,	PUNCT	,
seignor	NOUN	seignor
gentil	ADJ	gentil
baron	NOUN	baron
,	PUNCT	,
Que	CCONJ	que
Deus	PROPN	dieu
de	ADP	de
gloire	NOUN	gloire
voz	DET	vostre
face	VERB	faire
vrai	ADJ	vrai
pardon	NOUN	pardon
.	PUNCT	.
De	ADP	de
tel	DET	tel
barnaige	NOUN	barnanter
doit	VERB	devoir
on	PRON	on
dire	VERB	dire
chanson	NOUN	chanson
Que	CCONJ	que
ne	ADV	ne
soit	VERB	estre
mie	ADV	mie
de	ADP	de
noient	VERB	noiier
la	DET	le
raison	NOUN	raison
.	PUNCT	.
Ce	PRON	ce
n'	ADV	ne
est	VERB	estre
pas	NOUN	pas
fable	NOUN	fable
que	SCONJ	que
dire	VERB	dire
voz	DET	vostre
volons	VERB	voloir
,	PUNCT	,
Ansoiz	PROPN	ensoiier
est	VERB	estre
voirs	ADJ	voir
autressi	ADV	autresi
com	SCONJ	come
sermon	NOUN	sermon
,	PUNCT	,
Car	CCONJ	car
plusors	DET	plusor
gens	NOUN	gens
a	ADP	a
tesmoing	NOUN	tesmoin
en	ADP	en
traionz	NOUN	traire
,	PUNCT	,
Clers	PROPN	cler
et	CCONJ	et
prevoires	NOUN	prévôtion
,	PUNCT	,
gens	NOUN	gens
de	ADP	de
religion	NOUN	religion
.	PUNCT	.
Li	DET	le
pelerin	NOUN	perlein
qui	PRON	qui
a	ADP	a
Saint	ADJ	saint
Jaque	ADJ	jacque
vont	VERB	aler
Le	DET	le
sevent	VERB	savoir
bien	NOUN	bien
,	PUNCT	,
se	PRON	se
ce	PRON	ce
est	VERB	estre
voirs	ADJ	voir
ou	CCONJ	ou
non	NOUN	nom
.	PUNCT	.
Huimais	PROPN	huimais
orréz	VERB	oré
de	ADP	de
douz	ADJ	douz
bons	ADJ	bon
compaingnons	NOUN	compagnon
,	PUNCT	,
Ce	PRON	ce
est	VERB	estre
d'	ADP	de
Amile	NOUN	amile
et	CCONJ	et
d'	ADP	de
Amis	NOUN	ami
le	DET	le
baron	NOUN	baron
.	PUNCT	.
Engendré	VERB	engendrer
furent	VERB	estre
par	ADP	par
sainte	ADJ	saint
annuncion	NOUN	annonc
Et	CCONJ	et
en	ADP	en
un	DET	un
jor	NOUN	jor
furent	VERB	estre
né	VERB	naistre
li	DET	le
baron	NOUN	baron
.	PUNCT	.
A	ADP	a
Mortiers	NOUN	mortier
gisent	VERB	jesir
,	PUNCT	,
que	SCONJ	que
de	ADP	de
fi	VERB	fi
le	DET	le
seit	VERB	être
on	PRON	on
.	PUNCT	.
Huimais	PROPN	huimais
orréz	VERB	oré
de	ADP	de
ces	DET	ce
douz	ADJ	douz
compaingnons	NOUN	compagnon
,	PUNCT	,
Com	SCONJ	come
il	PRON	il
servirent	VERB	servir
a	ADP	a
Paris	PROPN	paris
a	ADP	a
Charlon	PROPN	charles
Par	ADP	par
lor	DET	lor
grant	ADJ	grant
compaingnie	NOUN	compagnie
.	PUNCT	.
Ansoiz	PROPN	ensoiier
qu'	SCONJ	que
Amiles	NOUN	amile
et	CCONJ	et
Amis	NOUN	ami
fussent	VERB	estre
né	VERB	naistre
,	PUNCT	,
Si	ADV	si
ot	VERB	avoir
uns	DET	un
angres	NOUN	angre
de	ADP	de
par	ADP	par
Deu	PROPN	dieu
devisé	NOUN	deviser
La	DET	le
compaingnie	NOUN	compagnie
par	ADP	par
moult	ADV	moult
grant	ADJ	grant
loiauté	NOUN	loyaler
.	PUNCT	.
En	ADP	en
une	DET	un
nuit	NOUN	nuit
furent	VERB	estre
il	PRON	il
engendré	VERB	engendrer
Et	CCONJ	et
en	ADP	en
un	DET	un
jor	NOUN	jor
baptizié	VERB	batitier
et	CCONJ	et
levé	VERB	lever
,	PUNCT	,
Et	CCONJ	et
lor	DET	lor
parrins	NOUN	parisin
qui	PRON	qui
ot	VERB	avoir
non	NOUN	nom
Yzoréz	PROPN	ytre
Fu	VERB	estre
apostoiles	NOUN	apostle
de	ADP	de
Romme	PROPN	rompre
la	DET	le
cité	NOUN	cité
.	PUNCT	.
Ses	DET	son
parrinnaiges	NOUN	prendre
fist	VERB	faire
forment	ADV	forment
a	ADP	a
loer	VERB	lore
,	PUNCT	,
Or	ADV	or
et	CCONJ	et
argent	NOUN	argent
lor	DET	lor
donna	VERB	donner
a	ADP	a
plenté	NOUN	plenté
,	PUNCT	,
Tyres	PROPN	tire
et	CCONJ	et
pailes	NOUN	paile
des	ADP.DET	de.le
meillors	ADJ	meillor
d'	ADP	de
outre	ADP	outre
mer	NOUN	mer
;	PUNCT	;
Et	CCONJ	et
a	ADP	a
chascun	DET	chascun
fist	VERB	faire
un	DET	un
hannap	NOUN	hannar
donner	VERB	donner
Fait	VERB	faire
a	ADP	a
mesure	NOUN	mesure
,	PUNCT	,
et	CCONJ	et
tant	ADV	tant
font	VERB	faire
a	ADP	a
loer	VERB	lore
Que	CCONJ	que
en	ADP	en
un	DET	un
mosle	NOUN	mosle
furent	VERB	estre
andui	PRON	ambedos
ouvré	VERB	ouvrer
:	PUNCT	:
Dex	PROPN	dieu
ne	ADV	ne
fist	VERB	faire
home	NOUN	ome
qui	PRON	qui
de	ADP	de
mere	NOUN	mere
soit	VERB	estre
nés	NOUN	naistre
Qui	PRON	qui
le	DET	le
plus	ADV	plus
grant	ADJ	grant
en	ADP	en
seüst	VERB	savoir
deviser	VERB	deviser
