Cy	ADV	ci
apprès	ADV	après
s'	DET	soi
ensuit	VERB	ensuit
le	DET	le
contenu	VERB	contenir
du	ADP.DET	de.le
saint	ADJ	saint
voyage	NOUN	voyage
de	ADP	de
Jherusalem	PROPN	jesurable
et	CCONJ	et
le	DET	le
chemin	NOUN	chemin
pour	ADP	pour
aller	VERB	aller
a	ADP	a
Saincte	ADJ	saint
Catherine	PROPN	catharine
du	ADP.DET	de.le
mont	NOUN	monde
de	ADP	de
Synay	ADJ	sianme
et	CCONJ	et
ainsi	ADV	ainsi
a	ADP	a
Saint	ADJ	saint
Anthoine	PROPN	antoine
et	CCONJ	et
Saint	ADJ	saint
Pol	PROPN	paul
es	ADP.DET	en.le
loingtains	NOUN	loindre
desers	ADP	deser
de	ADP	de
Egipte	PROPN	egtise
;	PUNCT	;
lequel	DET	lequel
saint	ADJ	saint
voyage	NOUN	voyage
a	ADP	a
esté	VERB	être
fait	VERB	faire
par	ADP	par
monseigneur	NOUN	monseigneur
d'	ADP	de
Angleure	PROPN	angleser
et	CCONJ	et
autres	PRON	autre
de	ADP	de
sa	DET	son
compagnie	NOUN	compagnie
en	ADP	en
l'	DET	le
an	ADP	en
mil	DET	mil
.IIJcIIIJxx.	DET	drestuin
et	CCONJ	et
.XV.	DET	quinze
,	PUNCT	,
en	ADP	en
et	CCONJ	et
par	ADP	par
la	DET	le
maniere	NOUN	manière
qui	PRON	qui
s'	DET	soi
ensuit	VERB	ensuit
.	PUNCT	.
D'	ADP	de
ANGLEURES	PROPN	anglaiseur
JUSQUES	NOUN	jusque
A	ADP	a
PAVYE	VERB	pave
Et	CCONJ	et
premiers	ADJ	premier
,	PUNCT	,
nous	PRON	nous
partismes	NOUN	partiement
d'	ADP	de
Angleure	PROPN	angleser
sur	ADP	sur
Aulbe	NOUN	auble
le	DET	le
.XVJe.	DET	quarante
jour	NOUN	jour
du	ADP.DET	de.le
mois	NOUN	mois
de	ADP	de
juillet	VERB	gillet
l'	DET	le
an	ADP	en
mil	DET	mil
.IIJcIIIJxx.	DET	drestuin
et	CCONJ	et
.XV.	DET	quinze
,	PUNCT	,
pour	ADP	pour
aller	VERB	aller
ou	CCONJ	ou
saint	ADJ	saint
voyage	NOUN	voyage
du	ADP.DET	de.le
Saint	ADJ	saint
Sepulcre	NOUN	seplore
en	ADP	en
la	DET	le
saincte	ADJ	saint
cité	NOUN	cité
de	ADP	de
Jherusalem	PROPN	jesurable
,	PUNCT	,
et	CCONJ	et
