C'	PRON	ce
EST	VERB	estre
D'	ADP	de
AUCASIN	PROPN	aucassin
ET	CCONJ	et
DE	ADP	de
NICOLETE	DET	nicolette
Qui	PRON	qui
vauroit	VERB	vouloir
bons	ADJ	bon
vers	ADP	vers
oïr	VERB	öir
del	ADP.DET	de.le
deport	VERB	deport
du	ADP.DET	de.le
viel	ADJ	vieux
antif	ADJ	entif
de	ADP	de
deus	DET	deux
biax	ADJ	bel
enfans	NOUN	enfant
petis	ADJ	petit
,	PUNCT	,
Nicholete	PROPN	nicolette
et	CCONJ	et
Aucassins	PROPN	aucassin
,	PUNCT	,
des	ADP.DET	de.le
grans	ADJ	grand
paines	NOUN	peine
qu'	SCONJ	que
il	PRON	il
soufri	VERB	souffrir
et	CCONJ	et
des	ADP.DET	de.le
proueces	NOUN	prouece
qu'	SCONJ	que
il	PRON	il
fist	VERB	faire
por	ADP	por
s'	DET	soi
amie	NOUN	ami
o	ADP	o
le	DET	le
cler	ADJ	clair
vis	NOUN	vis
,	PUNCT	,
dox	DET	doux
est	VERB	estre
li	DET	le
cans	NOUN	cans
,	PUNCT	,
biax	ADJ	bel
li	DET	le
dis	VERB	dire
et	CCONJ	et
cortois	ADJ	cortois
et	CCONJ	et
bien	NOUN	bien
asis	VERB	asseoir
.	PUNCT	.
Nus	DET	nul
hom	NOUN	ome
n'	ADV	ne
est	VERB	estre
si	ADV	si
esbahis	VERB	ébahir
,	PUNCT	,
tant	ADV	tant
dolans	ADJ	dolent
ni	CCONJ	ne
entrepris	VERB	entreprendre
de	ADP	de
grant	ADJ	grant
mal	NOUN	mal
amaladis	VERB	amaladir
,	PUNCT	,
se	PRON	se
il	PRON	il
l'	DET	le
oit	VERB	avoir
,	PUNCT	,
ne	ADV	ne
soit	VERB	estre
garis	VERB	garir
et	CCONJ	et
de	ADP	de
joie	NOUN	joie
resbaudis	VERB	resbaudir
,	PUNCT	,
tant	ADV	tant
par	ADP	par
est	VERB	estre
douce	ADJ	doux
.	PUNCT	.
OR	ADV	or
DIENT	VERB	dire
ET	CCONJ	et
CONTENT	VERB	conter
ET	CCONJ	et
FABLENT	VERB	fabler
que	SCONJ	que
li	DET	le
quens	NOUN	comte
Bougars	PROPN	bougard
de	ADP	de
Valence	NOUN	valence
faisoit	VERB	faire
guere	NOUN	guerre
au	ADP.DET	a.le
conte	NOUN	comte
Garin	PROPN	garin
de	ADP	de
Biaucaire	PROPN	beaucaire
si	ADV	si
grande	ADJ	grand
et	CCONJ	et
si	ADV	si
mervelleuse	ADJ	merveillos
et	CCONJ	et
si	ADV	si
mortel	ADJ	mortel
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
fust	VERB	estre
uns	DET	un
seux	ADJ	sol
jors	NOUN	jour
ajornés	NOUN	ajorner
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
fust	VERB	estre
as	VERB	a.le
portes	NOUN	porte
et	CCONJ	et
as	VERB	a.le
murs	NOUN	mur
et	CCONJ	et
as	VERB	a.le
bares	NOUN	baron
de	ADP	de
le	DET	le
vile	NOUN	vile
a	ADP	a
cent	DET	cent
cevaliers	NOUN	chevalier
et	CCONJ	et
a	ADP	a
dis	VERB	dire
mile	DET	mil
sergens	NOUN	sergent
a	ADP	a
pié	NOUN	pié
et	CCONJ	et
a	ADP	a
ceval	NOUN	cheval
,	PUNCT	,
si	ADV	si
li	DET	le
argoit	NOUN	argetre
sa	DET	son
terre	NOUN	terre
et	CCONJ	et
gastoit	VERB	gastoi
son	DET	son
païs	NOUN	päis
et	CCONJ	et
ocioit	VERB	occire
ses	DET	son
homes	NOUN	ome
.	PUNCT	.
Li	DET	le
quens	NOUN	comte
garins	NOUN	garin
de	ADP	de
Biaucaire	PROPN	beaucaire
estoit	VERB	estre
vix	NOUN	vil
et	CCONJ	et
frales	NOUN	fraler
,	PUNCT	,
si	ADV	si
avoit	VERB	avoir
son	DET	son
tans	NOUN	tens
trespassé	VERB	trespasser
.	PUNCT	.
Il	PRON	il
n'	ADV	ne
avoit	VERB	avoir
nul	DET	nul
oir	NOUN	hoir
,	PUNCT	,
ne	ADV	ne
fil	NOUN	fil
ne	ADV	ne
fille	NOUN	fille
,	PUNCT	,
fors	ADV	fors
un	DET	un
seul	ADJ	sol
vallet	NOUN	valet
:	PUNCT	:
cil	DET	cel
estoit	VERB	estre
tex	ADJ	tel
con	SCONJ	come
je	PRON	je
vos	PRON	vos
dirai	VERB	dire
.	PUNCT	.
Aucasins	PROPN	aucassin
avoit	VERB	avoir
a	ADP	a
non	NOUN	nom
li	DET	le
damoisiax	NOUN	damoiseau
.	PUNCT	.
Biax	ADJ	bel
