1400	NOUN	@card@
.	PUNCT	.
Vendredi	VERB	vendredi
,	PUNCT	,
XIXe	ADJ	sivre
jour	NOUN	jour
de	ADP	de
novembre	NOUN	novrement
.	PUNCT	.
Ce	PRON	ce
jour	NOUN	jour
,	PUNCT	,
a	ADP	a
esté	VERB	être
faicte	VERB	faire
eleccion	NOUN	excelin
de	ADP	de
graphier	VERB	grapier
,	PUNCT	,
et	CCONJ	et
est	VERB	estre
venu	VERB	venir
le	DET	le
sort	NOUN	sort
sur	ADP	sur
moy	PRON	moi
N	PUNCT	ne
.	PUNCT	.
de	ADP	de
Baye	PROPN	baie
,	PUNCT	,
indigne	ADJ	indigne
.	PUNCT	.
Mercredi	PROPN	mercredi
,	PUNCT	,
premier	ADJ	premier
jour	NOUN	jour
de	ADP	de
decembre	NOUN	dececer
.	PUNCT	.
Aujourdui	PROPN	aujourd'hui
,	PUNCT	,
maistre	NOUN	maître
Jehan	PROPN	jean
Chanteprime	NOUN	chantharte
,	PUNCT	,
conseiller	VERB	conseillier
du	ADP.DET	de.le
Roy	NOUN	roi
,	PUNCT	,
a	ADP	a
cogneu	VERB	conjaigne
et	CCONJ	et
confessé	VERB	confesser
devant	ADP	devant
maistre	NOUN	maître
Jehan	PROPN	jean
Garitel	PROPN	gartel
,	PUNCT	,
commissaire	NOUN	commissaitre
donné	VERB	donner
avec	ADP	avec
maistre	NOUN	maître
Pierre	PROPN	piere
Drouart	PROPN	drouper
,	PUNCT	,
conseiller	VERB	conseillier
du	ADP.DET	de.le
Roy	NOUN	roi
,	PUNCT	,
entre	ADP	entre
maistre	NOUN	maître
Loiz	PROPN	loi
Blanchet	PROPN	blanc
,	PUNCT	,
secretaire	NOUN	secreter
du	ADP.DET	de.le
Roy	NOUN	roi
,	PUNCT	,
d'	ADP	de
une	DET	un
part	NOUN	part
,	PUNCT	,
et	CCONJ	et
Jehanne	PROPN	jeanne
la	DET	le
Gencianne	PROPN	gencinement
,	PUNCT	,
d'	ADP	de
autre	ADJ	autre
part	NOUN	part
,	PUNCT	,
que	SCONJ	que
de	ADP	de
la	DET	le
somme	NOUN	somme
de	ADP	de
IIIm	X	istre
frans	ADJ	franc
,	PUNCT	,
de	ADP	de
quoy	PRON	quoi
avoit	VERB	avoir
esté	VERB	être
parlé	VERB	parler
,	PUNCT	,
que	SCONJ	que
ledit	DET	ledit
maistre	NOUN	maître
Loiz	PROPN	loi
estoit	VERB	estre
obligiez	VERB	obliger
en	ADP	en
la	DET	le
dicte	VERB	dire
somme	NOUN	somme
de	ADP	de
IIIm	X	istre
escus	NOUN	escu
envers	ADP	envers
ledit	DET	ledit
Chanteprime	NOUN	chantharte
,	PUNCT	,
ycely	NOUN	cil
maistre	NOUN	maître
Loiz	PROPN	loi
ne	ADV	ne
lui	PRON	lui
doit	VERB	devoir
aucunne	DET	aucunne
chose	NOUN	chose
,	PUNCT	,
ne	ADV	ne
n'	ADV	ne
est	VERB	estre
aucunement	ADV	aucunement
obligiez	VERB	obliger
ledit	DET	ledit
Loiz	PROPN	loi
envers	ADP	envers
lui	PRON	lui
d'	ADP	de
ycelle	DET	cil
somme	NOUN	somme
dessus	ADV	dessus
dicte	VERB	dire
.	PUNCT	.
Samedi	PROPN	samedi
,	PUNCT	,
IIIJe	DET	quatre
jour	NOUN	jour
de	ADP	de
decembre	NOUN	dececer
.	PUNCT	.
Ce	PRON	ce
jour	NOUN	jour
,	PUNCT	,
maistre	NOUN	maître
Jehan	PROPN	jean
Chanteprime	NOUN	chantharte
dit	VERB	dire
et	CCONJ	et
confessa	VERB	confesser
que	SCONJ	que
des	ADP.DET	de.le
trois	DET	trois
mil	DET	mil
escus	NOUN	escu
,	PUNCT	,
de	ADP	de
quoy	PRON	quoi
est	VERB	estre
cy	ADV	ci
dessus	ADV	dessus
mercredy	NOUN	mercredi
derrain	ADP	derrain
passé	NOUN	passer
touché	VERB	toucher
,	PUNCT	,
se	PRON	se
maistre	NOUN	maître
Loyz	PROPN	loi
y	ADV	y
