CI	ADV	ci
COMMENCE	X	commencer
LI	DET	le
LIVRES	PROPN	livre
DES	PROPN	de.le
COUSTUMES	VERB	coutume
ET	CCONJ	et
DES	PROPN	de.le
USAGES	PROPN	usage
DE	ADP	de
BEAUVOISINS	NOUN	beautous
SELONC	ADJ	selonc
CE	PRON	ce
QU'	CCONJ	que
IL	DET	il
COUROIT	VERB	courir
OU	CCONJ	où
TANS	ADJ	tans
QUE	CCONJ	que
CEST	DET	cest
LIVRES	PROPN	livre
FU	VERB	estre
FES	NOUN	faire
,	PUNCT	,
C'	CCONJ	ce
EST	VERB	estre
ASSAVOIR	PROPN	assavoir
EN	ADP	en
L'	DET	le
AN	ADP	an
DE	ADP	de
L'	DET	le
INCARNACION	NOUN	ignarchant
NOSTRE	ADJ	notre
SEIGNEUR	ADJ	seigneur
.M.CC.IIIIXX	DET	trancit-quatre
et	CCONJ	et
trois	DET	trois
.	PUNCT	.
C'	CCONJ	ce
est	VERB	estre
li	DET	le
prologues	NOUN	prologue
.	PUNCT	.
La	DET	le
grant	ADJ	grant
esperance	NOUN	espérance
que	SCONJ	que
nous	PRON	nous
avons	VERB	avoir
de	ADP	de
l'	DET	le
aide	NOUN	aider
a	ADP	a
celui	DET	cel
par	ADP	par
qui	PRON	qui
toutes	DET	tout
choses	NOUN	chose
sont	VERB	estre
fetes	VERB	faire
et	CCONJ	et
sans	NOUN	sans
qui	PRON	qui
riens	NOUN	rien
ne	ADV	ne
pourroit	VERB	pouvoir
estre	VERB	estre
fet	VERB	faire
,	PUNCT	,
-	PUNCT	-
c'	CCONJ	ce
est	VERB	estre
li	DET	le
Peres	NOUN	père
et	CCONJ	et
li	DET	le
Fius	NOUN	fils
et	CCONJ	et
li	DET	le
Sains	ADJ	saint
Esperis	NOUN	esprendre
,	PUNCT	,
lesqueles	DET	lequel
trois	DET	trois
tres	ADV	très
saintes	ADJ	saint
et	CCONJ	et
tres	ADV	très
precieuses	ADJ	precïos
choses	NOUN	chose
sont	VERB	estre
uns	DET	un
seus	ADJ	sol
Dieus	PROPN	dieu
en	ADP	en
Trinité	NOUN	trinité
-	PUNCT	-
nous	PRON	nous
donne	VERB	donner
talent	NOUN	talent
de	ADP	de
metre	VERB	metre
nostre	DET	notre
cuer	NOUN	cuer
et	CCONJ	et
nostre	DET	notre
entendement	NOUN	entendement
en	ADP	en
estude	NOUN	esteu
et	CCONJ	et
en	ADP	en
pensee	NOUN	penser
de	ADP	de
trouver	VERB	trouver
un	DET	un
livre	NOUN	livre
par	ADP	par
lequel	DET	lequel
cil	DET	cel
qui	PRON	qui
desirent	VERB	desirrer
vivre	VERB	vivre
en	ADP	en
pes	NOUN	pais
soient	VERB	estre
enseignié	VERB	enseignier
briement	NOUN	briembre
comment	ADV	comment
il	PRON	il
se	PRON	se
defendront	VERB	defendre
de	ADP	de
ceus	DET	ceu
qui	PRON	qui
a	ADP	a
tort	NOUN	tort
et	CCONJ	et
par	ADP	par
mauvese	NOUN	mauvais
cause	NOUN	cause
les	DET	le
assaudront	VERB	assautur
de	ADP	de
plet	NOUN	plait
,	PUNCT	,
et	CCONJ	et
comment	ADV	comment
il	PRON	il
connoistront	VERB	connaître
le	DET	le
droit	ADJ	droit
du	ADP.DET	de.le
tort	NOUN	tort
,	PUNCT	,
usé	VERB	user
et	CCONJ	et
acoustumé	VERB	accoutumer
en	ADP	en
la	DET	le
conteé	VERB	conter
de	ADP	de
Clermont	PROPN	clerment
en	ADP	en
Beauvoisins	PROPN	beaucoine
.	PUNCT	.
Et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
nous	PRON	nous
sommes	NOUN	somme
de	ADP	de
celui	DET	cel
païs	NOUN	päis
et	CCONJ	et
que	SCONJ	que
nous	PRON	nous
nous	PRON	nous
sommes	NOUN	somme
entremis	VERB	entremetre
de	ADP	de
garder	VERB	garder
et	CCONJ	et
de	ADP	de
fere	VERB	faire
garder	VERB	garder
les	DET	le
drois	ADJ	droit
et	CCONJ	et
les	DET	le
coustumes	NOUN	coutume
de	ADP	de
ladite	DET	ledit
conteé	VERB	conter
par	ADP	par
la	DET	le
volonté	NOUN	volonté
du	ADP.DET	de.le
tres	ADV	très
haut	ADJ	haut
homme	NOUN	homme
et	CCONJ	et
tres	ADV	très
noble	ADJ	noble
Robert	PROPN	robert
,	PUNCT	,
fil	NOUN	fil
du	ADP.DET	de.le
roi	NOUN	roi
de	ADP	de
France	PROPN	france
,	PUNCT	,
conte	NOUN	comte
de	ADP	de
Clermont	PROPN	clerment
,	PUNCT	,
devons	VERB	devoir
nous	PRON	nous
avoir	VERB	avoir
plus	ADV	plus
grant	ADJ	grant
volenté	NOUN	volenté
de	ADP	de
trouver	VERB	trouver
selonc	ADJ	selonc
les	DET	le
coustumes	NOUN	coutume
dudit	ADP.DET	de.ledit
païs	NOUN	päis
que	SCONJ	que
d'	ADP	de
autre	ADJ	autre
;	PUNCT	;
et	CCONJ	et
si	ADV	si
regardons	NOUN	regard
.III.	DET	trois
resons	NOUN	reson
principaus	ADJ	principal
qui	PRON	qui
a	ADP	a
ce	PRON	ce
nous	PRON	nous
doivent	VERB	devoir
mouvoir	NOUN	mouvoir
.	PUNCT	.
La	DET	le
premiere	ADJ	premier
reson	NOUN	reson
,	PUNCT	,
c'	CCONJ	ce
est	VERB	estre
assavoir	VERB	assavoir
que	SCONJ	que
Dieus	PROPN	dieu
commanda	VERB	commander
que	SCONJ	que
l'	DET	le
en	ADP	en
amast	VERB	amer
son	DET	son
proisme	NOUN	prisome
comme	SCONJ	comme
soi	PRON	soi
meisme	ADJ	même
,	PUNCT	,
et	CCONJ	et
cil	DET	cel
dudit	ADP.DET	de.ledit
païs	NOUN	päis
sont	VERB	estre
nostre	DET	notre
proisme	NOUN	prisome
par	ADP	par
reson	NOUN	reson
de	ADP	de
voisinage	NOUN	voisinge
et	CCONJ	et
de	ADP	de
nacion	NOUN	nacoin
,	PUNCT	,
et	CCONJ	et
teus	ADJ	taire
i	ADV	i
a	ADP	a
de	ADP	de
lignage	NOUN	lignage
.	PUNCT	.
Si	ADV	si
nous	PRON	nous
semble	NOUN	sembler
grans	ADJ	grand
pourfis	NOUN	poursuit
se	PRON	se
nous	PRON	nous
,	PUNCT	,
par	ADP	par
nostre	DET	notre
travail	NOUN	travail
,	PUNCT	,
a	ADP	a
l'	DET	le
aide	NOUN	aider
de	ADP	de
Dieu	PROPN	dieu
,	PUNCT	,
leur	DET	leur
pouons	NOUN	pouvoir
parfere	NOUN	parfaire
cest	DET	cest
livre	NOUN	livre
par	ADP	par
lequel	DET	lequel
il	PRON	il
puissent	VERB	pöoir
estre	VERB	estre
enseignié	VERB	enseignier
de	ADP	de
pourchacier	VERB	pourcharion
leur	DET	leur
droit	ADJ	droit
et	CCONJ	et
de	ADP	de
lessier	VERB	laissier
leur	DET	leur
tort	NOUN	tort
.	PUNCT	.
La	DET	le
seconde	ADJ	second
reson	NOUN	reson
si	ADV	si
est	VERB	estre
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
nous	PRON	nous
puissons	NOUN	pouvoir
fere	VERB	faire
,	PUNCT	,
a	ADP	a
l'	DET	le
aide	NOUN	aider
de	ADP	de
Dieu	PROPN	dieu
,	PUNCT	,
aucune	DET	aucun
chose	NOUN	chose
qui	PRON	qui
plese	NOUN	plaire
a	ADP	a
nostre	DET	notre
seigneur	NOUN	seigneur
le	DET	le
conte	NOUN	comte
et	CCONJ	et
a	ADP	a
ceus	DET	ceu
de	ADP	de
son	DET	son
conseil	NOUN	conseil
,	PUNCT	,
car	CCONJ	car
,	PUNCT	,
se	PRON	se
Dieu	PROPN	dieu
plest	NOUN	plaire
,	PUNCT	,
par	ADP	par
cest	DET	cest
livre	NOUN	livre
pourra	VERB	pouvoir
il	PRON	il
estre	VERB	estre
enseignié	VERB	enseignier
comment	ADV	comment
il	PRON	il
devera	VERB	devarer
garder	VERB	garder
et	CCONJ	et
fere	VERB	faire
garder	VERB	garder
les	DET	le
coustumes	NOUN	coutume
de	ADP	de
sa	DET	son
terre	NOUN	terre
de	ADP	de
la	DET	le
conteé	VERB	conter
de	ADP	de
Clermont	PROPN	clerment
,	PUNCT	,
si	ADV	si
que	SCONJ	que
si	ADV	si
homme	NOUN	homme
