VIE	NOUN	vie
DE	ADP	de
SAINT	ADJ	saint
THOMAS	ADJ	thompse
BECKET	PROPN	bececit
Tuit	DET	tot
li	DET	le
fysicïen	NOUN	fiispre
ne	ADV	ne
sunt	VERB	être
adès	ADV	afair
bon	ADJ	bon
mire	NOUN	mire
;	PUNCT	;
Tuit	DET	tot
clerc	NOUN	clerc
ne	ADV	ne
sevent	VERB	savoir
pas	NOUN	pas
bien	NOUN	bien
chanter	VERB	chanter
ne	ADV	ne
bien	NOUN	bien
lire	NOUN	lire
;	PUNCT	;
Asquanz	ADP	ascuant
des	ADP.DET	de.le
troveürs	NOUN	trover
faillent	VERB	failler
tost	DET	tost
a	ADP	a
bien	NOUN	bien
dire	VERB	dire
;	PUNCT	;
Tel	DET	tel
choisist	VERB	choir
le	DET	le
nualz	NOUN	nual
ki	PRON	qui
le	DET	le
mielz	ADV	mieux
quide	VERB	quider
eslire	VERB	eslire
,	PUNCT	,
E	CCONJ	et
tel	DET	tel
quide	VERB	quider
estre	VERB	estre
mieldre	ADJ	mieuxler
des	ADP.DET	de.le
altres	PRON	autre
,	PUNCT	,
est	VERB	estre
li	DET	le
pire	NOUN	pire
.	PUNCT	.
Si	ADV	si
nuls	DET	nul
voelt	VERB	voloir
contruver	VERB	contrevour
u	CCONJ	ou
traitier	NOUN	traitif
u	CCONJ	ou
escrire	VERB	écrire
,	PUNCT	,
De	ADP	de
bien	NOUN	bien
dire	VERB	dire
se	PRON	se
peint	VERB	peindre
,	PUNCT	,
que	SCONJ	que
nuls	DET	nul
n'	ADV	ne
en	ADP	en
puisse	VERB	pöoir
rire	VERB	rire
U	DET	ou
par	ADP	par
alcune	ADJ	aucun
rien	NOUN	rien
s'	DET	soi
uvraine	NOUN	ouvrir
descumfire	VERB	descombrer
;	PUNCT	;
Mette	NOUN	mettre
le	DET	le
sen	DET	son
avant	ADV	avant
,	PUNCT	,
e	CCONJ	et
li	DET	le
mals	NOUN	mal
seit	VERB	être
a	ADP	a
dire	VERB	dire
:	PUNCT	:
Del	ADP.DET	de.le
bien	NOUN	bien
amende	NOUN	amender
l'	DET	le
um	DET	ume
e	CCONJ	et
nuls	DET	nul
huem	NOUN	homme
n'	ADV	ne
en	ADP	en
empire	NOUN	empire
.	PUNCT	.
Pur	ADP	pour
ceo	DET	ce
l'	DET	le
ai	VERB	avoir
comencié	VERB	commencer
ke	SCONJ	que
jeo	PRON	je
voldrai	VERB	voloir
descrire	VERB	descrire
,	PUNCT	,
Se	SCONJ	se
Jesu	PROPN	jesus
Crist	PROPN	crist
le	DET	le
sueffre	VERB	souffrir
,	PUNCT	,
ki	PRON	qui
de	ADP	de
nus	DET	nul
tuz	DET	tous
est	VERB	estre
sire	NOUN	seignor
,	PUNCT	,
La	DET	le
vie	NOUN	vie
saint	ADJ	saint
Thomas	PROPN	thomas
,	PUNCT	,
celui	DET	cel
de	ADP	de
Cantorbire	PROPN	centirme
,	PUNCT	,
Ki	PRON	qui
pur	ADP	pour
sa	DET	son
mere	NOUN	mere
iglise	NOUN	eglise
fu	VERB	estre
ocis	VERB	ocire
par	ADP	par
martyre	NOUN	martire
.	PUNCT	.
Or	ADV	or
est	VERB	estre
halz	NOUN	haut
sainz	ADJ	saint
el	ADP.DET	en.le
ciel	NOUN	ciel
,	PUNCT	,
nul	DET	nul
nel	ADV.PRON	ne.il
pot	VERB	pöoir
contredire	VERB	contredire
.	PUNCT	.
De	ADP	de
mult	ADV	moult
divers	ADJ	divers
curages	NOUN	courage
e	CCONJ	et
de	ADP	de
diverse	ADJ	divers
vie	NOUN	vie
Sunt	VERB	être
en	ADP	en
cest	DET	cest
siecle	NOUN	siècle
gent	NOUN	gent
,	PUNCT	,
n'	ADV	ne
est	VERB	estre
nul	DET	nul
hom	NOUN	ome
kil	DET	qui.le
desdie	VERB	de.ledit
.	PUNCT	.
Plusurs	NOUN	plus
unt	VERB	avoir
povreté	NOUN	pauvreté
,	PUNCT	,
li	DET	le
alquant	ADV	alquant
manantie	NOUN	maninet
;	PUNCT	;
Alquant	ADV	alquant
aiment	VERB	aimer
le	DET	le
sen	DET	son
e	CCONJ	et
plusur	DET	plus
la	DET	le
folie	NOUN	folie
;	PUNCT	;
Li	DET	le
alquant	ADV	alquant
aiment	VERB	aimer
Deu	PROPN	dieu
,	PUNCT	,
Sathan	PROPN	sapant
les	DET	le
plusurs	DET	plus
guie	NOUN	gui
.	PUNCT	.
Seignurs	NOUN	seigneur
,	PUNCT	,
pur	ADP	pour
amur	NOUN	amur
Deu	PROPN	dieu
e	CCONJ	et
pur	ADP	pour
salvatiun	NOUN	sauvantil
,	PUNCT	,
Leissiez	VERB	laissier
la	DET	le
vanité	NOUN	venité
,	PUNCT	,
entendez	VERB	entendre
al	ADP.DET	à.le
sermun	NOUN	sermondre
.	PUNCT	.
N'	ADV	ne
i	ADV	i
ad	VERB	avoir
celui	DET	cel
de	ADP	de
vus	PRON	vous
ki	PRON	qui
n'	ADV	ne
entende	VERB	entendre
raisun	NOUN	raison
.	PUNCT	.
Leissiez	VERB	laissier
del	ADP.DET	de.le
tut	DET	tout
ester	VERB	ester
le	DET	le
conseil	NOUN	conseil
al	ADP.DET	à.le
felun	NOUN	felon
:	PUNCT	:
Malveis	PROPN	mauvais
est	VERB	estre
li	DET	le
guaainz	NOUN	gaune
ki	PRON	qui
turne	NOUN	torner
a	ADP	a
dampneisun	NOUN	damnoissin
.	PUNCT	.
E	CCONJ	et
Deu	PROPN	dieu
e	CCONJ	et
seinte	ADJ	saint
iglise	NOUN	eglise
e	CCONJ	et
les	DET	le
clers	NOUN	cler
honurez	VERB	honorer
;	PUNCT	;
Les	DET	le
povres	ADJ	pauvre
herbergiez	VERB	herbergier
e	CCONJ	et
peissiez	NOUN	paistre
e	CCONJ	et
vestez	VERB	vestir
,	PUNCT	,
E	CCONJ	et
voz	DET	vostre
dismes	NOUN	dire
del	ADP.DET	de.le
tut	DET	tout
dreituralment	ADV	dretuillir
dunez	VERB	donner
;	PUNCT	;
Des	ADP.DET	de.le
pechiez	NOUN	pechié
criminals	NOUN	crimille
,	PUNCT	,
de	ADP	de
trestuz	DET	trestot
,	PUNCT	,
vus	PRON	vous
guardez	VERB	garder
:	PUNCT	:
Veirement	NOUN	voirement
le	DET	le
vus	PRON	vous
di	VERB	dire
que	SCONJ	que
Damnedeu	PROPN	damedieu
avrez	VERB	avoir
.	PUNCT	.
Mult	ADV	moult
par	ADP	par
