Que	CCONJ	que
nul	DET	nul
senblant	NOUN	semblant
de	ADP	de
rien	NOUN	rien
en	ADP	en
face	VERB	faire
.	PUNCT	.
Com	SCONJ	come
ele	PRON	il
aprisme	VERB	aprendre
son	DET	son
ami	NOUN	ami
,	PUNCT	,
Oiez	VERB	oiier
com	SCONJ	come
el	ADP.DET	en.le
l'	DET	le
a	ADP	a
devanci	ADP	devancir
:	PUNCT	:
«	PUNCT	"
Sire	NOUN	seignor
Tristran	PROPN	tristre
,	PUNCT	,
por	ADP	por
Deu	PROPN	dieu
le	DET	le
roi	NOUN	roi
,	PUNCT	,
Si	ADV	si
grant	ADJ	grant
pechié	NOUN	pechié
avez	VERB	avoir
de	ADP	de
moi	PRON	je
,	PUNCT	,
Qui	PRON	qui
me	PRON	je
mandez	VERB	mander
a	ADP	a
itel	DET	itel
ore	NOUN	ore
!	PUNCT	!
»	PUNCT	"
Or	ADV	or
fait	VERB	faire
senblant	NOUN	semblant
con	SCONJ	come
s'	DET	soi
ele	PRON	il
plore	NOUN	plorer
.	PUNCT	.
mie	ADV	mie
mes	DET	mais
en	ADP	en
vie	NOUN	vie
.	PUNCT	.
ceste	DET	cest
asenblee	VERB	assembler
s'	DET	soi
espee	NOUN	espee
.	PUNCT	.
I	DET	i
Conme	SCONJ	comme
Par	ADP	par
Deu	PROPN	dieu
,	PUNCT	,
qui	PRON	qui
l'	DET	le
air	NOUN	air
fist	VERB	faire
et	CCONJ	et
la	DET	le
mer	NOUN	mer
,	PUNCT	,
Ne	CCONJ	ne
me	PRON	je
mandez	VERB	mander
nule	DET	nul
foiz	NOUN	foi
mais	NOUN	mais
.	PUNCT	.
Je	PRON	je
vos	PRON	vos
di	VERB	dire
bien	NOUN	bien
,	PUNCT	,
Tristran	PROPN	tristre
,	PUNCT	,
a	ADP	a
fais	NOUN	faire
,	PUNCT	,
Certes	ADV	certes
,	PUNCT	,
je	PRON	je
n'	ADV	ne
i	ADV	i
vendroie	VERB	venir
mie	ADV	mie
.	PUNCT	.
Li	DET	le
rois	NOUN	roi
pense	NOUN	penser
que	SCONJ	que
par	ADP	par
folie	NOUN	folie
,	PUNCT	,
Sire	NOUN	seignor
Tristran	PROPN	tristre
,	PUNCT	,
vos	PRON	vos
aie	VERB	avoir
amé	NOUN	aimer
;	PUNCT	;
Mais	CCONJ	mais
Dex	PROPN	dieu
plevis	NOUN	plevir
ma	DET	mon
loiauté	NOUN	loyaler
,	PUNCT	,
Qui	PRON	qui
sor	ADP	sor
mon	DET	mon
cors	NOUN	cors
mete	VERB	metre
flaele	NOUN	flaele
,	PUNCT	,
S'	DET	se
onques	ADV	onque
fors	ADV	fors
