Monsieur	NOUN	monsieur
l'	DET	le
arcevesque	NOUN	archevéque
de	ADP	de
Vienne	ADJ	venir
,	PUNCT	,
pour	ADP	pour
satisfaire	NOUN	satiser
à	ADP	à
la	DET	le
requeste	NOUN	requête
qu'	SCONJ	que
il	PRON	il
vous	PRON	vous
a	ADP	a
pleu	NOUN	pleu
me	PRON	je
faire	VERB	faire
de	ADP	de
vous	PRON	vous
escrire	VERB	écrire
et	CCONJ	et
mettre	VERB	mettre
par	ADP	par
memoire	NOUN	memoire
ce	PRON	ce
que	SCONJ	que
j'	PRON	je
ay	VERB	avoir
sceu	NOUN	savoir
et	CCONJ	et
congneu	VERB	connaître
des	ADP.DET	de.le
faictz	VERB	fait
du	ADP.DET	de.le
roy	NOUN	roi
Loys	PROPN	louis
unziesme	ADJ	onzième
,	PUNCT	,
à	ADP	à
qui	PRON	qui
Dieu	PROPN	dieu
face	VERB	faire
pardon	NOUN	pardon
,	PUNCT	,
nostre	DET	notre
maistre	NOUN	maître
et	CCONJ	et
bienfaicteur	NOUN	bienfaite
,	PUNCT	,
et	CCONJ	et
prince	NOUN	prince
digne	ADJ	digne
de	ADP	de
très	ADV	très
excellente	ADJ	excellende
memoire	NOUN	memoire
,	PUNCT	,
je	PRON	je
l'	DET	le
ay	VERB	avoir
faict	VERB	faire
le	DET	le
plus	ADV	plus
près	NOUN	près
de	ADP	de
la	DET	le
verité	NOUN	vérité
que	SCONJ	que
j'	PRON	je
ay	VERB	avoir
peu	ADV	peu
et	CCONJ	et
sceu	NOUN	savoir
avoir	VERB	avoir
souvenance	NOUN	souvenance
.	PUNCT	.
Du	ADP.DET	de.le
temps	NOUN	temps
de	ADP	de
sa	DET	son
jeunesse	NOUN	jeunesse
ne	ADV	ne
scauroye	VERB	savoir
parler	VERB	parler
,	PUNCT	,
sinon	ADJ	sinon
par	ADP	par
ce	PRON	ce
que	SCONJ	que
je	PRON	je
luy	PRON	lui
en	ADP	en
ay	VERB	avoir
ouy	VERB	ouïr
parler	VERB	parler
et	CCONJ	et
dire	VERB	dire
;	PUNCT	;
mais	NOUN	mais
,	PUNCT	,
depuis	ADV	depuis
le	DET	le
temps	NOUN	temps
que	SCONJ	que
je	PRON	je
veins	NOUN	venir
en	ADP	en
son	DET	son
service	NOUN	service
,	PUNCT	,
jusques	ADP	jusque
à	ADP	à
l'	DET	le
heure	NOUN	heure
de	ADP	de
son	DET	son
trespas	VERB	trespasser
,	PUNCT	,
où	ADV	où
j'	PRON	je
estoye	VERB	être
present	NOUN	présent
,	PUNCT	,
ay	VERB	avoir
faict	VERB	faire
plus	ADV	plus
continuelle	NOUN	continuelle
residence	NOUN	restigne
avec	ADP	avec
luy	PRON	lui
que	SCONJ	que
nul	DET	nul
autre	ADJ	autre
,	PUNCT	,
de	ADP	de
l'	DET	le
estat	NOUN	état
à	ADP	à
quoy	PRON	quoi
je	PRON	je
le	DET	le
servoye	NOUN	servir
,	PUNCT	,
qui	PRON	qui
,	PUNCT	,
pour	ADP	pour
le	DET	le
moins	ADV	moins
,	PUNCT	,
a	ADP	a
tousjours	ADV	toujours
esté	VERB	être
de	ADP	de
chambellan	NOUN	chambellan
,	PUNCT	,
ou	CCONJ	ou
occuppé	VERB	occuper
en	ADP	en
ses	DET	son
grans	ADJ	grand
affaires	NOUN	affaire
.	PUNCT	.
En	ADP	en
luy	PRON	lui
et	CCONJ	et
tous	DET	tout
autres	PRON	autre
princes	NOUN	prince
que	SCONJ	que
j'	PRON	je
ay	VERB	avoir
congneuz	VERB	connaître
ou	CCONJ	ou
servy	VERB	servir
,	PUNCT	,
ay	VERB	avoir
congneu	VERB	connaître
du	ADP.DET	de.le
bien	NOUN	bien
et	CCONJ	et
du	ADP.DET	de.le
mal	NOUN	mal
,	PUNCT	,
car	CCONJ	car
ilz	PRON	il
sont	VERB	estre
hommes	NOUN	homme
comme	SCONJ	comme
nous	PRON	nous
.	PUNCT	.
A	ADP	a
Dieu	PROPN	dieu
seul	ADJ	sol
appartient	VERB	appartenir
la	DET	le
perfection	NOUN	perfection
.	PUNCT	.
Mais	CCONJ	mais
quant	SCONJ	cant
en	ADP	en
ung	DET	un
prince	NOUN	prince
la	DET	le
vertu	NOUN	vertu
et	CCONJ	et
bonnes	ADJ	bon
condicions	NOUN	condition
precèdent	VERB	précéder
les	DET	le
vices	NOUN	vice
,	PUNCT	,
il	PRON	il
est	VERB	estre
digne	ADJ	digne
de	ADP	de
grand	ADJ	grand
louenge	NOUN	louange
,	PUNCT	,
veu	VERB	voir
qu'	SCONJ	que
ilz	PRON	il
sont	VERB	estre
plus	ADV	plus
enclins	VERB	enclin
a	ADP	a
toutes	DET	tout
choses	NOUN	chose
voluntaires	NOUN	volontiers
que	SCONJ	que
autres	PRON	autre
hommes	NOUN	homme
,	PUNCT	,
tant	ADV	tant
pour	ADP	pour
la	DET	le
nourriture	NOUN	nourriture
et	CCONJ	et
petit	ADJ	petit
chastoy	NOUN	chaste
qu'	SCONJ	que
ilz	PRON	il
ont	VERB	avoir
eu	VERB	avoir
en	ADP	en
leurs	DET	leur
jeunesses	NOUN	jeunesse
que	SCONJ	que
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
,	PUNCT	,
venans	VERB	venir
en	ADP	en
l'	DET	le
aage	NOUN	ëage
d'	ADP	de
homme	NOUN	homme
,	PUNCT	,
la	DET	le
pluspart	NOUN	plupart
des	ADP.DET	de.le
gens	NOUN	gens
taschent	VERB	tachen
à	ADP	à
leur	DET	leur
complaire	VERB	complaire
et	CCONJ	et
à	ADP	à
leurs	DET	leur
complexions	NOUN	compleviol
et	CCONJ	et
condicions	NOUN	condition
.	PUNCT	.
Et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
je	PRON	je
ne	ADV	ne
vouldroye	VERB	vouloir
point	NOUN	point
mentir	VERB	mentir
,	PUNCT	,
se	PRON	se
pourroit	VERB	pouvoir
faire	VERB	faire
que	SCONJ	que
,	PUNCT	,
en	ADP	en
quelque	DET	quelque
endroit	NOUN	endroit
de	ADP	de
cest	DET	cest
escript	VERB	écrire
,	PUNCT	,
se	PRON	se
pourroit	VERB	pouvoir
aulcune	DET	aucun
chose	NOUN	chose
trouver	VERB	trouver
qui	PRON	qui
du	ADP.DET	de.le
tout	DET	tout
ne	ADV	ne
seroit	VERB	estre
à	ADP	à
sa	DET	son
louenge	NOUN	louange
.	PUNCT	.
Mais	CCONJ	mais
j'	PRON	je
ay	VERB	avoir
esperance	NOUN	espérance
que	SCONJ	que
ceulx	PRON	cil
qui	PRON	qui
le	DET	le
liront	VERB	laintre
considereront	NOUN	conseitire
les	DET	le
raisons	NOUN	raison
dessusdictes	ADJ	dessus-dit
;	PUNCT	;
et	CCONJ	et
tant	ADV	tant
osé	VERB	oser
-	PUNCT	-
je	PRON	je
bien	NOUN	bien
dire	VERB	dire
de	ADP	de
luy	PRON	lui
,	PUNCT	,
à	ADP	à
son	DET	son
loz	DET	los
,	PUNCT	,
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
me	PRON	je
semble	NOUN	sembler
pas	NOUN	pas
que	SCONJ	que
jamais	ADV	jamais
j'	PRON	je
aye	NOUN	avoir
congneu	VERB	connaître
nul	DET	nul
prince	NOUN	prince
où	ADV	où
il	PRON	il
y	ADV	y
eust	VERB	avoir
moins	ADV	moins
de	ADP	de
vices	NOUN	vice
que	SCONJ	que
en	ADP	en
luy	PRON	lui
,	PUNCT	,
à	ADP	à
regarder	VERB	regarder
le	DET	le
tout	DET	tout
.	PUNCT	.
Si	ADV	si
ay	VERB	avoir
-	PUNCT	-
je	PRON	je
eu	VERB	avoir
autant	ADV	autant
de	ADP	de
congnoissance	NOUN	connaissance
de	ADP	de
grans	ADJ	grand
princes	NOUN	prince
et	CCONJ	et
autant	ADV	autant
de	ADP	de
communication	NOUN	communication
avecques	ADP	avec
eulx	PRON	eux
que	SCONJ	que
nul	DET	nul
homme	NOUN	homme
qui	PRON	qui
ait	VERB	avoir
regné	VERB	régné
en	ADP	en
France	PROPN	france
de	ADP	de
mon	DET	mon
temps	NOUN	temps
,	PUNCT	,
tant	ADV	tant
de	ADP	de
ceulx	PRON	cil
qui	PRON	qui
ont	VERB	avoir
regné	VERB	régné
en	ADP	en
ce	PRON	ce
royaulme	NOUN	royaume
que	SCONJ	que
en	ADP	en
Bretaigne	PROPN	bretagne
et	CCONJ	et
en	ADP	en
ces	DET	ce
parties	NOUN	partie
de	ADP	de
Flandres	PROPN	flandres
,	PUNCT	,
en	ADP	en
Allemaigne	PROPN	allemagne
,	PUNCT	,
Angleterre	PROPN	angleterre
,	PUNCT	,
Espaigne	PROPN	espagne
,	PUNCT	,
Portugal	PROPN	portugal
et	CCONJ	et
Italie	VERB	italie
,	PUNCT	,
tant	ADV	tant
seigneurs	NOUN	seigneur
temporelz	ADJ	temporer
que	SCONJ	que
spirituelz	ADJ	sirpile
,	PUNCT	,
et	CCONJ	et
de	ADP	de
plusieurs	DET	plusieurs
dont	PRON	dont
je	PRON	je
n'	ADV	ne
ay	VERB	avoir
eu	VERB	avoir
la	DET	le
veue	NOUN	voir
,	PUNCT	,
mais	NOUN	mais
congnoissance	NOUN	connaissance
par	ADP	par
communications	NOUN	communication
de	ADP	de
leurs	DET	leur
ambassades	NOUN	ambassade
,	PUNCT	,
par	ADP	par
lettres	NOUN	lettre
et	CCONJ	et
par	ADP	par
leurs	DET	leur
instructions	NOUN	instruction
,	PUNCT	,
par	ADP	par
quoy	PRON	quoi
on	PRON	on
peult	VERB	pouvoir
assez	ADV	assez
avoir	VERB	avoir
d'	ADP	de
informations	NOUN	information
de	ADP	de
leur	DET	leur
nature	NOUN	nature
et	CCONJ	et
condicion	NOUN	condition
.	PUNCT	.
Toutesfois	ADV	toutefois
ne	ADV	ne
pretendz	VERB	prétendre
en	ADP	en
riens	NOUN	rien
,	PUNCT	,
en	ADP	en
le	DET	le
louant	VERB	louer
en	ADP	en
cet	DET	ce
endroit	NOUN	endroit
,	PUNCT	,
diminuer	VERB	diminuer
l'	DET	le
honneur	NOUN	honneur
ne	ADV	ne
bonne	ADJ	bon
renommée	VERB	renommée
des	ADP.DET	de.le
aultres	PRON	autre
,	PUNCT	,
mais	NOUN	mais
vous	PRON	vous
envoye	VERB	envoyer
ce	PRON	ce
dont	PRON	dont
promptement	NOUN	promptement
m'	PRON	je
est	VERB	estre
souvenu	ADJ	souvenue
,	PUNCT	,
esperant	VERB	esperer
que	SCONJ	que
vous	PRON	vous
le	DET	le
demandez	VERB	demander
pour	ADP	pour
le	DET	le
mectre	VERB	mettre
en	ADP	en
quelque	DET	quelque
oeuvre	NOUN	oeuvrer
que	SCONJ	que
vous	PRON	vous
avez	VERB	avoir
intention	NOUN	intention
de	ADP	de
faire	VERB	faire
en	ADP	en
langue	NOUN	langue
latine	NOUN	lait
dont	PRON	dont
vous	PRON	vous
estes	VERB	estre
bien	NOUN	bien
usité	NOUN	usiter
;	PUNCT	;
par	ADP	par
laquelle	DET	lequel
oeuvre	NOUN	oeuvrer
se	PRON	se
pourra	VERB	pouvoir
congnoistre	VERB	connaître
la	DET	le
grandeur	ADJ	grandise
du	ADP.DET	de.le
prince	NOUN	prince
duquel	ADP.DET	de.lequel
vous	PRON	vous
parleray	VERB	parler
,	PUNCT	,
et	CCONJ	et
aussi	ADV	aussi
de	ADP	de
vostre	DET	vostre
entendement	NOUN	entendement
.	PUNCT	.
Et	CCONJ	et
là	ADV	là
où	ADV	où
je	PRON	je
fauldroye	NOUN	falir
,	PUNCT	,
trouverez	VERB	trouver
monsr	NOUN	monseigneur
de	ADP	de
Bochage	PROPN	bochage
et	CCONJ	et
autres	PRON	autre
qui	PRON	qui
myeulx	ADV	mieux
vous	PRON	vous
en	ADP	en
sçauront	VERB	savoir
parler	VERB	parler
et	CCONJ	et
le	DET	le
coucher	VERB	coucher
en	ADP	en
meilleur	ADJ	meilleur
langaige	NOUN	langage
que	SCONJ	que
moy	PRON	moi
.	PUNCT	.
Mais	CCONJ	mais
pour	ADP	pour
obligation	NOUN	obligation
d'	ADP	de
honneur	NOUN	honneur
et	CCONJ	et
grans	ADJ	grand
privaultéz	NOUN	privéal
et	CCONJ	et
biensfaictz	NOUN	bisifart
,	PUNCT	,
sans	NOUN	sans
jamais	ADV	jamais
interrompre	NOUN	interrompre
jusques	ADP	jusque
à	ADP	à
la	DET	le
mort	NOUN	mort
que	SCONJ	que
l'	DET	le
un	DET	un
ou	CCONJ	ou
l'	DET	le
autre	ADJ	autre
n'	ADV	ne
y	ADV	y
feust	VERB	être
,	PUNCT	,
nul	DET	nul
n'	ADV	ne
en	ADP	en
devroit	VERB	devoir
avoir	VERB	avoir
meilleure	ADJ	meilleur
souvenance	NOUN	souvenance
que	SCONJ	que
moy	PRON	moi
,	PUNCT	,
et	CCONJ	et
aussi	ADV	aussi
pour	ADP	pour
les	DET	le
pertes	NOUN	perte
