Ici	ADV	ici
cumence	VERB	commencer
li	DET	le
compuz	VERB	compus
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
Philippe	PROPN	philippe
.	PUNCT	.
Philippe	PROPN	philippe
de	ADP	de
Thaün	PROPN	thaure
Ad	VERB	avoir
fait	VERB	faire
une	DET	un
raisun	NOUN	raison
Pur	ADP	pour
pruveires	NOUN	prover
guarnir	VERB	garinguer
De	ADP	de
la	DET	le
lei	NOUN	loi
maintenir	VERB	maintenir
.	PUNCT	.
A	ADP	a
sun	DET	son
uncle	NOUN	oncle
l'	DET	le
enveiet	VERB	envoiier
,	PUNCT	,
Quë	CCONJ	que
amender	VERB	amender
la	DET	le
deiet	VERB	devoir
Si	ADV	si
rien	NOUN	rien
i	ADV	i
ad	VERB	avoir
mesdit	NOUN	mesdire
Ne	CCONJ	ne
en	ADP	en
fait	VERB	faire
ne	ADV	ne
en	ADP	en
escrit	NOUN	écrit
A	ADP	a
Unfrei	VERB	osfrir
de	ADP	de
Thaün	PROPN	thaure
,	PUNCT	,
Le	DET	le
chapelein	NOUN	chapelier
Yhun	PROPN	hion
E	CCONJ	et
seneschal	NOUN	seneschal
lu	DET	lui
rei	NOUN	roi
.	PUNCT	.
Icho	DET	ciso
vus	PRON	vous
di	VERB	dire
par	ADP	par
mei	PRON	moi
:	PUNCT	:
Salus	PROPN	salu
ad	VERB	avoir
Patrem	VERB	partement
Or	ADV	or
oëz	VERB	ouïr
son	DET	son
sermun	NOUN	sermondre
Cum	X	comme
le	DET	le
met	VERB	metre
a	ADP	a
raisun	NOUN	raison
,	PUNCT	,
E	CCONJ	et
cil	DET	cel
Deus	PROPN	dieu
chi	PRON	ci
tut	DET	tout
fist	VERB	faire
E	CCONJ	et
chi	PRON	ci
tuz	DET	tous
jurz	NOUN	jour
veir	NOUN	vair
dist	VERB	dire
,	PUNCT	,
Quë	CCONJ	que
ele	PRON	il
ne	ADV	ne
fait	VERB	faire
ren	NOUN	rendre
U	DET	ou
tuz	DET	tous
jurz	NOUN	jour
në	NOUN	ne
ait	VERB	avoir
ben	ADJ	bien
,	PUNCT	,
Ne	CCONJ	ne
li	DET	le
seit	VERB	être
purluinnee	VERB	porluigne
La	DET	le
joie	NOUN	joie
aparaillee	VERB	apareillier
.	PUNCT	.
Maistre	NOUN	maître
,	PUNCT	,
un	DET	un
livre	NOUN	livre
voil	NOUN	voloir
faire	VERB	faire
,	PUNCT	,
E	CCONJ	et
mult	ADV	moult
me	PRON	je
est	VERB	estre
a	ADP	a
cuntraire	VERB	contraire
Que	CCONJ	que
tant	ADV	tant
me	PRON	je
sui	VERB	estre
targét	NOUN	targer
Que	CCONJ	que
ne	ADV	ne
l'	DET	le
ai	VERB	avoir
acumencét	VERB	accumement
,	PUNCT	,
Char	NOUN	char
mult	ADV	moult
est	VERB	estre
necessarie	NOUN	nécessaire
Cel'	DET	cel
ovre	NOUN	ovrer
que	SCONJ	que
voil	NOUN	voloir
faire	VERB	faire
,	PUNCT	,
E	CCONJ	et
mult	ADV	moult
plusurs	DET	plus
clers	NOUN	cler
sunt	VERB	être
Chi	PRON	ci
grant	ADJ	grant
busuin	NOUN	besunt
en	ADP	en
unt	VERB	avoir
.	PUNCT	.
E	CCONJ	et
saint	ADJ	saint
Augustins	DET	augunidu
dit	VERB	dire
,	PUNCT	,
La	DET	le
u	CCONJ	ou
il	PRON	il
fait	VERB	faire
sun	DET	son
escrit	NOUN	écrit
U	DET	ou
numed	VERB	nommer
le	DET	le
librarie	NOUN	lariçoy
Chi	PRON	ci
mult	ADV	moult
est	VERB	estre
necessarie	NOUN	nécessaire
As	ADV	a.le
pruveires	NOUN	prover
garnir	VERB	garnir
A	ADP	a
la	DET	le
lei	NOUN	loi
maintenir	VERB	maintenir
.	PUNCT	.
Iço	PRON	ce
fud	VERB	deuf
li	DET	le
salters	NOUN	sauter
E	CCONJ	et
li	DET	le
antefiners	NOUN	enfendre
,	PUNCT	,
Baptisterie	PROPN	batripe
,	PUNCT	,
grahels	NOUN	graille
,	PUNCT	,
Li	DET	le
hymners	NOUN	miner
e	CCONJ	et
li	DET	le
messels	NOUN	mesler
,	PUNCT	,
Tropers	NOUN	troper
e	CCONJ	et
lecuners	NOUN	lecrence
E	CCONJ	et
canes	NOUN	chante
purparlers	NOUN	prouplerapt
A	ADP	a
cels	DET	cel
qui	PRON	qui
mal	NOUN	mal
funt	VERB	faire
?	PUNCT	?
Envers	ADP	envers
Deu	PROPN	dieu
se	PRON	se
forfunt	NOUN	forfait
?	PUNCT	?
E	CCONJ	et
cumpot	VERB	compout
pur	ADP	pour
cunter	VERB	conter
E	CCONJ	et
pur	ADP	pour
ben	ADJ	bien
esgarder	VERB	esgarder
Les	DET	le
termes	NOUN	terme
e	CCONJ	et
les	DET	le
clés	NOUN	cler
E	CCONJ	et
les	DET	le
festes	NOUN	feste
anvels	NOUN	envel
.	PUNCT	.
Par	ADP	par
çoe	PRON	ce
devuns	VERB	devoir
garder	VERB	garder
Nostre	DET	notre
lei	NOUN	loi
celebrer	VERB	celer
,	PUNCT	,
Des	ADP.DET	de.le
Paschaes	NOUN	passache
,	PUNCT	,
dé	ADP	devoir
Noëls	NOUN	noel
,	PUNCT	,
Des	ADP.DET	de.le
granz	ADJ	grant
festes	NOUN	feste
anvels	NOUN	envel
;	PUNCT	;
U	DET	ou
par	ADP	par
cez	DET	ce
la	DET	le
tendrunt	NOUN	tendre
U	DET	ou
vïaz	VERB	vëoir
i	ADV	i
faldrunt	VERB	falir
.	PUNCT	.
D'	ADP	de
içoe	NOUN	hel
me	PRON	je
plaist	NOUN	plaire
garnir	VERB	garnir
Cés	NOUN	cest
chi	PRON	ci
unt	VERB	avoir
a	ADP	a
tenir	VERB	tenir
Nostre	DET	notre
cristïentét	NOUN	cristaité
Sulunc	NOUN	sulqun
la	DET	le
Trinitét	PROPN	trinité
.	PUNCT	.
Ço	PRON	ce
dist	VERB	dire
sainz	ADJ	saint
Augustins	DET	augunidu
Qui	PRON	qui
fud	VERB	deuf
mult	ADV	moult
bons	ADJ	bon
devins	VERB	devin
:	PUNCT	:
Avisunches	PROPN	avisque
pot	VERB	pöoir
estre	VERB	estre
Quë	CCONJ	que
il	PRON	il
unches	ADV	once
seit	VERB	être
prestre	NOUN	prestre
Se	SCONJ	se
il	PRON	il
ne	ADV	ne
set	VERB	savoir
chest	VERB	chëoir
librarie	NOUN	lariçoy
Dum	NOUN	donc
faiz	VERB	fait
cest	DET	cest
exemplarie	NOUN	exemplaie
.	PUNCT	.
Que	CCONJ	que
ferat	VERB	faire
pastorel	NOUN	pastoureau
Qui	PRON	qui
nen	NOUN	ne
ad	VERB	avoir
nul	DET	nul
drapel	NOUN	draple
?	PUNCT	?
Cum	X	comme
garderat	VERB	garder
berbiz	NOUN	berbis
Qui	PRON	qui
nenn	ADV	neni
ad	VERB	avoir
nul	DET	nul
pastiz	NOUN	pastir
?	PUNCT	?
E	CCONJ	et
,	PUNCT	,
Deus	PROPN	dieu
!	PUNCT	!
cum	SCONJ	comme
cumbatrat	VERB	combattre
Qui	PRON	qui
ses	DET	son
armes	NOUN	arme
nen	NOUN	ne
ad	VERB	avoir
?	PUNCT	?
N'	ADV	ne
avum	VERB	avoir
fei	NOUN	foi
ne	ADV	ne
crëance	NOUN	craine
Qui	PRON	qui
doüst	VERB	devoir
estre	VERB	estre
lance	NOUN	lance
Cuntre	VERB	contre
cels	DET	cel
enemis	NOUN	ennemi
Qui	PRON	qui
sur	ADP	sur
nus	DET	nul
sunt	VERB	être
espris	NOUN	esprendre
.	PUNCT	.
Il	PRON	il
prennent	VERB	prendre
la	DET	le
cité	NOUN	cité
,	PUNCT	,
Le	DET	le
mur	NOUN	mur
unt	VERB	avoir
effundré	VERB	enferdre
,	PUNCT	,
Hardi	PROPN	hardi
