ENEAS	PROPN	eneas
Quant	SCONJ	cant
Menelaus	ADJ	menelon
ot	VERB	avoir
Troie	PROPN	troie
asise	VERB	asseoir
,	PUNCT	,
onc	ADV	onc
n'	ADV	ne
en	ADP	en
torna	VERB	torner
tresqu'	ADP	tresque
il	PRON	il
l'	DET	le
ot	VERB	avoir
prise	VERB	prendre
,	PUNCT	,
gasta	VERB	gast
la	DET	le
terre	NOUN	terre
et	CCONJ	et
tot	DET	tot
lo	DET	löer
regne	NOUN	renge
por	ADP	por
la	DET	le
vanjance	NOUN	vangier
de	ADP	de
sa	DET	son
fenne	NOUN	fenir
.	PUNCT	.
La	DET	le
cité	NOUN	cité
prist	VERB	prendre
par	ADP	par
traïson	NOUN	träison
,	PUNCT	,
tot	DET	tot
cravanta	VERB	craventer
,	PUNCT	,
tors	NOUN	tors
et	CCONJ	et
donjon	NOUN	donner
,	PUNCT	,
arst	VERB	artre
le	DET	le
païs	NOUN	päis
,	PUNCT	,
destruist	VERB	destruir
les	DET	le
murs	NOUN	mur
,	PUNCT	,
nus	DET	nul
ne	ADV	ne
estoit	VERB	estre
dedanz	ADP	dedenz
seürs	ADJ	sëur
;	PUNCT	;
tote	DET	tot
a	ADP	a
la	DET	le
vile	NOUN	vile
cravantee	VERB	craventer
,	PUNCT	,
a	ADP	a
feu	NOUN	feu
,	PUNCT	,
a	ADP	a
flame	NOUN	flame
l'	DET	le
a	ADP	a
livree	NOUN	livrer
.	PUNCT	.
Li	DET	le
Greu	PROPN	grieu
prenent	VERB	prendre
les	DET	le
citeains	ADJ	citain
,	PUNCT	,
nus	DET	nul
n'	ADV	ne
eschapot	VERB	eschaper
d'	ADP	de
entre	ADP	entre
lor	DET	lor
mains	NOUN	main
ne	ADV	ne
l'	DET	le
esteüst	VERB	estre
morir	VERB	morir
a	ADP	a
honte	NOUN	honte
;	PUNCT	;
n'	ADV	ne
esparnoient	VERB	esparmoindre
prince	NOUN	prince
ne	ADV	ne
conte	NOUN	comte
;	PUNCT	;
ne	ADV	ne
lor	DET	lor
avoit	VERB	avoir
mestier	NOUN	mestier
parage	NOUN	parage
ne	ADV	ne
hardemant	NOUN	hardement
ne	ADV	ne
vasalage	NOUN	vassalage
,	PUNCT	,
et	CCONJ	et
nen	NOUN	ne
estoit	VERB	estre
leus	NOUN	lieu
de	ADP	de
deffendre	VERB	défendre
.	PUNCT	.
Tote	DET	tot
ert	VERB	estre
la	DET	le
vile	NOUN	vile
mise	VERB	metre
en	ADP	en
cendre	NOUN	cendre
.	PUNCT	.
Ocis	NOUN	ocire
i	ADV	i
fu	VERB	estre
li	DET	le
reis	NOUN	roi
Prianz	VERB	priier
o	ADP	o
sa	DET	son
fame	NOUN	feme
,	PUNCT	,
o	ADP	o
ses	DET	son
anfanz	NOUN	enfant
:	PUNCT	:
unc	DET	un
ne	ADV	ne
fu	VERB	estre
mais	NOUN	mais
tant	ADV	tant
grant	ADJ	grant
ocise	VERB	ocire
.	PUNCT	.
Menelaus	ADJ	menelon
a	ADP	a
vanjance	NOUN	vangier
prise	VERB	prendre
:	PUNCT	:
toz	DET	tot
fist	VERB	faire
les	DET	le
murs	NOUN	mur
aplanoier	VERB	aplanser
por	ADP	por
le	DET	le
tort	NOUN	tort
fait	VERB	faire
de	ADP	de
sa	DET	son
moillier	NOUN	moillier
.	PUNCT	.
A	ADP	a
une	DET	un
part	NOUN	part
de	ADP	de
la	DET	le
cité	NOUN	cité
tint	VERB	tenir
Eneas	PROPN	eneas
une	DET	un
erité	NOUN	airert
,	PUNCT	,
de	ADP	de
la	DET	le
vile	NOUN	vile
bien	NOUN	bien
grant	ADJ	grant
partie	NOUN	partie
.	PUNCT	.
Quant	SCONJ	cant
il	PRON	il
a	ADP	a
cele	DET	cel
noise	NOUN	noise
oïe	VERB	öir
,	PUNCT	,
si	ADV	si
regarda	VERB	regarder
vers	ADP	vers
lo	DET	löer
donjon	NOUN	donner
et	CCONJ	et
vit	VERB	vëoir
la	DET	le
grant	ADJ	grant
destrucion	NOUN	détroucir
;	PUNCT	;
n'	ADV	ne
est	VERB	estre
mervoille	NOUN	merveille
s'	DET	soi
il	PRON	il
ot	VERB	avoir
peor	NOUN	pëor
.	PUNCT	.
Venus	VERB	venir
la	DET	le
deesse	ADP	desele
d'	ADP	de
amor	NOUN	amor
,	PUNCT	,
qui	PRON	qui
est	VERB	estre
sa	DET	son
mere	NOUN	mere
,	PUNCT	,
li	DET	le
a	ADP	a
noncié	VERB	noncier
que	SCONJ	que
Troïen	ADJ	troin
sont	VERB	estre
trebuchié	VERB	trebuchier
;	PUNCT	;
li	DET	le
deu	ADP.DET	deux
an	ADP	en
ont	VERB	avoir
pris	NOUN	prendre
lor	DET	lor
vanjance	NOUN	vangier
.	PUNCT	.
Comanda	VERB	comander
li	DET	le
,	PUNCT	,
sanz	ADP	sans
demorance	NOUN	demorance
s'	DET	soi
en	ADP	en
tort	NOUN	tort
,	PUNCT	,
ainz	ADV	ainz
quel	DET	quel
prengnent	VERB	prendre
li	DET	le
Gré	NOUN	gré
,	PUNCT	,
et	CCONJ	et
ce	PRON	ce
li	DET	le
comandent	VERB	comander
li	DET	le
dé	ADP	devoir
que	SCONJ	que
il	PRON	il
aut	VERB	aler
la	DET	le
contree	VERB	contree
querre	VERB	querre
dunt	PRON	dont
Dardanus	PROPN	derablir
vint	VERB	venir
an	ADP	en
la	DET	le
terre	NOUN	terre
,	PUNCT	,
qui	PRON	qui
fonda	VERB	fondre
de	ADP	de
Troie	PROPN	troie
les	DET	le
murs	NOUN	mur
.	PUNCT	.
Eneas	PROPN	eneas
n'	ADV	ne
estoit	VERB	estre
pas	NOUN	pas
seürs	ADJ	sëur
;	PUNCT	;
dous	DET	doux
granz	ADJ	grant
liues	NOUN	lieue
et	CCONJ	et
plus	ADV	plus
avoit	VERB	avoir
de	ADP	de
la	DET	le
ou	CCONJ	ou
sa	DET	son
meison	NOUN	maison
estoit	VERB	estre
desi	ADV	desit
la	DET	le
ou	CCONJ	ou
li	DET	le
Greu	PROPN	grieu
ardoient	VERB	ardre
;	PUNCT	;
bien	NOUN	bien
set	VERB	savoir
qu'	SCONJ	que
il	PRON	il
li	DET	le
aprismeroient	VERB	arpendre
,	PUNCT	,
ne	ADV	ne
se	PRON	se
porroit	VERB	pöoir
vers	ADP	vers
als	NOUN	aller
deffendre	VERB	défendre
.	PUNCT	.
Bel	ADJ	bel
loisir	NOUN	loisir
ot	VERB	avoir
del	ADP.DET	de.le
suen	ADJ	suen
tot	DET	tot
prendre	VERB	prendre
,	PUNCT	,
tote	DET	tot
sa	DET	son
gent	NOUN	gent
fist	VERB	faire
asenbler	VERB	assembler
et	CCONJ	et
ses	DET	son
tresors	NOUN	tresor
an	ADP	en
fist	VERB	faire
porter	VERB	porter
;	PUNCT	;
grant	ADJ	grant
avoir	VERB	avoir
et	CCONJ	et
grant	ADJ	grant
manantises	ADJ	mannaiste
et	CCONJ	et
granz	ADJ	grant
richeces	NOUN	richece
an	ADP	en
a	ADP	a
prises	NOUN	prendre
,	PUNCT	,
par	ADP	par
un	DET	un
postiz	ADJ	postit
s'	DET	soi
an	ADP	en
est	VERB	estre
issuz	VERB	issir
,	PUNCT	,
bien	NOUN	bien
en	ADP	en
torna	VERB	torner
trois	DET	trois
mile	DET	mil
escuz	NOUN	escu
;	PUNCT	;
o	ADP	o
soi	PRON	soi
an	ADP	en
fist	VERB	faire
porter	VERB	porter
son	DET	son
pere	NOUN	père
Anchisés	PROPN	enchiser
,	PUNCT	,
qui	PRON	qui
molt	DET	moult
vialz	ADJ	voloir
hom	NOUN	ome
ere	NOUN	ere
,	PUNCT	,
et	CCONJ	et
par	ADP	par
la	DET	le
main	NOUN	main
mena	VERB	mener
son	DET	son
fil	NOUN	fil
:	PUNCT	:
cil	DET	cel
sunt	VERB	être
livré	VERB	livrer
a	ADP	a
grant	ADJ	grant
essil	NOUN	essil
.	PUNCT	.
Soantre	PROPN	santore
lui	PRON	lui
grant	ADJ	grant
gent	NOUN	gent
la'	DET	lai
n	PUNCT	ne
vait	VERB	aler
;	PUNCT	;
la	DET	le
ou	CCONJ	ou
il	PRON	il
fuit	VERB	fuir
se	PRON	se
sunt	VERB	être
atrait	NOUN	atraire
.	PUNCT	.
Quant	SCONJ	cant
de	ADP	de
la	DET	le
vile	NOUN	vile
sunt	VERB	être
estors	NOUN	estordre
,	PUNCT	,
desoz	ADP	desoz
un	DET	un
arbre	NOUN	arbre
loing	ADV	loing
defors	ADP	defors
o	ADP	o
soi	PRON	soi
a	ADP	a
alïé	NOUN	allier
sa	DET	son
gent	NOUN	gent
;	PUNCT	;
demande	VERB	demander
a	ADP	a
toz	DET	tot
comunaument	NOUN	communément
s'	DET	soi
il	PRON	il
se	PRON	se
voldront	VERB	voloir
o	ADP	o
lui	PRON	lui
tenir	VERB	tenir
et	CCONJ	et
bien	NOUN	bien
et	CCONJ	et
mal	NOUN	mal
o	ADP	o
lui	PRON	lui
sofrir	VERB	sofrir
,	PUNCT	,
ou	CCONJ	ou
s'	DET	soi
en	ADP	en
voldront	VERB	voloir
retorner	VERB	retorner
anz	NOUN	an
vangier	VERB	vengier
la	DET	le
mort	NOUN	mort
de	ADP	de
lor	DET	lor
paranz	NOUN	parent
;	PUNCT	;
prez	NOUN	prest
est	VERB	estre
de	ADP	de
faire	VERB	faire
lor	DET	lor
plaisir	NOUN	plaisir
del	ADP.DET	de.le
retorner	VERB	retorner
ou	CCONJ	ou
del	ADP.DET	de.le
foïr	VERB	fuir
.	PUNCT	.
Cil	DET	cel
dïent	VERB	dire
tuit	DET	tot
,	PUNCT	,
del	ADP.DET	de.le
repairier	VERB	repairier
ne	ADV	ne
del	ADP.DET	de.le
combatre	VERB	combattre
n'	ADV	ne
est	VERB	estre
mestier	NOUN	mestier
,	PUNCT	,
car	CCONJ	car
n'	ADV	ne
ert	VERB	estre
mie	ADV	mie
granz	ADJ	grant
lor	DET	lor
esforz	NOUN	esforz
,	PUNCT	,
tost	DET	tost
les	DET	le
avroient	VERB	avoir
li	DET	le
Greu	PROPN	grieu
morz	VERB	morir
;	PUNCT	;
miauz	DET	mieus
s'	DET	soi
an	ADP	en
volent	VERB	voler
o	ADP	o
lui	PRON	lui
foïr	VERB	fuir
que	SCONJ	que
retorner	VERB	retorner
anz	NOUN	an
por	ADP	por
morir	VERB	morir
;	PUNCT	;
de	ADP	de
lui	PRON	lui
firent	VERB	faire
segnor	NOUN	seigneur
et	CCONJ	et
mestre	NOUN	maistre
.	PUNCT	.
Puis	NOUN	puis
ont	VERB	avoir
gardé	NOUN	garder
devers	ADP	devers
senestre	ADJ	senestre
:	PUNCT	:
une	DET	un
estoyle	NOUN	estoile
virent	VERB	vëoir
levee	VERB	lever
qui	PRON	qui
la	DET	le
voie	NOUN	voie
lor	DET	lor
a	ADP	a
mostree	NOUN	mostrer
;	PUNCT	;
de	ADP	de
devant	ADP	devant
eus	PRON	au
vait	VERB	aler
vers	ADP	vers
la	DET	le
rive	NOUN	rive
:	PUNCT	:
la	DET	le
va	VERB	aler
fuiant	VERB	fuir
la	DET	le
gent	NOUN	gent
chaitive	ADJ	chaitif
.	PUNCT	.
Eneas	PROPN	eneas
cercha	VERB	cerchier
les	DET	le
rivages	ADJ	rivage
,	PUNCT	,
trové	VERB	trover
i	ADV	i
a	ADP	a
vint	VERB	venir
de	ADP	de
lor	DET	lor
barges	NOUN	barge
,	PUNCT	,
que	SCONJ	que
li	DET	le
Greu	PROPN	grieu
avoient	VERB	avoir
guerpies	NOUN	guerpir
,	PUNCT	,
bien	NOUN	bien
atornees	VERB	atorner
et	CCONJ	et
garnies	NOUN	garnir
.	PUNCT	.
Il	PRON	il
i	ADV	i
antra	VERB	entrer
o	ADP	o
tot	DET	tot
sa	DET	son
gent	NOUN	gent
;	PUNCT	;
eve	NOUN	aigue
dolce	ADJ	douz
,	PUNCT	,
vin	NOUN	vin
et	CCONJ	et
fromant	NOUN	froment
trova	VERB	trover
es	ADP.DET	en.le
nes	NOUN	ne.il
a	ADP	a
grant	ADJ	grant
planté	NOUN	plenté
del	ADP.DET	de.le
rivage	NOUN	rivage
sunt	VERB	être
esquipé	NOUN	escuier
,	PUNCT	,
enpaint	ADJ	empendre
se	PRON	se
sunt	VERB	être
an	ADP	en
haute	ADJ	haut
mer	NOUN	mer
,	PUNCT	,
car	CCONJ	car
n'	ADV	ne
estoit	VERB	estre
tens	NOUN	tens
de	ADP	de
demorer	VERB	demorer
.	PUNCT	.
Juno	PROPN	jonjou
,	PUNCT	,
qui	PRON	qui
ert	VERB	estre
del	ADP.DET	de.le
ciel	NOUN	ciel
deesse	ADP	desele
,	PUNCT	,
estoit	VERB	estre
vers	ADP	vers
aus	PRON	il
molt	DET	moult
felenesse	ADJ	felon
;	PUNCT	;
formant	NOUN	forment
avoit	VERB	avoir
coilli	VERB	coillir
an	ADP	en
hé	NOUN	hai!
toz	DET	tot
çaus	PRON	cil
de	ADP	de
Troie	PROPN	troie
la	DET	le
cité	NOUN	cité
del	ADP.DET	de.le
jugemant	NOUN	jugement
que	SCONJ	que
fist	VERB	faire
Paris	PROPN	paris
:	PUNCT	:
por	ADP	por
lui	PRON	lui
haoit	VERB	haoir
tot	DET	tot
le	DET	le
païs	NOUN	päis
.	PUNCT	.
L'	DET	le
acheison	NOUN	ochaison
de	ADP	de
cel	DET	cel
jugemant	NOUN	jugement
voil	NOUN	voloir
reconter	VERB	reconter
asez	ADV	assez
briemant	NOUN	briément
.	PUNCT	.
Juno	PROPN	jonjou
et	CCONJ	et
Pallas	PROPN	palais
a	ADP	a
un	DET	un
jor	NOUN	jor
,	PUNCT	,
Venus	VERB	venir
la	DET	le
deesse	ADP	desele
d'	ADP	de
amor	NOUN	amor
,	PUNCT	,
estoient	VERB	estre
a	ADP	a
un	DET	un
parlemant	NOUN	parlement
.	PUNCT	.
Discorde	PROPN	discord
i	ADV	i
sorvint	VERB	sordre
sodemant	NOUN	sodement
;	PUNCT	;
une	DET	un
pome	NOUN	pome
d'	ADP	de
or	NOUN	or
lor	DET	lor
gita	VERB	jeter
antr'	ADP	entre
eles	PRON	il
trois	DET	trois
,	PUNCT	,
puis	NOUN	puis
s'	DET	soi
an	ADP	en
ala	VERB	aler
;	PUNCT	;
il	PRON	il
i	ADV	i
ot	VERB	avoir
escrit	NOUN	écrit
an	ADP	en
grezois	NOUN	gregois
qu'	SCONJ	que
a	ADP	a
la	DET	le
plus	ADV	plus
bele	ADJ	bel
d'	ADP	de
eles	PRON	il
trois	DET	trois
faisoit	VERB	faire
de	ADP	de
la	DET	le
pome	NOUN	pome
lo	DET	löer
don	PRON	dont
.	PUNCT	.
Antr'	ADP	entre
eles	PRON	il
en	ADP	en
ot	VERB	avoir
grant	ADJ	grant
tençon	NOUN	tençon
,	PUNCT	,
chascune	DET	chascun
la	DET	le
voloit	VERB	voloir
avoir	VERB	avoir
,	PUNCT	,
mais	NOUN	mais
par	ADP	par
autre	ADJ	autre
voltrent	VERB	voloir
savoir	VERB	savoir
lo	DET	löer
jugemant	NOUN	jugement
,	PUNCT	,
cui	PRON	cui
ert	VERB	estre
la	DET	le
pome	NOUN	pome
.	PUNCT	.
As	ADV	a.le
ne	ADV	ne
sorent	VERB	savoir
trover	VERB	trover
nul	DET	nul
home	NOUN	ome
qui	PRON	qui
miauz	DET	mieus
en	ADP	en
sache	VERB	savoir
dire	VERB	dire
droit	ADJ	droit
que	SCONJ	que
Paris	PROPN	paris
,	PUNCT	,
qui	PRON	qui
el	ADP.DET	en.le
bois	NOUN	bois
estoit	VERB	estre
.	PUNCT	.
La	DET	le
parole	NOUN	parole
li	DET	le
unt	VERB	avoir
mostree	NOUN	mostrer
de	ADP	de
la	DET	le
pome	NOUN	pome
,	PUNCT	,
qui	PRON	qui
ert	VERB	estre
donee	VERB	doner
a	ADP	a
la	DET	le
plus	ADV	plus
bele	ADJ	bel
d'	ADP	de
eles	PRON	il
trois	DET	trois
;	PUNCT	;
a	ADP	a
lui	PRON	lui
,	PUNCT	,
qui	PRON	qui
molt	DET	moult
savoit	VERB	savoir
des	ADP.DET	de.le
lois	NOUN	loi
,	PUNCT	,
por	ADP	por
jugier	VERB	jugier
an	ADP	en
erent	VERB	estre
venues	VERB	venir
.	PUNCT	.
Paris	PROPN	paris
les	DET	le
a	ADP	a
bien	NOUN	bien
coneües	VERB	conoistre
;	PUNCT	;
chascune	DET	chascun
d'	ADP	de
eles	PRON	il
esgarda	VERB	esgarder
et	CCONJ	et
