Ci	ADV	ci
commence	VERB	commencer
li	DET	le
prologues	NOUN	prologue
seur	NOUN	soir
les	DET	le
myracles	NOUN	miralais
Nostre	DET	notre
Dame	NOUN	dame
que	SCONJ	que
Gautiers	PROPN	gautier
,	PUNCT	,
prieus	NOUN	prieu
de	ADP	de
Vi	VERB	vëoir
,	PUNCT	,
moines	NOUN	moine
de	ADP	de
Saint	ADJ	saint
Mart	PROPN	mart
,	PUNCT	,
translata	VERB	trentail
A	ADP	a
la	DET	le
loenge	NOUN	louange
et	CCONJ	et
a	ADP	a
la	DET	le
gloire	NOUN	gloire
,	PUNCT	,
En	ADP	en
ramembrance	NOUN	rembermance
et	CCONJ	et
en	ADP	en
memoire	NOUN	memoire
De	ADP	de
la	DET	le
roïne	NOUN	röine
et	CCONJ	et
de	ADP	de
la	DET	le
dame	NOUN	dame
Cui	PRON	cui
je	PRON	je
commant	ADV	comment
mon	DET	mon
cors	NOUN	cors
et	CCONJ	et
m'	PRON	je
ame	NOUN	ame
A	ADP	a
jointes	NOUN	joindre
mains	NOUN	main
soir	NOUN	soir
et	CCONJ	et
matin	NOUN	matin
,	PUNCT	,
Miracles	NOUN	miracle
que	SCONJ	que
truis	VERB	trover
en	ADP	en
latin	DET	lait
Translater	PROPN	trentelor
voel	VERB	voloir
en	ADP	en
rime	NOUN	rime
et	CCONJ	et
metre	VERB	metre
Que	CCONJ	que
cil	DET	cel
et	CCONJ	et
celes	DET	cel
qui	PRON	qui
la	DET	le
letre	NOUN	letre
N'	ADV	ne
entendent	VERB	entendre
pas	NOUN	pas
puissent	VERB	pöoir
entendre	VERB	entendre
Qu'	CCONJ	que
a	ADP	a
son	DET	son
servise	NOUN	servise
fait	VERB	faire
boen	ADJ	bon
tendre	NOUN	tendre
.	PUNCT	.
Tuit	DET	tot
li	DET	le
saige	ADJ	sage
doivent	VERB	devoir
savoir	VERB	savoir
Qui	PRON	qui
bien	NOUN	bien
la	DET	le
sert	VERB	servir
qu'	SCONJ	que
il	PRON	il
fait	VERB	faire
savoir	VERB	savoir
.	PUNCT	.
Qui	PRON	qui
ne	ADV	ne
la	DET	le
sert	VERB	servir
mout	ADV	mout
petit	ADJ	petit
s'	DET	soi
aime	NOUN	aimer
,	PUNCT	,
Car	CCONJ	car
de	ADP	de
toz	DET	tot
biens	NOUN	bien
est	VERB	estre
ce	PRON	ce
la	DET	le
saimme	NOUN	sammer
.	PUNCT	.
La	DET	le
douce	ADJ	doux
dame	NOUN	dame
bien	NOUN	bien
aprise	VERB	aprendre
,	PUNCT	,
Por	ADP	por
qu'	SCONJ	que
ai	VERB	avoir
ceste	DET	cest
matere	NOUN	matree
enprise	VERB	emprendre
,	PUNCT	,
A	ADP	a
traitier	NOUN	traitif
si	ADV	si
bien	NOUN	bien
la	DET	le
m'	PRON	je
apregne	VERB	aprendre
Que	CCONJ	que
boen	ADJ	bon
essample	NOUN	essampler
aucuns	DET	aucun
i	ADV	i
pregne	NOUN	prendre
Et	CCONJ	et
qu'	SCONJ	que
ele	PRON	il
gre	NOUN	gre
m'	PRON	je
en	ADP	en
daint	VERB	deindre
savoir	VERB	savoir
.	PUNCT	.
Autre	ADJ	autre
loier	VERB	loiier
n'	ADV	ne
en	ADP	en
quier	VERB	querre
avoir	VERB	avoir
.	PUNCT	.
Montez	VERB	monter
seroit	VERB	estre
en	ADP	en
haut	ADJ	haut
degré	NOUN	degré
Qui	PRON	qui
la	DET	le
porroit	VERB	pöoir
servir	VERB	servir
a	ADP	a
gre	NOUN	gre
.	PUNCT	.
Si	ADV	si
myracle	NOUN	miralt
sunt	VERB	être
tant	ADV	tant
piteuz	NOUN	pitos
,	PUNCT	,
Tant	ADV	tant
boen	ADJ	bon
,	PUNCT	,
tant	ADV	tant
douz	ADJ	douz
,	PUNCT	,
tant	ADV	tant
deliteuz	ADJ	delitier
,	PUNCT	,
Tant	ADV	tant
savoreuz	NOUN	savoir
et	CCONJ	et
tant	ADV	tant
eslit	VERB	eslire
Qu'	CCONJ	que
el	ADP.DET	en.le
reciter	VERB	réciter
ai	VERB	avoir
grant	ADJ	grant
delit	NOUN	delit
;	PUNCT	;
Sovent	PROPN	sovent
m'	PRON	je
i	ADV	i
vois	NOUN	aler
mout	ADV	mout
delitant	VERB	delitier
.	PUNCT	.
Escriture	NOUN	écriture
dist	VERB	dire
de	ADP	de
li	DET	le
tant	ADV	tant
Que	CCONJ	que
chascons	NOUN	chascun
se	PRON	se
doit	VERB	devoir
deliter	VERB	delitier
En	ADP	en
quanqu'	PRON	cantque
est	VERB	estre
de	ADP	de
li	DET	le
reciter	VERB	réciter
.	PUNCT	.
Sade	PROPN	sanc
et	CCONJ	et
douz	ADJ	douz
est	VERB	estre
quanqu'	PRON	cantque
est	VERB	estre
de	ADP	de
li	DET	le
.	PUNCT	.
Si	ADV	si
douz	ADJ	douz
myracle	NOUN	miralt
enseveli	VERB	enseler
Dedens	ADP	dedans
la	DET	le
letre	NOUN	letre
ont	VERB	avoir
trop	ADV	trop
esté	VERB	être
;	PUNCT	;
Mais	CCONJ	mais
,	PUNCT	,
se	PRON	se
vivre	VERB	vivre
puis	NOUN	puis
un	DET	un
esté	VERB	être
,	PUNCT	,
Des	ADP.DET	de.le
plus	ADV	plus
biaus	ADJ	bel
en	ADP	en
volrai	VERB	voloir
fors	ADV	fors
metre	VERB	metre
Tout	DET	tout
mot	NOUN	mot
a	ADP	a
mot	NOUN	mot
,	PUNCT	,
si	ADV	si
com	SCONJ	come
la	DET	le
letre	NOUN	letre
Et	CCONJ	et
l'	DET	le
escriture	NOUN	écrire
le	DET	le
tesmoigne	NOUN	tesmoignier
.	PUNCT	.
La	DET	le
mere	NOUN	mere
Dieu	PROPN	dieu
tel	DET	tel
sens	NOUN	sens
me	PRON	je
doigne	VERB	doner
Ou	CCONJ	où
aucun	DET	aucun
bien	NOUN	bien
puisse	VERB	pöoir
puisier	NOUN	pöoir
.	PUNCT	.
Ma	DET	mon
povre	ADJ	pauvre
scïence	NOUN	science
espuisier	NOUN	espuisir
Et	CCONJ	et
essorber	VERB	essorgier
assez	ADV	assez
tost	DET	tost
puis	NOUN	puis
Se	SCONJ	se
j'	PRON	je
en	ADP	en
son	DET	son
parfont	ADJ	parfont
puis	NOUN	puis
ne	ADV	ne
puis	NOUN	puis
Qu'	CCONJ	que
espuisier	NOUN	espuisir
ne	ADV	ne
puet	VERB	pöoir
nus	DET	nul
puisieres	NOUN	pöisier
,	PUNCT	,
Tant	ADV	tant
soit	VERB	estre
espuisans	NOUN	espuissier
espuisieres	NOUN	épuisier
:	PUNCT	:
C'	CCONJ	ce
est	VERB	estre
mers	NOUN	mer
c'	CCONJ	ce
onques	ADV	onque
nus	DET	nul
n'	ADV	ne
espuisa	VERB	espuis
.	PUNCT	.
Veez	VERB	vëoir
son	DET	son
nom	DET	nom
:	PUNCT	:
M	PUNCT	me
et	CCONJ	et
puis	NOUN	puis
A	ADP	a
,	PUNCT	,
R	NOUN	re
et	CCONJ	et
puis	NOUN	puis
I	DET	i
,	PUNCT	,
puis	NOUN	puis
A	ADP	a
,	PUNCT	,
et	CCONJ	et
puis	NOUN	puis
Mers	NOUN	mer
troverés	NOUN	trover
,	PUNCT	,
ne	ADV	ne
mie	ADV	mie
puis	NOUN	puis
:	PUNCT	:
Marie	PROPN	marie
est	VERB	estre
mers	NOUN	mer
que	SCONJ	que
nus	DET	nul
n'	ADV	ne
espuise	NOUN	espuis
;	PUNCT	;
Plus	ADV	plus
i	ADV	i
trueve	VERB	trover
qui	PRON	qui
plus	ADV	plus
i	ADV	i
puise	VERB	pöoir
.	PUNCT	.
Ne	CCONJ	ne
m'	PRON	je
estuet	VERB	estovoir
pas	NOUN	pas
bourdes	NOUN	bourde
ataindre	VERB	ataindre
Ne	CCONJ	ne
mensoignes	NOUN	menseigneur
trover	VERB	trover
ne	ADV	ne
faindre	VERB	feindre
Por	ADP	por
defaillance	NOUN	défebleille
de	ADP	de
matere	NOUN	matree
,	PUNCT	,
Car	CCONJ	car
en	ADP	en
tant	ADV	tant
liuz	NOUN	lieu
fait	VERB	faire
la	DET	le
Dieu	PROPN	dieu
mere	NOUN	mere
Tant	ADV	tant
myracle	NOUN	miralt
et	CCONJ	et
tante	DET	tant
merveille	NOUN	merveille
Touz	DET	tout
li	DET	le
mondes	NOUN	monde
s'	DET	soi
en	ADP	en
esmerveille	NOUN	esmerveiller
.	PUNCT	.
Bien	NOUN	bien
seit	VERB	être
chascuns	DET	chascun
,	PUNCT	,
c'	CCONJ	ce
en	ADP	en
est	VERB	estre
la	DET	le
voire	ADJ	voir
,	PUNCT	,
Que	CCONJ	que
la	DET	le
glorïeuse	ADJ	glorieux
de	ADP	de
gloire	NOUN	gloire
Puet	VERB	pöoir
asez	ADV	assez
plus	ADV	plus
c'	CCONJ	ce
on	PRON	on
ne	ADV	ne
puet	VERB	pöoir
dire	VERB	dire
.	PUNCT	.
Qui	PRON	qui
de	ADP	de
ce	PRON	ce
me	PRON	je
volroit	VERB	voloir
desdire	VERB	desdire
Ne	CCONJ	ne
seroit	VERB	estre
mie	ADV	mie
crestïens	NOUN	cristième
,	PUNCT	,
Mais	CCONJ	mais
aubijois	NOUN	aubiser
ou	CCONJ	ou
arrïens	NOUN	ariene
.	PUNCT	.
Li	DET	le
pooirs	NOUN	pöoir
Dieu	PROPN	dieu
est	VERB	estre
touz	DET	tout
sa	DET	son
mere	NOUN	mere
:	PUNCT	:
Com	SCONJ	come
a	ADP	a
seignor	NOUN	seignor
et	CCONJ	et
com	SCONJ	come
a	ADP	a
pere	NOUN	père
Sovent	PROPN	sovent
li	DET	le
deprie	VERB	deprier
et	CCONJ	et
demande	VERB	demander
Et	CCONJ	et
a	ADP	a
la	DET	le
fois	NOUN	fois
li	DET	le
recommande	VERB	recommancer
Com	SCONJ	come
a	ADP	a
celui	DET	cel
qu'	SCONJ	que
ele	PRON	il
norri	VERB	norrir
.	PUNCT	.
Sovent	PROPN	sovent
m'	PRON	je
avient	VERB	avenir
que	SCONJ	que
je	PRON	je
sorri	VERB	sorir
De	ADP	de
mautalent	NOUN	mautalent
,	PUNCT	,
d'	ADP	de
ardeur	NOUN	ardre
et	CCONJ	et
d'	ADP	de
ire	NOUN	ire
Quant	SCONJ	cant
j'	PRON	je
oi	VERB	avoir
a	ADP	a
aucun	DET	aucun
buisnart	NOUN	bisaindre
dire	VERB	dire
Que	CCONJ	que
les	DET	le
myracles	NOUN	miralais
ne	ADV	ne
croit	VERB	croire
mie	ADV	mie
De	ADP	de
ma	DET	mon
dame	NOUN	dame
sainte	ADJ	saint
Marie	PROPN	marie
.	PUNCT	.
J'	PRON	je
en	ADP	en
desenis	VERB	desnessir
tous	DET	tout
quant	SCONJ	cant
je	PRON	je
l'	DET	le
oi	VERB	avoir
!	PUNCT	!
Comment	ADV	comment
feroit	VERB	faire
por	ADP	por
saint	ADJ	saint
Eloi	NOUN	elui
,	PUNCT	,
Por	ADP	por
saint	ADJ	saint
Joce	NOUN	joce
ou	CCONJ	ou
por	ADP	por
saint	ADJ	saint
Romacle	NOUN	rompre
Li	DET	le
rois	NOUN	roi
dou	DET	de.le
ciel	NOUN	ciel
nul	DET	nul
haut	ADJ	haut
miracle	NOUN	miralt
S'	DET	se
il	PRON	il
nel	ADV.PRON	ne.il
faisoit	VERB	faire
por	ADP	por
la	DET	le
pucele	NOUN	pucele
Qui	PRON	qui
l'	DET	le
alaita	VERB	aler
de	ADP	de
sa	DET	son
mamele	NOUN	mamele
?	PUNCT	?
Quant	SCONJ	cant
por	ADP	por
les	DET	le
autres	PRON	autre
ne	ADV	ne
fine	NOUN	finer
onques	ADV	onque
,	PUNCT	,
Qui	PRON	qui
me	PRON	je
dira	VERB	dire
que	SCONJ	que
fera	VERB	faire
donques	ADV	donc
Por	ADP	por
la	DET	le
puissant	ADJ	poissant
dame	NOUN	dame
celestre	NOUN	celer
Qui	PRON	qui
jor	NOUN	jor
et	CCONJ	et
nuit	NOUN	nuit
siet	VERB	sëoir
a	ADP	a
sa	DET	son
destre	ADJ	destre
?	PUNCT	?
Que	CCONJ	que
fera	VERB	faire
donques	ADV	donc
por	ADP	por
la	DET	le
dame	NOUN	dame
Qui	PRON	qui
l'	DET	le
esmeraude	NOUN	esmeraude
est	VERB	estre
et	CCONJ	et
la	DET	le
gemme	NOUN	meme
,	PUNCT	,
Qui	PRON	qui
tant	ADV	tant
est	VERB	estre
pure	NOUN	pour
,	PUNCT	,
clere	ADJ	clair
et	CCONJ	et
fine	NOUN	finer
Que	CCONJ	que
tout	DET	tout
le	DET	le
monde	NOUN	monde
renlumine	NOUN	renvonil
?	PUNCT	?
Cil	DET	cel
qui	PRON	qui
ce	PRON	ce
dist	VERB	dire
n'	ADV	ne
est	VERB	estre
pas	NOUN	pas
creans	NOUN	craindre
