LES	DET	le
GRANDES	PROPN	grand
CHRONIQUES	ADJ	corschantis
DE	ADP	de
FRANCE	NOUN	france
CAPÉTIENS	X	captin
CHARLES	NOUN	charles
IV	DET	se
LE	DET	le
BEL	ADJ	bel
Le	DET	le
premier	ADJ	premier
chapitre	NOUN	chapitre
,	PUNCT	,
comment	ADV	comment
le	DET	le
roy	NOUN	roi
Charles	PROPN	charles
fu	VERB	estre
departi	VERB	departir
de	ADP	de
sa	DET	son
femme	NOUN	femme
pour	ADP	pour
cause	NOUN	cause
de	ADP	de
fillolage	NOUN	fillage
;	PUNCT	;
et	CCONJ	et
espousa	VERB	esposer
Marie	PROPN	marie
fille	NOUN	fille
Henri	PROPN	henri
jadis	ADV	jadis
emperere	NOUN	emperëor
de	ADP	de
Rome	PROPN	rome
.	PUNCT	.
Le	DET	le
secont	VERB	secont
,	PUNCT	,
d'	ADP	de
une	DET	un
dissencion	NOUN	dissance
qui	PRON	qui
mut	VERB	mout
entre	ADP	entre
le	DET	le
roy	NOUN	roi
d'	ADP	de
Angleterre	PROPN	angleterre
et	CCONJ	et
ses	DET	son
barons	NOUN	baron
.	PUNCT	.
Le	DET	le
III	ADJ	deus
,	PUNCT	,
comment	ADV	comment
le	DET	le
roy	NOUN	roi
anglois	NOUN	anglais
envay	NOUN	enväir
Escoce	NOUN	escoce
.	PUNCT	.
Le	DET	le
IV	DET	se
,	PUNCT	,
comment	ADV	comment
Loys	PROPN	louis
filz	NOUN	fil
le	DET	le
conte	NOUN	comte
de	ADP	de
Nevers	ADJ	nover
fu	VERB	estre
receu	VERB	recevoir
en	ADP	en
hommage	NOUN	hommage
de	ADP	de
la	DET	le
conté	VERB	conter
de	ADP	de
Nevers	ADJ	nover
.	PUNCT	.
Le	DET	le
V	DET	ci
,	PUNCT	,
comment	ADV	comment
Jourdain	PROPN	joudire
de	ADP	de
Lille	PROPN	lilat
fu	VERB	estre
trainé	VERB	traine
et	CCONJ	et
pendu	VERB	pendre
au	ADP.DET	a.le
gibet	VERB	giedte
de	ADP	de
Paris	PROPN	paris
.	PUNCT	.
Le	DET	le
VI	DET	sept
,	PUNCT	,
d'	ADP	de
un	DET	un
chat	VERB	chat
noir	ADJ	noir
qui	PRON	qui
fu	VERB	estre
mis	VERB	metre
en	ADP	en
I	DET	i
escrin	NOUN	escrïen
en	ADP	en
terre	NOUN	terre
,	PUNCT	,
en	ADP	en
I	DET	i
quarrefour	NOUN	quarreoupie
,	PUNCT	,
par	ADP	par
sorcerie	NOUN	sorcicier
.	PUNCT	.
Le	DET	le
VII	DET	sept
,	PUNCT	,
comment	ADV	comment
le	DET	le
sire	NOUN	seignor
de	ADP	de
Partenay	VERB	partenar
fu	VERB	estre
accusé	VERB	accuser
de	ADP	de
heresie	NOUN	esharie
.	PUNCT	.
Le	DET	le
VIII	DET	huit
,	PUNCT	,
comment	ADV	comment
Galeace	PROPN	galefor
conte	NOUN	comte
de	ADP	de
Melan	PROPN	melen
desconfist	VERB	desconfire
la	DET	le
gent	NOUN	gent
du	ADP.DET	de.le
pape	NOUN	pape
en	ADP	en
bataille	NOUN	bataille
,	PUNCT	,
et	CCONJ	et
comment	ADV	comment
la	DET	le
royne	NOUN	roine
de	ADP	de
France	PROPN	france
mourut	VERB	mourir
.	PUNCT	.
Le	DET	le
IX	DET	isce
,	PUNCT	,
comment	ADV	comment
dissencion	NOUN	dissance
mut	VERB	mout
entre	ADP	entre
le	DET	le
duc	NOUN	duc
de	ADP	de
Baviere	PROPN	baciere
et	CCONJ	et
Federic	PROPN	fedierce
pour	ADP	pour
l'	DET	le
Empire	NOUN	empire
;	PUNCT	;
et	CCONJ	et
après	ADV	après
,	PUNCT	,
d'	ADP	de
une	DET	un
