GRANDES	PROPN	grand
CHRONIQUES	ADJ	corschantis
DE	ADP	de
FRANCE	NOUN	france
CHRONIQUE	ADJ	corschantion
DES	PROPN	de.le
RÈGNES	PROPN	rencre
DE	ADP	de
JEAN	PROPN	jean
II	ADJ	it
ET	CCONJ	et
DE	ADP	de
CHARLES	NOUN	charles
V	DET	ci
Comment	ADV	comment
Charles	PROPN	charles
,	PUNCT	,
ainsné	VERB	ainzné
filz	NOUN	fil
du	ADP.DET	de.le
roy	NOUN	roi
Jehan	PROPN	jean
,	PUNCT	,
qui	PRON	qui
trespassa	VERB	trespasser
en	ADP	en
Angleterre	PROPN	angleterre
,	PUNCT	,
fu	VERB	estre
sacré	VERB	savorger
et	CCONJ	et
enoint	VERB	enoiier
à	ADP	à
roy	NOUN	roi
de	ADP	de
France	PROPN	france
,	PUNCT	,
en	ADP	en
l'	DET	le
eglise	NOUN	église
de	ADP	de
Reims	NOUN	remetre
,	PUNCT	,
et	CCONJ	et
aussi	ADV	aussi
fu	VERB	estre
la	DET	le
Royne	NOUN	roine
sa	DET	son
femme	NOUN	femme
.	PUNCT	.
L'	DET	le
an	ADP	en
de	ADP	de
grace	NOUN	grace
mil	DET	mil
CCC	DET	cect
LX	DET	lent
et	CCONJ	et
quatre	DET	quatre
,	PUNCT	,
le	DET	le
dymenche	NOUN	dhame
jour	NOUN	jour
de	ADP	de
la	DET	le
Trinité	NOUN	trinité
,	PUNCT	,
qui	PRON	qui
fu	VERB	estre
le	DET	le
XIXe	ADJ	sivre
jour	NOUN	jour
du	ADP.DET	de.le
mois	NOUN	mois
de	ADP	de
may	NOUN	mai
,	PUNCT	,
furent	VERB	estre
le	DET	le
dit	VERB	dire
roy	NOUN	roi
Charles	PROPN	charles
et	CCONJ	et
madame	NOUN	mademe
Jehanne	PROPN	jeanne
de	ADP	de
Bourbon	PROPN	bourbon
,	PUNCT	,
sa	DET	son
femme	NOUN	femme
,	PUNCT	,
sacrez	VERB	savor
à	ADP	à
Reims	NOUN	remetre
par	ADP	par
monseigneur	NOUN	monseigneur
Jehan	PROPN	jean
de	ADP	de
Craon	PROPN	crone
,	PUNCT	,
lors	ADV	lors
arcevesque	NOUN	archevéque
du	ADP.DET	de.le
dit	VERB	dire
lieu	NOUN	lieu
.	PUNCT	.
Et	CCONJ	et
furent	VERB	estre
au	ADP.DET	a.le
dit	VERB	dire
sacre	NOUN	sacre
les	DET	le
evesques	NOUN	evesque
de	ADP	de
Laon	PROPN	laon
,	PUNCT	,
de	ADP	de
Beauvais	PROPN	beauvair
,	PUNCT	,
lors	ADV	lors
chancelier	VERB	chancelier
de	ADP	de
France	PROPN	france
,	PUNCT	,
de	ADP	de
Langres	NOUN	langer
et	CCONJ	et
de	ADP	de
Noyon	ADJ	noyon
,	PUNCT	,
pers	NOUN	pers
de	ADP	de
France	PROPN	france
,	PUNCT	,
et	CCONJ	et
pluseurs	DET	plusieurs
autres	PRON	autre
prelas	ADJ	preler
