Cy	ADV	ci
commence	VERB	commencer
ung	DET	un
noble	ADJ	noble
et	CCONJ	et
tresexcellent	VERB	répéller
romant	NOUN	romant
nommé	VERB	nommer
Jehan	PROPN	jean
de	ADP	de
Paris	PROPN	paris
,	PUNCT	,
roy	NOUN	roi
de	ADP	de
France	PROPN	france
.	PUNCT	.
En	ADP	en
l'	DET	le
honneur	NOUN	honneur
de	ADP	de
Dieu	PROPN	dieu
nostre	DET	notre
createur	NOUN	créateur
et	CCONJ	et
redempteur	NOUN	redementir
,	PUNCT	,
et	CCONJ	et
de	ADP	de
sa	DET	son
benoiste	NOUN	benëir
vierge	NOUN	vierge
mere	NOUN	mere
,	PUNCT	,
puissions	NOUN	poissin
nous	PRON	nous
faire	VERB	faire
et	CCONJ	et
dire	VERB	dire
chose	NOUN	chose
en	ADP	en
cestuy	PRON	cest
transsitoire	NOUN	trentison
monde	NOUN	monde
que	SCONJ	que
a	ADP	a
luy	PRON	lui
soit	VERB	estre
plaisante	NOUN	plaire
et	CCONJ	et
a	ADP	a
nous	PRON	nous
prouffitable	ADJ	profitable
.	PUNCT	.
Mais	CCONJ	mais
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
nostre	DET	notre
pouvre	NOUN	pouvoir
fragilité	NOUN	fraignile
est	VERB	estre
tantost	ADV	tantost
lassee	VERB	lasser
et	CCONJ	et
fatiguee	VERB	faiteume
a	ADP	a
lire	NOUN	lire
ou	CCONJ	ou
escouter	VERB	écouter
choses	NOUN	chose
salutaires	ADJ	sauvetion
et	CCONJ	et
qu'	SCONJ	que
ilz	PRON	il
nous	PRON	nous
doivent	VERB	devoir
conduire	VERB	conduire
a	ADP	a
la	DET	le
eternelle	NOUN	entreelanie
felicité	NOUN	félition
et	CCONJ	et
remonstrance	NOUN	remontremont
de	ADP	de
noz	DET	notre
pechez	NOUN	pechié
et	CCONJ	et
meffaiz	NOUN	meffait
,	PUNCT	,
et	CCONJ	et
tantost	ADV	tantost
facillement	ADV	fauillement
s'	DET	soi
encline	VERB	encliner
a	ADP	a
vices	NOUN	vice
et	CCONJ	et
pechez	NOUN	pechié
et	CCONJ	et
que	SCONJ	que
grant	ADJ	grant
mal	NOUN	mal
est	VERB	estre
aujourd'	NOUN	aujourd'hui
uy	ADV	ui
pour	ADP	pour
ce	PRON	ce
que	SCONJ	que
chascun	DET	chascun
entend	VERB	entendre
de	ADP	de
legier	ADJ	legier
en	ADP	en
railleries	VERB	ralerie
dissolues	ADJ	dissus
et	CCONJ	et
diffamations	NOUN	diffance
,	PUNCT	,
dont	PRON	dont
grans	ADJ	grand
maulx	NOUN	mal
en	ADP	en
viennent	VERB	venir
,	PUNCT	,
et	CCONJ	et
pour	ADP	pour
eviter	VERB	éviter
oysiveté	NOUN	oisiveté
qui	PRON	qui
est	VERB	estre
seur	NOUN	soir
de	ADP	de
pechié	NOUN	pechié
,	PUNCT	,
j'	PRON	je
ay	VERB	avoir
voulu	DET	vouloir
icy	ADV	ici
mectre	VERB	mettre
par	ADP	par
escript	VERB	écrire
une	DET	un
histoire	NOUN	histoire
joyeuse	ADJ	joyeux
que	SCONJ	que
j'	PRON	je
ay	VERB	avoir
translatee	VERB	trenteler
d'	ADP	de
espaignol	NOUN	espagne
en	ADP	en
langue	NOUN	langue
françoise	NOUN	françois
.	PUNCT	.
Et	CCONJ	et
pour	ADP	pour
ce	PRON	ce
,	PUNCT	,
s'	DET	soi
il	PRON	il
y	ADV	y
a	ADP	a
chose	NOUN	chose
qui	PRON	qui
ne	ADV	ne
soit	VERB	estre
comme	SCONJ	comme
il	PRON	il
appartient	VERB	appartenir
me	PRON	je
soit	VERB	estre
pardonné	VERB	pardoner
,	PUNCT	,
car	CCONJ	car
je	PRON	je
l'	DET	le
ay	VERB	avoir
fait	VERB	faire
pour	ADP	pour
seullement	ADV	seulement
faire	VERB	faire
passer	VERB	passer
le	DET	le
temps	NOUN	temps
aux	ADP.DET	à.le
lisans	NOUN	livre
