PREMIERE	ADV	premier
PARTIE	NOUN	partie
,	PUNCT	,
PROLOGUE	NOUN	prologue
.	PUNCT	.
Au	ADP.DET	a.le
commencement	NOUN	commencement
de	ADP	de
ce	PRON	ce
monde	NOUN	monde
,	PUNCT	,
après	ADV	après
que	SCONJ	que
Dieu	PROPN	dieu
eut	VERB	avoir
creé	VERB	créer
l'	DET	le
homme	NOUN	homme
et	CCONJ	et
la	DET	le
femme	NOUN	femme
et	CCONJ	et
qu'	SCONJ	que
il	PRON	il
eut	VERB	avoir
produit	NOUN	prodit
toutes	DET	tout
choses	NOUN	chose
pour	ADP	pour
servir	VERB	servir
à	ADP	à
l'	DET	le
homme	NOUN	homme
et	CCONJ	et
nourrir	VERB	nourrir
icellui	DET	cil
,	PUNCT	,
ne	ADV	ne
fut	VERB	être
pas	NOUN	pas
longuement	ADV	longuement
la	DET	le
terre	NOUN	terre
en	ADP	en
paix	NOUN	paix
.	PUNCT	.
Ainçois	ADV	ainçois
commença	VERB	commencer
la	DET	le
guerre	NOUN	guerre
,	PUNCT	,
qui	PRON	qui
est	VERB	estre
propre	NOUN	propre
ennemye	NOUN	ennemi
de	ADP	de
nature	NOUN	nature
,	PUNCT	,
à	ADP	à
regner	VERB	renger
et	CCONJ	et
avoir	VERB	avoir
entrée	NOUN	entrée
entre	ADP	entre
les	DET	le
prochains	NOUN	prochain
parens	NOUN	parent
et	CCONJ	et
freres	NOUN	frere
,	PUNCT	,
comme	SCONJ	comme
furent	VERB	estre
Cayn	NOUN	cain
et	CCONJ	et
Abel	PROPN	abel
;	PUNCT	;
et	CCONJ	et
proceda	VERB	procéder
ceste	DET	cest
guerre	NOUN	guerre
à	ADP	à
l'	DET	le
occasion	NOUN	occasion
d'	ADP	de
envie	NOUN	envie
,	PUNCT	,
ainsy	ADV	ainsi
qu'	SCONJ	que
il	PRON	il
est	VERB	estre
recité	VERB	réciter
ou	CCONJ	ou
livre	NOUN	livre
de	ADP	de
Genese	PROPN	genes
ou	CCONJ	ou
