Sire	NOUN	seignor
,	PUNCT	,
boun	ADJ	bon
jour	NOUN	jour
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
boun	ADJ	bon
jour	NOUN	jour
a	ADP	a
vous	PRON	vous
.	PUNCT	.
Ou	CCONJ	où
:	PUNCT	:
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
boun	ADJ	bon
jour	NOUN	jour
vous	PRON	vous
doyne	NOUN	doner
Dieu	PROPN	dieu
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
boun	ADJ	bon
matyn	NOUN	matin
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
boun	ADJ	bon
matyn	NOUN	matin
a	ADP	a
vous	PRON	vous
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
Dieu	PROPN	dieu
vous	PRON	vous
save	ADJ	savoir
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
Dieu	PROPN	dieu
vous	PRON	vous
benoy	NOUN	benoin
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
a	ADP	a
Dieu	PROPN	dieu
soiez	VERB	estre
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
Dieu	PROPN	dieu
vous	PRON	vous
doyne	NOUN	doner
bone	ADJ	bon
vie	NOUN	vie
et	CCONJ	et
longe	NOUN	long
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
a	ADP	a
Dieu	PROPN	dieu
vous	PRON	vous
comande	VERB	comander
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
Dieu	PROPN	dieu
vous	PRON	vous
doyne	NOUN	doner
bon	ADJ	bon
sanyté	NOUN	sainté
et	CCONJ	et
bon	ADJ	bon
joye	NOUN	joie
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
Dieu	PROPN	dieu
vous	PRON	vous
garde	NOUN	garde
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
et	CCONJ	et
vous	PRON	vous
auxci	ADV	aucui
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
bon	ADJ	bon
soer	NOUN	soer
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
boun	ADJ	bon
soer	NOUN	soer
a	ADP	a
vous	PRON	vous
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
vous	PRON	vous
estez	VERB	estre
bien	NOUN	bien
encountrez	VERB	encontre
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
vous	PRON	vous
estez	VERB	estre
bien	NOUN	bien
venu	VERB	venir
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
Dieu	PROPN	dieu
vous	PRON	vous
esploite	VERB	esploitier
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
Deu	PROPN	dieu
vous	PRON	vous
avaunce	NOUN	avalon
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
prou	ADJ	pro
vous	PRON	vous
face	VERB	faire
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
grant	ADJ	grant
mercy	NOUN	merci
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
voulez	VERB	vouloir
vous	PRON	vous
manger	VERB	mangier
ové	NOUN	ovre
nous	PRON	nous
?	PUNCT	?
Non	NOUN	non
,	PUNCT	,
syre	NOUN	seignor
,	PUNCT	,
certys	ADJ	cert
j'	PRON	je
ay	VERB	avoir
mangé	VERB	mangier
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
bevez	VERB	bevre
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
comencez	VERB	commencer
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
pernez	VERB	perner
le	DET	le
hanap	NOUN	hanap
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
noun	DET	non
pas	NOUN	pas
devant	ADP	devant
vous	PRON	vous
,	PUNCT	,
si	ADV	si
vous	PRON	vous
plest	NOUN	plaire
,	PUNCT	,
par	ADP	par
Dieu	PROPN	dieu
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
ferez	VERB	faire
ore	NOUN	ore
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
a	ADP	a
Dieu	PROPN	dieu
,	PUNCT	,
bone	ADJ	bon
noet	VERB	notre
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
bone	ADJ	bon
noet	VERB	notre
vous	PRON	vous
doyne	NOUN	doner
Dieu	PROPN	dieu
et	CCONJ	et
boun	ADJ	bon
repos	NOUN	repos
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
coment	VERB	comment
ové	NOUN	ovre
vous	PRON	vous
est	VERB	estre
?	PUNCT	?
Sire	NOUN	seignor
,	PUNCT	,
le	DET	le
meulx	ADV	mieux
pur	ADP	pour
vous	PRON	vous
,	PUNCT	,
graunt	ADJ	grant
merciez	VERB	mercier
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
dez	ADP	dez
queux	DET	quel
partiez	NOUN	partir
veignez	VERB	venir
vous	PRON	vous
?	PUNCT	?
Sire	NOUN	seignor
,	PUNCT	,
je	PRON	je
veigne	VERB	venir
dez	ADP	dez
partiez	NOUN	partir
de	ADP	de
Fraunce	PROPN	france
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
quelez	ADJ	quel
novelx	NOUN	novel
de	ADP	de
par	ADP	par
dela	ADP	dale
?	PUNCT	?
Sire	NOUN	seignor
,	PUNCT	,
le	DET	le
roy	NOUN	roi
est	VERB	estre
en	ADP	en
bon	ADJ	bon
point	NOUN	point
-	PUNCT	-
loiez	VERB	loiier
soit	VERB	estre
Dieu	PROPN	dieu
-	PUNCT	-
ovesque	NOUN	ovecier
toute	DET	tout
sa	DET	son
compaignie	NOUN	compagnie
en	ADP	en
lez	DET	lez
parties	NOUN	partie
de	ADP	de
Normandie	PROPN	normandie
,	PUNCT	,
et	CCONJ	et
il	PRON	il
est	VERB	estre
en	ADP	en
sanitee	NOUN	sainter
luy	PRON	lui
mesmes	ADJ	même
,	PUNCT	,
mes	DET	mais
plusours	DET	plusor
de	ADP	de
sez	VERB	savoir
gentz	ADJ	gent
sount	VERB	sont
maladez	VERB	malade
et	CCONJ	et
beaucope	NOUN	beaucoup
d'	ADP	de
eaux	NOUN	eux
sount	VERB	sont
mortz	VERB	mort
.	PUNCT	.
Et	CCONJ	et
en	ADP	en
oultre	ADP	outre
,	PUNCT	,
le	DET	le
roy	NOUN	roi
arryva	VERB	arriver
illoeques	ADV	illuece
joust	VERB	jout
la	DET	le
ville	NOUN	ville
de	ADP	de
Harfleu	PROPN	carfel
et	CCONJ	et
avoit	VERB	avoir
mys	VERB	mettre
un	DET	un
graunt	ADJ	grant
siege	NOUN	siege
sur	ADP	sur
la	DET	le
dite	VERB	dire
ville	NOUN	ville
ovesque	NOUN	ovecier
la	DET	le
nombre	NOUN	nombre
de	ADP	de
.lx.	DET	discent
mille	DET	mille
persones	NOUN	personne
et	CCONJ	et
parmy	NOUN	parmi
la	DET	le
grace	NOUN	grace
de	ADP	de
Dieu	PROPN	dieu
,	PUNCT	,
il	PRON	il
ad	VERB	avoir
conquys	VERB	conquerre
la	DET	le
dicte	VERB	dire
ville	NOUN	ville
et	CCONJ	et
est	VERB	estre
remeué	VERB	remüer
de	ADP	de
la	DET	le
dicte	VERB	dire
seege	NOUN	seje
et	CCONJ	et
soy	PRON	soi
purpose	NOUN	porpres
pur	ADP	pour
aler	VERB	aler
vers	ADP	vers
Calays	PROPN	calais
parmy	NOUN	parmi
la	DET	le
terre	NOUN	terre
de	ADP	de
Fraunce	PROPN	france
.	PUNCT	.
Et	CCONJ	et
puis	NOUN	puis
j'	PRON	je
ay	VERB	avoir
oye	NOUN	öir
dyre	VERB	dire
qu'	SCONJ	que
ore	NOUN	ore
tarde	NOUN	tarder
,	PUNCT	,
lez	DET	lez
seignours	NOUN	seignoru
de	ADP	de
Fraunce	PROPN	france
ovesque	NOUN	ovecier
la	DET	le
nombre	NOUN	nombre
de	ADP	de
.l.	DET	cinc
ou	CCONJ	ou
.lx.	DET	discent
mille	DET	mille
persones	NOUN	personne
armez	VERB	armer
ount	VERB	ont
encontrez	VERB	encontre
le	DET	le
roy	NOUN	roi
par	ADP	par
le	DET	le
chymyn	NOUN	chimpien
,	PUNCT	,
et	CCONJ	et
le	DET	le
roy	NOUN	roi
ovesque	NOUN	ovecier
la	DET	le
numbre	NOUN	nombre
de	ADP	de
.x.	DET	dis
mille	DET	mille
persones	NOUN	personne
ad	VERB	avoir
combatuz	VERB	combattre
ovesque	NOUN	ovecier
eaux	NOUN	eux
a	ADP	a
un	DET	un
lieu	NOUN	lieu
apellé	VERB	appeler
Agincourt	PROPN	anguercin
,	PUNCT	,
a	ADP	a
quele	DET	quel
bataille	NOUN	bataille
i	ADV	i
sount	VERB	sont
pris	NOUN	prendre
et	CCONJ	et
tuez	ADJ	tier
.xi.	DET	quint
mille	DET	mille
personis	NOUN	personne
dez	ADP	dez
Fraunceys	PROPN	français
et	CCONJ	et
sount	VERB	sont
tuez	ADJ	tier
forsque	NOUN	forsen
.xvi.	DET	seize
persones	NOUN	personne
dez	ADP	dez
Englés	PROPN	anglas
,	PUNCT	,
dount	PRON	dont
le	DET	le
duc	NOUN	duc
d'	ADP	de
Everwyk	PROPN	evercuisie
estoit	VERB	estre
un	DET	un
et	CCONJ	et
le	DET	le
counte	NOUN	comte
de	ADP	de
Suffolk	NOUN	soflif
un	DET	un
autre	ADJ	autre
.	PUNCT	.
Et	CCONJ	et
le	DET	le
roy	NOUN	roi
avoit	VERB	avoir
le	DET	le
champe	NOUN	champe
et	CCONJ	et
le	DET	le
victorie	NOUN	victorte
-	PUNCT	-
loiez	VERB	loiier
soit	VERB	estre
Dieu	PROPN	dieu
-	PUNCT	-
et	CCONJ	et
mist	VERB	metre
toutz	DET	tout
lez	DET	lez
autrez	ADJ	autre
Fraunceys	PROPN	français
au	ADP.DET	a.le
fewer	VERB	ferbe
.	PUNCT	.
Et	CCONJ	et
issint	VERB	issir
le	DET	le
roy	NOUN	roi
tient	VERB	tenir
soun	DET	son
chymyn	NOUN	chimpien
vers	ADP	vers
Calays	PROPN	calais
et	CCONJ	et
soy	PRON	soi
purpose	NOUN	porpres
de	ADP	de
retourner	VERB	retourner
en	ADP	en
Engleterre	PROPN	angleterre
par	ADP	par
la	DET	le
grace	NOUN	grace
de	ADP	de
Dieu	PROPN	dieu
.	PUNCT	.
En	ADP	en
oultre	ADP	outre
,	PUNCT	,
sire	NOUN	seignor
,	PUNCT	,
vous	PRON	vous
dy	VERB	dire
pur	ADP	pour
certeyn	ADJ	certein
que	SCONJ	que
lez	DET	lez
Fraunceys	PROPN	français
que	SCONJ	que
furent	VERB	estre
pris	NOUN	prendre
al	ADP.DET	à.le
dit	VERB	dire
bataylle	NOUN	bataille
Agincort	PROPN	anguetre
,	PUNCT	,
c'	CCONJ	ce
est	VERB	estre
a	ADP	a
ssaver	VERB	savoir
le	DET	le
duc	NOUN	duc
de	ADP	de
Orliaunce	NOUN	orilliers
,	PUNCT	,
le	DET	le
duc	NOUN	duc
de	ADP	de
Burbayne	PROPN	brubaison
et	CCONJ	et
plusours	DET	plusor
autrez	ADJ	autre
countes	NOUN	conter
,	PUNCT	,
chivalers	NOUN	chilapel
et	CCONJ	et
esquiers	NOUN	escuier
vaillauntz	ADJ	valoir
si	ADV	si
bien	NOUN	bien
d'	ADP	de
autrez	ADJ	autre
estraungez	ADJ	estranguer
terrez	NOUN	terre
come	SCONJ	come
de	ADP	de
Fraunce	PROPN	france
,	PUNCT	,
serrount	NOUN	serrond
anmesniez	NOUN	amnener
le	DET	le
jeody	NOUN	jeter
prochein	NOUN	prochain
aprés	ADP	après
le	DET	le
feste	NOUN	fête
de	ADP	de
Seint	ADJ	saint
Martyn	PROPN	martir
envers	ADP	envers
Loundres	PROPN	loundre
.	PUNCT	.
Et	CCONJ	et
ils	PRON	il
sount	VERB	sont
arrivez	VERB	arriver
a	ADP	a
Dovere	NOUN	dover
,	PUNCT	,
et	CCONJ	et
toutz	DET	tout
lez	DET	lez
gentz	ADJ	gent
de	ADP	de
Kent	PROPN	cent
et	CCONJ	et
d'	ADP	de
Essexe	NOUN	esseler
suffisaunt	ADJ	suffisande
surrount	NOUN	survorn
moustrés	NOUN	moustroy
en	ADP	en
lour	DET	lour
meilour	ADJ	meillor
array	NOUN	arrive
par	ADP	par
le	DET	le
haut	ADJ	haut
chymmyn	NOUN	chimmin
enter	VERB	entre
Caunterbery	PROPN	carnetoune
et	CCONJ	et
Londres	PROPN	londres
.	PUNCT	.
Et	CCONJ	et
lez	DET	lez
gentes	ADJ	gent
de	ADP	de
Loundres	PROPN	loundre
byen	NOUN	bien
armez	VERB	armer
et	CCONJ	et
arrayez	NOUN	arriver
eux	PRON	eux
moustrerent	VERB	mourtreuste
sur	ADP	sur
le	DET	le
Blakehethe	PROPN	blécheste
pur	ADP	pour
encountrer	VERB	encontrer
lez	DET	lez
ditz	NOUN	dire
Fraunceys	PROPN	français
,	PUNCT	,
afyn	NOUN	afin
q'	SCONJ	que
ils	PRON	il
purrount	VERB	pouvoir
veyer	VERB	vëoir
quele	DET	quel
poeple	NOUN	peuple
sount	VERB	sont
lessez	VERB	laissier
derere	ADP	derrëer
le	DET	le
roy	NOUN	roi
en	ADP	en
Engleterre	PROPN	angleterre
pur	ADP	pour
la	DET	le
saufgarde	NOUN	sagadir
de	ADP	de
mesme	ADJ	même
le	DET	le
rayme	NOUN	rametre
.	PUNCT	.
Syre	NOUN	seignor
,	PUNCT	,
ou	CCONJ	ou
pensez	NOUN	penser
vous	PRON	vous
chivacher	VERB	chilache
anoet	NOUN	anoit
?	PUNCT	?
Sire	NOUN	seignor
,	PUNCT	,
a	ADP	a
la	DET	le
prochene	NOUN	prochance
ville	NOUN	ville
,	PUNCT	,
si	ADV	si
Dieu	PROPN	dieu
plest	NOUN	plaire
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
que	SCONJ	que
l'	DET	le
apellez	VERB	apeler
la	DET	le
prochyin	NOUN	procichier
ville	NOUN	ville
?	PUNCT	?
Sire	NOUN	seignor
,	PUNCT	,
l'	DET	le
apellent	VERB	apeler
Oxone	NOUN	onoile
,	PUNCT	,
verement	ADV	vermeil
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
de	ADP	de
celle	DET	cil
ville	NOUN	ville
j'	PRON	je
ay	VERB	avoir
oie	NOUN	öir
parler	VERB	parler
graunde	ADJ	grand
bien	NOUN	bien
de	ADP	de
moult	ADV	moult
gentz	ADJ	gent
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
come	SCONJ	come
bien	NOUN	bien
longe	NOUN	long
decy	NOUN	deci
est	VERB	estre
ycelle	DET	cil
ville	NOUN	ville
,	PUNCT	,
je	PRON	je
vous	PRON	vous
pri	VERB	priier
?	PUNCT	?
Sire	NOUN	seignor
,	PUNCT	,
nous	PRON	nous
avouns	VERB	avouer
biene	NOUN	bien
.x.	DET	dis
lewes	NOUN	lever
illoeques	ADV	illuece
unqore	ADV	onquerre
.	PUNCT	.
