CHRONIQUE	NOUN	chronique
D'	ADP	de
ENGUERRAN	ADJ	enguner
DE	ADP	de
MONSTRELET	PROPN	montrel
.	PUNCT	.
LIVRE	NOUN	livre
SECOND	ADJ	second
.	PUNCT	.
1422-1444	NOUN	souprendre
.	PUNCT	.
DE	ADP	de
L'	DET	le
AN	ADP	an
MCCCCXLI	NOUN	muccande
.	PUNCT	.
Comment	ADV	comment
la	DET	le
duchesse	NOUN	duchés
de	ADP	de
Bourgongne	PROPN	bourgogne
se	PRON	se
parti	VERB	partir
du	ADP.DET	de.le
roy	NOUN	roi
Charles	PROPN	charles
estant	VERB	être
à	ADP	à
Laon	PROPN	laon
et	CCONJ	et
retourna	VERB	retourner
au	ADP.DET	a.le
Quesnoy	PROPN	quesnois
,	PUNCT	,
où	ADV	où
alors	NOUN	alors
estoit	VERB	estre
le	DET	le
duc	NOUN	duc
de	ADP	de
Bourgongne	PROPN	bourgogne
son	DET	son
mari	NOUN	mari
.	PUNCT	.
Au	ADP.DET	a.le
commencement	NOUN	commencement
de	ADP	de
cest	DET	cest
an	ADP	en
,	PUNCT	,
Charles	PROPN	charles
,	PUNCT	,
roy	NOUN	roi
de	ADP	de
France	PROPN	france
,	PUNCT	,
estant	VERB	être
à	ADP	à
Laon	PROPN	laon
,	PUNCT	,
où	ADV	où
il	PRON	il
avoit	VERB	avoir
solempnisé	NOUN	solengele
la	DET	le
feste	NOUN	fête
de	ADP	de
la	DET	le
résurrection	NOUN	restroure
Jhésucrist	PROPN	jésurbre
en	ADP	en
l'	DET	le
ostel	NOUN	hôtel
ébiscopal	NOUN	abichier
de	ADP	de
l'	DET	le
évesque	NOUN	avescor
d'	ADP	de
ycelle	DET	cil
cité	NOUN	cité
de	ADP	de
Laon	PROPN	laon
,	PUNCT	,
tenant	VERB	tenir
pluiseurs	NOUN	plusieurs
grans	ADJ	grand
consaulz	NOUN	conseil
sur	ADP	sur
les	DET	le
requestes	NOUN	requête
que	SCONJ	que
luy	PRON	lui
avoit	VERB	avoir
faites	VERB	faire
la	DET	le
duchesse	NOUN	duchés
de	ADP	de
Bourgongne	PROPN	bourgogne
et	CCONJ	et
ceulx	PRON	cil
de	ADP	de
son	DET	son
conseil	NOUN	conseil
,	PUNCT	,
en	ADP	en
la	DET	le
fin	NOUN	fin
desquelz	DET	de.lequel
consaulx	NOUN	conseil
finablement	NOUN	finablement
,	PUNCT	,
comme	SCONJ	comme
j'	PRON	je
ay	VERB	avoir
jà	ADV	jà
déclairié	VERB	déclaire
,	PUNCT	,
ly	DET	le
en	ADP	en
furent	VERB	estre
peu	ADV	peu
accordées	VERB	accorder
.	PUNCT	.
Dont	PRON	dont
elle	PRON	elle
ne	ADV	ne
fut	VERB	être
point	NOUN	point
bien	NOUN	bien
contente	ADJ	contente
,	PUNCT	,
et	CCONJ	et
appercut	VERB	apercevoir
assés	ADV	assez
clèrement	NOUN	clerme
,	PUNCT	,
et	CCONJ	et
aussy	ADV	aussi
firent	VERB	faire
ceulz	DET	cil
qui	PRON	qui
estoient	VERB	estre
avec	ADP	avec
elle	PRON	elle
,	PUNCT	,
que	SCONJ	que
les	DET	le
gouverneurs	NOUN	gouverneux
d'	ADP	de
ycelui	DET	cil
Roy	NOUN	roi
n'	ADV	ne
avoient	VERB	avoir
mie	ADV	mie
bien	NOUN	bien
agréable	NOUN	agreable
le	DET	le
duc	NOUN	duc
de	ADP	de
Bourgongne	PROPN	bourgogne
,	PUNCT	,
ne	ADV	ne
ses	DET	son
besongnes	ADJ	besogne
.	PUNCT	.
Et	CCONJ	et
pour	ADP	pour
tant	ADV	tant
,	PUNCT	,
elle	PRON	elle
véant	VERB	vëoir
que	SCONJ	que
sa	DET	son
demeure	NOUN	demeurer
yluceq	DET	pilque
ne	ADV	ne
ly	DET	le
estoit	VERB	estre
mie	ADV	mie
gramment	NOUN	grament
prouffitable	ADJ	profitable
,	PUNCT	,
prinst	VERB	prendre
congié	NOUN	congié
au	ADP.DET	a.le
dessusdit	NOUN	dessus-dit
Roy	NOUN	roi
,	PUNCT	,
et	CCONJ	et
le	DET	le
remercia	VERB	remercire
de	ADP	de
l'	DET	le
honneur	NOUN	honneur
et	CCONJ	et
bonne	ADJ	bon
récepcion	NOUN	recevoir
qu'	SCONJ	que
il	PRON	il
luy	PRON	lui
avoit	VERB	avoir
faite	VERB	faire
.	PUNCT	.
Et	CCONJ	et
après	ADV	après
luy	PRON	lui
dist	VERB	dire
:	PUNCT	:
«	PUNCT	"
Monseigneur	NOUN	monseigneur
,	PUNCT	,
de	ADP	de
toutes	DET	tout
les	DET	le
requestes	NOUN	requête
que	SCONJ	que
je	PRON	je
vous	PRON	vous
ay	VERB	avoir
faites	VERB	faire
ne	ADV	ne
m'	PRON	je
en	ADP	en
avés	VERB	avoir
nulles	NOUN	nul
octroiiées	VERB	octroiier
ne	ADV	ne
accordées	VERB	accorder
,	PUNCT	,
jà	ADV	jà
soit	VERB	estre
-	PUNCT	-
il	PRON	il
seloncq	DET	selonc
mon	DET	mon
advis	NOUN	avis
qu'	SCONJ	que
elles	PRON	elle
fussent	VERB	estre
assés	ADV	assez
raisonnables	ADJ	raisonable
.	PUNCT	.
»	PUNCT	"
A	ADP	a
quoy	PRON	quoi
le	DET	le
Roy	NOUN	roi
ly	DET	le
respondi	VERB	respondre
assés	ADV	assez
courtoisement	NOUN	courtoisement
,	PUNCT	,
en	ADP	en
disant	VERB	dire
:	PUNCT	:
«	PUNCT	"
Belle	ADJ	beau
seur	NOUN	soir
,	PUNCT	,
ce	PRON	ce
poise	VERB	peser
nous	PRON	nous
que	SCONJ	que
aultrement	ADV	autrement
ne	ADV	ne
se	PRON	se
puet	VERB	pöoir
faire	VERB	faire
.	PUNCT	.
Car	CCONJ	car
seloncq	DET	selonc
ce	PRON	ce
que	SCONJ	que
nous	PRON	nous
trouvons	NOUN	trouver
en	ADP	en
nostre	DET	notre
conseil	NOUN	conseil
,	PUNCT	,
à	ADP	à
cui	PRON	cui
en	ADP	en
avons	VERB	avoir
parlé	VERB	parler
bien	NOUN	bien
au	ADP.DET	a.le
long	NOUN	long
,	PUNCT	,
ycelles	DET	cil
requestes	NOUN	requête
nous	PRON	nous
seroient	VERB	être
moult	ADV	moult
préjudiciables	ADJ	prujifique
à	ADP	à
accorder	VERB	accorder
.	PUNCT	.
»	PUNCT	"
Après	ADP	après
lesquelles	DET	lequel
parolles	NOUN	parole
elle	PRON	elle
prinst	VERB	prendre
congé	NOUN	congé
,	PUNCT	,
comme	SCONJ	comme
dict	VERB	dire
est	VERB	estre
,	PUNCT	,
au	ADP.DET	a.le
Roy	NOUN	roi
,	PUNCT	,
et	CCONJ	et
à	ADP	à
son	DET	son
fils	NOUN	fil
le	DET	le
Daulfin	ADJ	de.ledit
.	PUNCT	.
Puis	NOUN	puis
se	PRON	se
parti	VERB	partir
de	ADP	de
là	ADV	là
et	CCONJ	et
s'	DET	soi
en	ADP	en
vint	VERB	venir
ou	CCONJ	ou
giste	NOUN	gésit
à	ADP	à
Saint-Quentin	PROPN	saint-jonce
,	PUNCT	,
avec	ADP	avec
elle	PRON	elle
toutes	DET	tout
ses	DET	son
gens	NOUN	gens
.	PUNCT	.
Et	CCONJ	et
le	DET	le
raconduisi	VERB	racondion
le	DET	le
connestable	NOUN	connétable
et	CCONJ	et
aulcuns	DET	aucun
aultres	PRON	autre
,	PUNCT	,
grand	ADJ	grand
espace	NOUN	espace
.	PUNCT	.
Duquel	ADP.DET	de.lequel
lieu	NOUN	lieu
de	ADP	de
Saint-Quentin	PROPN	saint-jonce
elle	PRON	elle
s'	DET	soi
en	ADP	en
vint	VERB	venir
lendemain	NOUN	lendemain
disner	VERB	dire
au	ADP.DET	a.le
Chastel	NOUN	chastel
en	ADP	en
Cambrésis	PROPN	cambrais
.	PUNCT	.
Et	CCONJ	et
à	ADP	à
ceste	DET	cest
heure	NOUN	heure
estoient	VERB	estre
alés	VERB	aller
aulcunes	DET	aucun
gens	NOUN	gens
dudit	ADP.DET	de.ledit
roy	NOUN	roi
,	PUNCT	,
fouragier	VERB	fourage
ou	CCONJ	ou
pays	NOUN	pays
