LA	DET	le
PASSION	NOUN	passer
DE	ADP	de
PALATINUS	PROPN	pautil
Mi	VERB	moi
ami	NOUN	ami
,	PUNCT	,
mi	DET	moi
deciple	NOUN	dechile
,	PUNCT	,
franche	ADJ	france
gent	NOUN	gent
honoree	NOUN	honorer
,	PUNCT	,
La	DET	le
sainte	ADJ	saint
Pasque	NOUN	pasque
aproche	VERB	aprochier
que	SCONJ	que
j'	PRON	je
ai	VERB	avoir
tant	ADV	tant
desirree	VERB	desirrer
Pour	ADP	pour
mengier	VERB	mangier
avec	ADP	avec
vous	PRON	vous
la	DET	le
pais	NOUN	paix
qui	PRON	qui
mout	ADV	mout
m'	PRON	je
agree	NOUN	agreer
Ainz	PROPN	ainz
que	SCONJ	que
ma	DET	mon
vie	NOUN	vie
soit	VERB	estre
pour	ADP	pour
le	DET	le
pueple	NOUN	peuple
finee	VERB	finer
.	PUNCT	.
Pierre	PROPN	piere
et	CCONJ	et
Jehan	PROPN	jean
,	PUNCT	,
sa	DET	son
venez	VERB	venir
.	PUNCT	.
En	ADP	en
la	DET	le
cité	NOUN	cité
leanz	ADV	laienz
irez	NOUN	aler
;	PUNCT	;
Un	DET	un
home	NOUN	ome
si	ADV	si
encontrerez	VERB	encontrer
.	PUNCT	.
De	ADP	de
moie	ADJ	mien
part	NOUN	part
vous	PRON	vous
li	DET	le
direz	VERB	dire
Que	CCONJ	que
veil	NOUN	vail
aler	VERB	aler
en	ADP	en
sa	DET	son
maison	NOUN	maison
,	PUNCT	,
Et	CCONJ	et
je	PRON	je
et	CCONJ	et
tuit	DET	tot
mi	DET	moi
compaignon	NOUN	compagnon
.	PUNCT	.
Mengier	ADJ	mangier
i	ADV	i
veil	NOUN	vail
priveement	ADV	priveement
;	PUNCT	;
Il	PRON	il
le	DET	le
voudra	VERB	voloir
mout	ADV	mout
bonement	NOUN	bonnement
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
volentiers	ADV	volentiers
nous	PRON	nous
irons	NOUN	aler
,	PUNCT	,
Vostre	DET	vostre
commandement	NOUN	commandement
ferons	NOUN	faire
.	PUNCT	.
Saint	ADJ	saint
Pierre	PROPN	piere
a	ADP	a
l'	DET	le
oste	NOUN	oste
Amis	NOUN	ami
,	PUNCT	,
Jhesu	PROPN	jesus
,	PUNCT	,
li	DET	le
nostre	DET	notre
sire	NOUN	seignor
,	PUNCT	,
Nous	PRON	nous
envoie	VERB	envoiier
a	ADP	a
vous	PRON	vous
pour	ADP	pour
dire	VERB	dire
Que	CCONJ	que
vous	PRON	vous
huimais	NOUN	huiaume
le	DET	le
hebergiez	VERB	herbergier
,	PUNCT	,
A	ADP	a
mengier	VERB	mangier
li	DET	le
appareilliez	VERB	appareiller
.	PUNCT	.
Mengier	ADJ	mangier
veut	VERB	vouloir
a	ADP	a
vostre	DET	vostre
maison	NOUN	maison
,	PUNCT	,
Ensemble	ADV	ensemble
lui	PRON	lui
si	ADV	si
compaignon	NOUN	compagnon
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
bien	NOUN	bien
soiez	VERB	estre
vous	PRON	vous
venuz	VERB	venir
!	PUNCT	!
Quant	SCONJ	cant
venrra	VERB	vernor
mes	DET	mais
sires	NOUN	seignor
Jhesu	PROPN	jesus
?	PUNCT	?
Sus	ADV	sus
lui	PRON	lui
,	PUNCT	,
biau	ADJ	bel
sire	NOUN	seignor
,	PUNCT	,
rien	NOUN	rien
ne	ADV	ne
ai	VERB	avoir
,	PUNCT	,
Ainz	PROPN	ainz
est	VERB	estre
trestout	DET	trestot
sien	ADJ	sien
quanque	PRON	cantque
j'	PRON	je
ai	VERB	avoir
.	PUNCT	.
Quant	SCONJ	cant
il	PRON	il
venrra	VERB	vernor
tout	DET	tout
trovera	VERB	trover
Quanque	PRON	cantque
mestier	NOUN	mestier
li	DET	le
avera	VERB	averser
.	PUNCT	.
Venez	VERB	venir
le	DET	le
atendre	VERB	atendre
en	ADP	en
maison	NOUN	maison
,	PUNCT	,
Car	CCONJ	car
il	PRON	il
est	VERB	estre
bien	NOUN	bien
drois	ADJ	droit
et	CCONJ	et
raison	NOUN	raison
.	PUNCT	.
Sire	NOUN	seignor
,	PUNCT	,
bien	NOUN	bien
dites	VERB	dire
,	PUNCT	,
si	ADV	si
vous	PRON	vous
plait	NOUN	plait
,	PUNCT	,
Et	CCONJ	et
nous	PRON	nous
le	DET	le
ferons	NOUN	faire
sans	NOUN	sans
plait	NOUN	plait
.	PUNCT	.
Si	ADV	si
atendrons	VERB	atendre
nostre	DET	notre
seigneur	NOUN	seigneur
Et	CCONJ	et
la	DET	le
compaignie	NOUN	compagnie
greigneur	ADJ	grant
Que	CCONJ	que
il	PRON	il
avec	ADP	avec
lui	PRON	lui
avra	VERB	avoir
Quant	SCONJ	cant
il	PRON	il
en	ADP	en
cest	DET	cest
ostel	NOUN	hôtel
venrra	VERB	vernor
.	PUNCT	.
Or	ADV	or
sus	DET	sus
,	PUNCT	,
or	NOUN	or
sus	DET	sus
,	PUNCT	,
seigneur	NOUN	seigneur
,	PUNCT	,
enfant	NOUN	enfant
!	PUNCT	!
Alons	VERB	aler
nous	PRON	nous
en	ADP	en
au	ADP.DET	a.le
roy	NOUN	roi
puissant	ADJ	poissant
Aourer	VERB	aorer
et	CCONJ	et
beneir	VERB	benëir
.	PUNCT	.
Veez	VERB	vëoir
le	DET	le
la	DET	le
ou	CCONJ	ou
il	PRON	il
vient	VERB	venir
,	PUNCT	,
Cil	DET	cel
