et	CCONJ	et
mes	DET	mais
sires	NOUN	seignor
Gauvains	PROPN	gauvain
lor	DET	lor
demande	VERB	demander
coment	VERB	comment
il	PRON	il
l'	DET	le
ont	VERB	avoir
puis	NOUN	puis
fet	VERB	faire
que	SCONJ	que
il	PRON	il
se	PRON	se
partirent	VERB	partir
de	ADP	de
cort	NOUN	cort
,	PUNCT	,
et	CCONJ	et
il	PRON	il
dient	VERB	dire
:	PUNCT	:
«	PUNCT	"
Bien	NOUN	bien
Dieu	PROPN	dieu
merci	NOUN	merci
.	PUNCT	.
»	PUNCT	"
Car	CCONJ	car
il	PRON	il
ont	VERB	avoir
toz	DET	tot
jorz	NOUN	jor
esté	VERB	être
sainz	ADJ	saint
et	CCONJ	et
haitiez	VERB	haitier
.	PUNCT	.
«	PUNCT	"
Certes	ADV	certes
,	PUNCT	,
fet	VERB	faire
mes	DET	mais
sires	NOUN	seignor
Gauvains	PROPN	gauvain
,	PUNCT	,
ce	PRON	ce
me	PRON	je
plest	NOUN	plaire
mout	ADV	mout
.	PUNCT	.
»	PUNCT	"
Granz	ADJ	grant
est	VERB	estre
la	DET	le
joie	NOUN	joie
que	SCONJ	que
cil	DET	cel
de	ADP	de
la	DET	le
cort	NOUN	cort
font	VERB	faire
a	ADP	a
Boort	PROPN	bourder
et	CCONJ	et
a	ADP	a
Lion	PROPN	lïon
,	PUNCT	,
car	CCONJ	car
pieça	NOUN	pieçe
mes	DET	mais
qu'	SCONJ	que
il	PRON	il
nes	NOUN	ne.il
avoient	VERB	avoir
veuz	NOUN	voir
,	PUNCT	,
et	CCONJ	et
li	DET	le
rois	NOUN	roi
comande	VERB	comander
que	SCONJ	que
les	DET	le
tables	NOUN	table
soient	VERB	estre
mises	VERB	metre
,	PUNCT	,
car	CCONJ	car
il	PRON	il
est	VERB	estre
tens	NOUN	tens
de	ADP	de
mengier	VERB	mangier
ce	PRON	ce
li	DET	le
est	VERB	estre
avis	NOUN	avis
.	PUNCT	.
«	PUNCT	"
Sire	NOUN	seignor
,	PUNCT	,
fait	VERB	faire
Keus	PROPN	keu
li	DET	le
seneschaux	NOUN	seneschal
,	PUNCT	,
se	PRON	se
vos	PRON	vos
asseez	NOUN	assez
ja	ADV	ja
au	ADP.DET	a.le
disner	VERB	dire
il	PRON	il
m'	PRON	je
est	VERB	estre
avis	NOUN	avis
que	SCONJ	que
vos	PRON	vos
enfraindroiz	NOUN	enfrendre
la	DET	le
costume	NOUN	costume
de	ADP	de
ceainz	ADJ	ceindre
,	PUNCT	,
car	CCONJ	car
nos	PRON	nos
avons	VERB	avoir
veu	VERB	voir
toz	DET	tot
jorz	NOUN	jor
que	SCONJ	que
vos	PRON	vos
a	ADP	a
haute	ADJ	haut
feste	NOUN	fête
n'	ADV	ne
asseiez	VERB	asseoir
a	ADP	a
table	NOUN	table
devant	ADP	devant
que	SCONJ	que
aucune	DET	aucun
aventure	NOUN	aventure
fust	VERB	estre
en	ADP	en
vostre	DET	vostre
cort	NOUN	cort
avenue	VERB	avenir
voiant	VERB	vëoir
toz	DET	tot
les	DET	le
barons	NOUN	baron
de	ADP	de
vostre	DET	vostre
ostel	NOUN	hôtel
.	PUNCT	.
-	PUNCT	-
Certes	ADV	certes
,	PUNCT	,
fet	VERB	faire
li	DET	le
rois	NOUN	roi
,	PUNCT	,
Keus	PROPN	keu
,	PUNCT	,
vos	PRON	vos
dites	VERB	dire
voir	ADJ	voir
,	PUNCT	,
ceste	DET	cest
costume	NOUN	costume
ai	VERB	avoir
je	PRON	je
toz	DET	tot
jorz	NOUN	jor
tenue	VERB	tenir
et	CCONJ	et
la	DET	le
tendrai	VERB	tendre
tant	ADV	tant
com	SCONJ	come
je	PRON	je
porrai	VERB	pöoir
,	PUNCT	,
mes	DET	mais
je	PRON	je
avoie	VERB	avoir
si	ADV	si
grant	ADJ	grant
joie	NOUN	joie
de	ADP	de
Lancelot	PROPN	lancelot
et	CCONJ	et
de	ADP	de
ses	DET	son
cousins	NOUN	coussin
qui	PRON	qui
estoient	VERB	estre
venu	VERB	venir
a	ADP	a
cort	NOUN	cort
sain	ADJ	sain
et	CCONJ	et
haitié	ADJ	haitier
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
me	PRON	je
sovenoit	VERB	sovenir
de	ADP	de
la	DET	le
costume	NOUN	costume
.	PUNCT	.
-	PUNCT	-
Or	ADV	or
vos	PRON	vos
en	ADP	en
souviegne	NOUN	souvenir
»	PUNCT	"
,	PUNCT	,
fet	VERB	faire
Keus	PROPN	keu
.	PUNCT	.
Endementres	ADV	endementre
qu'	SCONJ	que
il	PRON	il
parloient	VERB	parler
einsi	ADV	ainsi
si	ADV	si
entra	VERB	entrer
laienz	NOUN	laienz
uns	DET	un
vaslez	NOUN	vaslet
qui	PRON	qui
dist	VERB	dire
au	ADP.DET	a.le
roi	NOUN	roi
:	PUNCT	:
«	PUNCT	"
Sire	NOUN	seignor
noveles	NOUN	novele
vos	PRON	vos
aport	VERB	aporter
mout	ADV	mout
merveilleuses	ADJ	merveillos
.	PUNCT	.
-	PUNCT	-
Queles	ADJ	quel
?	PUNCT	?
fet	VERB	faire
li	DET	le
rois	NOUN	roi
.	PUNCT	.
Dites	VERB	dire
les	DET	le
moi	PRON	je
tost	DET	tost
.	PUNCT	.
-	PUNCT	-
Sire	NOUN	seignor
la	DET	le
aval	ADV	aval
desoz	ADP	desoz
vostre	DET	vostre
palés	NOUN	palais
a	ADP	a
.i.	DET	un
perron	NOUN	perron
grant	ADJ	grant
que	SCONJ	que
je	PRON	je
ai	VERB	avoir
veu	VERB	voir
floter	NOUN	floter
par	ADP	par
desus	ADV	dessus
l'	DET	le
eve	NOUN	aigue
.	PUNCT	.
Venez	VERB	venir
le	DET	le
veoir	VERB	vëoir
,	PUNCT	,
car	CCONJ	car
je	PRON	je
sai	VERB	savoir
bien	NOUN	bien
que	SCONJ	que
ce	PRON	ce
est	VERB	estre
aventure	NOUN	aventure
merveilleuse	ADJ	merveilleux
.	PUNCT	.
»	PUNCT	"
Et	CCONJ	et
li	DET	le
rois	NOUN	roi
descent	VERB	descendre
maintenant	ADV	maintenant
por	ADP	por
ceste	DET	cest
aventure	NOUN	aventure
veoir	VERB	vëoir
,	PUNCT	,
et	CCONJ	et
si	ADV	si
font	VERB	faire
tuit	DET	tot
li	DET	le
autre	ADJ	autre
,	PUNCT	,
et	CCONJ	et
quant	SCONJ	cant
il	PRON	il
sont	VERB	estre
venuz	VERB	venir
a	ADP	a
la	DET	le
rive	NOUN	rive
si	ADV	si
troevent	VERB	trover
le	DET	le
perron	NOUN	perron
qui	PRON	qui
estoit	VERB	estre
venuz	VERB	venir
a	ADP	a
rive	NOUN	rive
et	CCONJ	et
issuz	VERB	issir
hors	ADV	hors
de	ADP	de
l'	DET	le
eve	NOUN	aigue
,	PUNCT	,
et	CCONJ	et
estoit	VERB	estre
de	ADP	de
marbre	NOUN	marbre
vermeil	ADJ	vermeil
,	PUNCT	,
et	CCONJ	et
ou	CCONJ	ou
perron	NOUN	perron
estoit	VERB	estre
une	DET	un
espee	NOUN	espee
fichiee	VERB	fichier
qui	PRON	qui
mout	ADV	mout
estoit	VERB	estre
bele	ADJ	bel
et	CCONJ	et
riche	ADJ	riche
par	ADP	par
semblant	NOUN	semblant
,	PUNCT	,
et	CCONJ	et
en	ADP	en
estoit	VERB	estre
li	DET	le
ponz	NOUN	pont
d'	ADP	de
une	DET	un
pierre	NOUN	piere
precieuse	ADJ	precïos
ouvrez	VERB	ouvrir
a	ADP	a
letres	NOUN	letre
d'	ADP	de
or	NOUN	or
mout	ADV	mout
soutilment	ADV	soutiment
,	PUNCT	,
et	CCONJ	et
li	DET	le
baron	NOUN	baron
resgardoient	VERB	resgarder
les	DET	le
letres	NOUN	letre
qui	PRON	qui
disoient	VERB	dire
:	PUNCT	:
‘	PUNCT	en
Ja	ADV	ja
nus	DET	nul
ne	ADV	ne
m'	PRON	je
ostera	VERB	oster
de	ADP	de
ci	ADV	ci
se	PRON	se
cil	DET	cel
non	NOUN	nom
a	ADP	a
qui	PRON	qui
costé	NOUN	côté
je	PRON	je
pendrai	VERB	pendre
,	PUNCT	,
et	CCONJ	et
cil	DET	cel
sera	VERB	estre
li	DET	le
mieldres	ADJ	mieux
chevaliers	NOUN	chevalier
del	ADP.DET	de.le
monde	NOUN	monde
.	PUNCT	.
’	PUNCT	en
Et	CCONJ	et
quant	SCONJ	cant
li	DET	le
rois	NOUN	roi
voit	VERB	vëoir
ces	DET	ce
letres	NOUN	letre
si	ADV	si
dist	VERB	dire
a	ADP	a
Lancelot	PROPN	lancelot
:	PUNCT	:
«	PUNCT	"
Biau	ADJ	bel
sire	NOUN	seignor
ceste	DET	cest
espee	NOUN	espee
est	VERB	estre
vostre	DET	vostre
par	ADP	par
bon	ADJ	bon
droit	ADJ	droit
,	PUNCT	,
car	CCONJ	car
je	PRON	je
sai	VERB	savoir
bien	NOUN	bien
que	SCONJ	que
vos	PRON	vos
estes	VERB	estre
li	DET	le
mieldres	ADJ	mieux
chevaliers	NOUN	chevalier
dou	DET	de.le
monde	NOUN	monde
.	PUNCT	.
»	PUNCT	"
Et	CCONJ	et
il	PRON	il
respont	VERB	respondre
toz	DET	tot
corrouciez	VERB	corrocier
:	PUNCT	:
