Li	DET	le
primiers	NOUN	priierme
livres	NOUN	livre
des	ADP.DET	de.le
Reis	NOUN	roi
.	PUNCT	.
Uns	DET	un
bérs	NOUN	bers
fu	VERB	estre
ja	ADV	ja
en	ADP	en
l'	DET	le
antif	ADJ	entif
pople	NOUN	peuple
Deu	PROPN	dieu
é	VERB	avoir
out	VERB	avoir
num	DET	nom
Helcana	VERB	heler
.	PUNCT	.
Fiz	NOUN	fils
fud	VERB	deuf
Jeroboam	PROPN	jerabome
,	PUNCT	,
le	DET	le
fiz	NOUN	fils
Heliúd	PROPN	halin
,	PUNCT	,
le	DET	le
fiz	NOUN	fils
Thaü	PROPN	thahier
,	PUNCT	,
le	DET	le
fiz	NOUN	fils
Suf	NOUN	suf
;	PUNCT	;
é	VERB	avoir
fud	VERB	deuf
de	ADP	de
Effratá	PROPN	effrater
(	PUNCT	(
si	ADV	si
cum	SCONJ	comme
li	DET	le
alquant	ADV	alquant
entendent	VERB	entendre
:	PUNCT	:
de	ADP	de
la	DET	le
cite	NOUN	cite
ki	PRON	qui
puis	NOUN	puis
fud	VERB	deuf
apeléé	VERB	apeler
Bethléém	PROPN	betecheur
)	PUNCT	)
.	PUNCT	.
É	PUNCT	en
mest	VERB	metre
al	ADP.DET	à.le
munt	NOUN	mont
de	ADP	de
Effraïm	PROPN	effrëanc
en	ADP	en
une	DET	un
cite	NOUN	cite
ki	PRON	qui
fud	VERB	deuf
apeléé	VERB	apeler
Ramathaïm-Sophim	PROPN	rampeteur
,	PUNCT	,
ki	PRON	qui
puis	NOUN	puis
fud	VERB	deuf
apeléé	VERB	apeler
Arimathie	PROPN	armietement
,	PUNCT	,
dunt	PRON	dont
fud	VERB	deuf
li	DET	le
bonurez	VERB	bonner
Joseph	NOUN	jesser
,	PUNCT	,
ki	PRON	qui
le	DET	le
precius	ADJ	precieux
cors	NOUN	cors
Jesu-Crist	PROPN	jessurt
mist	VERB	metre
el	ADP.DET	en.le
sepulcre	NOUN	seplore
.	PUNCT	.
Cist	DET	cest
bers	NOUN	bers
Helchana	PROPN	hélhance
fud	VERB	deuf
del	ADP.DET	de.le
lignage	NOUN	lignage
as	VERB	a.le
ordenez	VERB	ordrende
Deu	PROPN	dieu
de	ADP	de
part	NOUN	part
pere	NOUN	père
é	VERB	avoir
de	ADP	de
lignage	NOUN	lignage
real	ADJ	roial
de	ADP	de
part	NOUN	part
mere	NOUN	mere
.	PUNCT	.
Muilliers	PROPN	muillier
out	VERB	avoir
dous	DET	doux
;	PUNCT	;
la	DET	le
plus	ADV	plus
noble	ADJ	noble
fud	VERB	deuf
claméé	VERB	clamer
Anna	PROPN	an
é	VERB	avoir
l'	DET	le
altre	ADJ	autre
Phenenna	VERB	peneance
.	PUNCT	.
Phenenna	VERB	peneance
out	VERB	avoir
enfanz	NOUN	enfant
plusurs	DET	plus
,	PUNCT	,
mais	NOUN	mais
Anna	PROPN	an
n'	ADV	ne
en	ADP	en
out	VERB	avoir
nul	DET	nul
.	PUNCT	.
Bien	NOUN	bien
lut	NOUN	luit
en	ADP	en
la	DET	le
vielz	ADJ	vieux
lei	NOUN	loi
que	SCONJ	que
li	DET	le
ordenez	VERB	ordrende
oüssent	VERB	auver
od	ADP	o
cumpáigne	NOUN	complain
cunversement	NOUN	covrir
.	PUNCT	.
Kar	CCONJ	car
des	ADP.DET	de.le
treze	ADJ	traire
lignees	NOUN	lignée
ki	PRON	qui
vindrent	VERB	venir
del	ADP.DET	de.le
patriarche	NOUN	patirer
Jacob	PROPN	jacques
,	PUNCT	,
Deu	PROPN	dieu
en	ADP	en
severad	VERB	sevoir
le	DET	le
lignáge	NOUN	lignage
Leví	ADJ	lever
é	VERB	avoir
eslist	VERB	eslire
é	VERB	avoir
retint	VERB	retenir
éspecialment	NOUN	éstrementement
a	ADP	a
sun	DET	son
servise	NOUN	servise
del	ADP.DET	de.le
tabernacle	NOUN	taineceble
ki	PRON	qui
