Le	DET	le
quadrilogue	NOUN	cardonel
invectif	NOUN	inclimeté
A	ADP	a
la	DET	le
treshaulte	NOUN	trahelle
et	CCONJ	et
excellente	ADJ	excellende
majesté	NOUN	majesté
des	ADP.DET	de.le
princes	NOUN	prince
,	PUNCT	,
à	ADP	à
la	DET	le
treshonnouree	NOUN	tresonhor
magnificence	NOUN	magnicienque
des	ADP.DET	de.le
nobles	NOUN	noble
,	PUNCT	,
circonspection	NOUN	cricalon
des	ADP.DET	de.le
clers	NOUN	cler
et	CCONJ	et
bonne	ADJ	bon
industrie	ADJ	industre
du	ADP.DET	de.le
peuple	NOUN	peuple
françois	NOUN	françois
,	PUNCT	,
Alain	PROPN	aleine
Charretier	PROPN	charretier
,	PUNCT	,
humble	ADJ	humble
secretaire	NOUN	secreter
du	ADP.DET	de.le
roy	NOUN	roi
nostre	DET	notre
sire	NOUN	seignor
et	CCONJ	et
de	ADP	de
mon	DET	mon
tresredoubté	VERB	restrauder
seigneur	NOUN	seigneur
monseigneur	NOUN	monseigneur
le	DET	le
regent	NOUN	restre
,	PUNCT	,
lointaing	NOUN	loinitan
immitateur	NOUN	iméttammetier
des	ADP.DET	de.le
orateurs	NOUN	orater
,	PUNCT	,
salut	VERB	salüer
en	ADP	en
crainte	NOUN	crainte
de	ADP	de
Dieu	PROPN	dieu
,	PUNCT	,
humiliacion	NOUN	humilion
soubz	NOUN	sous
sa	DET	son
justice	NOUN	justicier
,	PUNCT	,
cognoissance	NOUN	connaissance
de	ADP	de
ses	DET	son
jugemens	NOUN	jugement
et	CCONJ	et
retourner	VERB	retourner
a	ADP	a
sa	DET	son
misericorde	NOUN	miséricorde
soubz	NOUN	sous
la	DET	le
pointure	NOUN	pointure
de	ADP	de
sa	DET	son
punicion	NOUN	pointincon
.	PUNCT	.
Comme	SCONJ	comme
les	DET	le
haultes	ADJ	haut
dignitez	NOUN	dignité
des	ADP.DET	de.le
seigneuries	NOUN	seigneurie
soient	VERB	estre
establies	NOUN	establir
soubz	NOUN	sous
la	DET	le
divine	ADJ	divinir
et	CCONJ	et
infinie	NOUN	enside
puissance	NOUN	puissance
qui	PRON	qui
les	DET	le
eslieve	VERB	esliver
en	ADP	en
florissant	VERB	florir
,	PUNCT	,
en	ADP	en
prosperité	NOUN	prospérité
et	CCONJ	et
en	ADP	en
glorieuse	ADJ	glorieux
renommee	VERB	renommer
,	PUNCT	,
il	PRON	il
est	VERB	estre
a	ADP	a
croire	VERB	croire
et	CCONJ	et
tenir	VERB	tenir
fermement	NOUN	fermement
que	SCONJ	que
,	PUNCT	,
ainsi	ADV	ainsi
que	SCONJ	que
leurs	DET	leur
commencemens	NOUN	commencement
et	CCONJ	et
leurs	DET	leur
accroissances	NOUN	accroître
sont	VERB	estre
maintenues	ADJ	maintenir
et	CCONJ	et
adrecees	ADP	adrecer
par	ADP	par
la	DET	le
divine	ADJ	divinir
providence	NOUN	provendie
ainsi	ADV	ainsi
est	VERB	estre
leur	DET	leur
fin	NOUN	fin
et	CCONJ	et
leur	DET	leur
detriment	VERB	dermité
par	ADP	par
sentence	NOUN	sentence
donnee	VERB	donner
ou	CCONJ	ou
hault	ADJ	haut
conseil	NOUN	conseil
de	ADP	de
la	DET	le
souveraine	ADJ	souverain
sapience	NOUN	sapeince
,	PUNCT	,
qui	PRON	qui
les	DET	le
aucuns	DET	aucun
verse	NOUN	verser
du	ADP.DET	de.le
hault	ADJ	haut
trosne	NOUN	tronce
de	ADP	de
imperial	NOUN	impervelit
seigneurie	NOUN	seigneurie
en	ADP	en
la	DET	le
basse	ADJ	bas
fosse	NOUN	fosse
de	ADP	de
servitude	NOUN	serviteur
et	CCONJ	et
de	ADP	de
magnificence	NOUN	magnicienque
en	ADP	en
ruine	NOUN	rire
et	CCONJ	et
fait	VERB	faire
des	ADP.DET	de.le
vainqueurs	NOUN	veintre
vaincus	ADJ	veintre
et	CCONJ	et
ceulx	PRON	cil
obeir	VERB	ober
par	ADP	par
crainte	NOUN	crainte
qui	PRON	qui
commander	VERB	commander
souloient	VERB	soloir
par	ADP	par
autorité	NOUN	autretois
.	PUNCT	.
Mais	CCONJ	mais
quant	SCONJ	cant
doulce	ADJ	doux
misericorde	NOUN	miséricorde
entremeslee	VERB	entremetre
avecques	ADP	avec
droicturiere	ADJ	droiture
justice	NOUN	justicier
donne	VERB	donner
sur	ADP	sur
les	DET	le
princes	NOUN	prince
et	CCONJ	et
sur	ADP	sur
le	DET	le
peuple	NOUN	peuple
le	DET	le
decret	NOUN	dercef
de	ADP	de
plus	ADV	plus
attrempee	VERB	attemprer
punicion	NOUN	pointincon
,	PUNCT	,
l'	DET	le
orgueil	NOUN	orgueil
de	ADP	de
trop	ADV	trop
oultrecuidié	NOUN	outroidquerion
povoir	NOUN	pouvoir
qui	PRON	qui
se	PRON	se
descognoist	VERB	descondre
est	VERB	estre
rabaissié	VERB	rabaiser
par	ADP	par
puissance	NOUN	puissance
ennemie	NOUN	ennemi
,	PUNCT	,
la	DET	le
superfluité	NOUN	surfever-e-vent
des	ADP.DET	de.le
biens	NOUN	bien
mondains	ADJ	monde
,	PUNCT	,
qui	PRON	qui
est	VERB	estre
nourrice	NOUN	nourrir
de	ADP	de
sedicions	NOUN	seifonce
et	CCONJ	et
de	ADP	de
murmure	NOUN	murmure
,	PUNCT	,
est	VERB	estre
chastiee	NOUN	chastiier
par	ADP	par
sa	DET	son
mesmes	ADJ	même
nourreture	NOUN	nourriture
et	CCONJ	et
l'	DET	le
ingratitude	NOUN	ignatir
des	ADP.DET	de.le
dons	NOUN	donc
de	ADP	de
Dieu	PROPN	dieu
est	VERB	estre
punie	NOUN	pointe
sur	ADP	sur
les	DET	le
hommes	NOUN	homme
par	ADP	par
sustracion	NOUN	sustironchir
de	ADP	de
sa	DET	son
grace	NOUN	grace
que	SCONJ	que
aprés	ADP	après
bon	ADJ	bon
amendement	NOUN	amendement
et	CCONJ	et
loiale	NOUN	loyal
correction	NOUN	corrocition
a	ADP	a
renvoyé	VERB	renviver
et	CCONJ	et
redrecié	VERB	redrecier
les	DET	le
seigneuries	NOUN	seigneurie
et	CCONJ	et
les	DET	le
peuples	NOUN	peuple
en	ADP	en
parfaitte	NOUN	parfait
paix	NOUN	paix
et	CCONJ	et
restitucion	NOUN	réptition
de	ADP	de
leur	DET	leur
disposicion	NOUN	disposit
premiere	ADJ	premier
.	PUNCT	.
Ainsi	ADV	ainsi
divise	ADJ	divise
ses	DET	son
graces	NOUN	grace
merveilleusement	NOUN	merveillier
selon	ADJ	selon
la	DET	le
diversité	NOUN	diversité
des	ADP.DET	de.le
personnes	NOUN	personne
,	PUNCT	,
des	ADP.DET	de.le
lieux	NOUN	lieu
et	CCONJ	et
des	ADP.DET	de.le
temps	NOUN	temps
,	PUNCT	,
et	CCONJ	et
,	PUNCT	,
comme	SCONJ	comme
maistre	NOUN	maître
seigneur	NOUN	seigneur
,	PUNCT	,
mue	ADJ	müe
,	PUNCT	,
croist	VERB	croistre
et	CCONJ	et
amendrist	VERB	emperdui
,	PUNCT	,
fait	VERB	faire
et	CCONJ	et
deffait	VERB	defaire
en	ADP	en
ses	DET	son
oeuvres	NOUN	oeuvrer
selon	ADJ	selon
sa	DET	son
tresraisonnable	ADJ	tresanchir
voulenté	NOUN	volonté
que	SCONJ	que
nul	DET	nul
ne	ADV	ne
puet	VERB	pöoir
decevoir	VERB	decevoir
.	PUNCT	.
Encore	ADV	encore
,	PUNCT	,
selon	ADJ	selon
les	DET	le
drois	ADJ	droit
de	ADP	de
Nature	NOUN	nature
qui	PRON	qui
ont	VERB	avoir
leur	DET	leur
commencement	NOUN	commencement
en	ADP	en
la	DET	le
divine	ADJ	divinir
providence	NOUN	provendie
et	CCONJ	et
l'	DET	le
instrument	ADV	isnettrom
de	ADP	de
leur	DET	leur
ouvraige	NOUN	ouvrir
ou	CCONJ	ou
mouvement	ADV	mouvoir
,	PUNCT	,
en	ADP	en
la	DET	le
lumiere	NOUN	luminer
et	CCONJ	et
en	ADP	en
l'	DET	le
influence	NOUN	inflence
des	ADP.DET	de.le
corps	NOUN	corps
celestielz	NOUN	celet
,	PUNCT	,
nous	PRON	nous
demonstrent	VERB	dementre
les	DET	le
maistres	NOUN	maître
de	ADP	de
tresinestimable	NOUN	tresillemin
science	NOUN	science
d'	ADP	de
astrologie	VERB	astroler
que	SCONJ	que
ou	CCONJ	ou
livre	NOUN	livre
des	ADP.DET	de.le
cieulx	DET	cil
,	PUNCT	,
qui	PRON	qui
en	ADP	en
si	ADV	si
large	ADJ	large
volume	VERB	voulonge
est	VERB	estre
escript	VERB	écrire
de	ADP	de
tant	ADV	tant
diverses	ADJ	divers
empraintes	NOUN	emprendre
et	CCONJ	et
ymaiges	NOUN	imagies
,	PUNCT	,
se	PRON	se
peult	VERB	pouvoir
cognoistre	VERB	connaître
le	DET	le
cours	NOUN	cours
et	CCONJ	et
la	DET	le
duree	NOUN	durer
des	ADP.DET	de.le
seigneuries	NOUN	seigneurie
et	CCONJ	et
des	ADP.DET	de.le
citez	NOUN	cité
,	PUNCT	,
que	SCONJ	que
les	DET	le
naturiens	NOUN	nature
appellent	VERB	appeler
periode	NOUN	peroiier
,	PUNCT	,
et	CCONJ	et
que	SCONJ	que
elles	PRON	elle
ont	VERB	avoir
leurs	DET	leur
maladies	ADJ	maladie
et	CCONJ	et
leur	DET	leur
mort	NOUN	mort
comme	SCONJ	comme
les	DET	le
hommes	NOUN	homme
en	ADP	en
leur	DET	leur
endroit	NOUN	endroit
.	PUNCT	.
Ainsi	ADV	ainsi
cellui	DET	cil
qui	PRON	qui
puet	VERB	pöoir
tout	DET	tout
depart	NOUN	departir
et	CCONJ	et
retranche	VERB	retrancher
les	DET	le
puissances	NOUN	poissance
et	CCONJ	et
de	ADP	de
sa	DET	son
pardurable	ADJ	perdurable
eternité	NOUN	entreseindre
mue	ADJ	müe
les	DET	le
choses	NOUN	chose
qui	PRON	qui
soubz	NOUN	sous
le	DET	le
temps	NOUN	temps
decourent	VERB	decorcer
.	PUNCT	.
Et	CCONJ	et
lui	PRON	lui
,	PUNCT	,
qui	PRON	qui
est	VERB	estre
infiny	NOUN	insif
en	ADP	en
hault	ADJ	haut
povoir	NOUN	pouvoir
,	PUNCT	,
met	VERB	metre
commencement	NOUN	commencement
,	PUNCT	,
moyen	NOUN	moyen
,	PUNCT	,
et	CCONJ	et
fin	NOUN	fin
en	ADP	en
toutes	DET	tout
ses	DET	son
oevres	NOUN	ovrir
soubz	NOUN	sous
le	DET	le
mouvement	ADV	mouvoir
des	ADP.DET	de.le
cieulx	DET	cil
,	PUNCT	,
comme	SCONJ	comme
le	DET	le
potier	ADJ	potier
qui	PRON	qui
a	ADP	a
tour	DET	tour
de	ADP	de
sa	DET	son
roe	NOUN	roe
fait	VERB	faire
d'	ADP	de
une	DET	un
mesme	ADJ	même
masse	NOUN	masse
divers	ADJ	divers
pots	NOUN	pot
de	ADP	de
differentes	NOUN	differmette
façons	NOUN	façon
et	CCONJ	et
grandeurs	ADJ	grandise
,	PUNCT	,
et	CCONJ	et
les	DET	le
grans	ADJ	grand
decasse	NOUN	dececer
et	CCONJ	et
derompt	VERB	derompre
,	PUNCT	,
se	PRON	se
bien	NOUN	bien
ne	ADV	ne
lui	PRON	lui
plaisent	ADJ	plaire
,	PUNCT	,
pour	ADP	pour
en	ADP	en
faire	VERB	faire
des	ADP.DET	de.le
petiz	ADJ	petit
,	PUNCT	,
et	CCONJ	et
de	ADP	de
la	DET	le
matiere	NOUN	matiere
des	ADP.DET	de.le
mendres	ADJ	mendre
refait	VERB	refaire
il	PRON	il
les	DET	le
plus	ADV	plus
grans	ADJ	grand
.	PUNCT	.
Et	CCONJ	et
se	PRON	se
memoire	NOUN	memoire
vous	PRON	vous
puet	VERB	pöoir
aucune	DET	aucun
chose	NOUN	chose
ramentevoir	VERB	ramentevoir
et	CCONJ	et
les	DET	le
anciens	ADJ	ancien
livres	NOUN	livre
de	ADP	de
noz	DET	notre
peres	NOUN	père
apprendre	VERB	apprendre
à	ADP	à
cognoistre	VERB	connaître
