Carles	PROPN	charles
li	DET	le
reis	NOUN	roi
,	PUNCT	,
nostre	DET	notre
emperere	NOUN	emperëor
magnes	ADJ	mange
,	PUNCT	,
Set	DET	savoir
anz	NOUN	an
tuz	DET	tous
pleins	ADJ	plein
ad	VERB	avoir
estet	VERB	être
en	ADP	en
Espaigne	PROPN	espagne
:	PUNCT	:
Tresqu'	ADP	tresque
en	ADP	en
la	DET	le
mer	NOUN	mer
cunquist	VERB	conquérir
la	DET	le
tere	NOUN	terre
altaigne	VERB	alégnit
.	PUNCT	.
N'	ADV	ne
i	ADV	i
ad	VERB	avoir
castel	NOUN	château
ki	PRON	qui
devant	ADP	devant
lui	PRON	lui
remaigne	VERB	remanoir
;	PUNCT	;
Mur	NOUN	mur
ne	ADV	ne
citet	NOUN	cité
n'	ADV	ne
i	ADV	i
est	VERB	estre
remés	VERB	remanoir
a	ADP	a
fraindre	VERB	freindre
,	PUNCT	,
Fors	ADV	fors
Sarraguce	PROPN	saragosse
,	PUNCT	,
ki	PRON	qui
est	VERB	estre
en	ADP	en
une	DET	un
muntaigne	NOUN	montagne
.	PUNCT	.
Li	DET	le
reis	NOUN	roi
Marsilie	PROPN	marsile
la	DET	le
tient	VERB	tenir
,	PUNCT	,
ki	PRON	qui
Deu	PROPN	dieu
nen	NOUN	ne
aimet	VERB	aimer
.	PUNCT	.
Mahumet	PROPN	mahomet
sert	VERB	servir
e	CCONJ	et
Apollin	PROPN	apoler
recleimet	VERB	reclaiment
:	PUNCT	:
Nes	NOUN	nëis
poet	VERB	pöoir
guarder	VERB	garder
que	SCONJ	que
mals	NOUN	mal
ne	ADV	ne
l'	DET	le
i	ADV	i
ateignet	VERB	atteindre
.	PUNCT	.
AOI	INTJ	aoi
.	PUNCT	.
Li	DET	le
reis	NOUN	roi
Marsilie	PROPN	marsile
esteit	VERB	estre
en	ADP	en
Sarraguce	PROPN	saragosse
.	PUNCT	.
Alez	VERB	aler
en	ADP	en
est	VERB	estre
en	ADP	en
un	DET	un
verger	VERB	verger
suz	ADP	sous
l'	DET	le
umbre	NOUN	ombre
.	PUNCT	.
Sur	ADP	sur
un	DET	un
perrun	NOUN	perron
de	ADP	de
marbre	NOUN	marbre
bloi	ADJ	blois
se	PRON	se
culchet	VERB	cucher
;	PUNCT	;
Envirun	PROPN	environ
lui	PRON	lui
plus	ADV	plus
de	ADP	de
vint	VERB	venir
milie	DET	mille
humes	NOUN	homme
.	PUNCT	.
Il	PRON	il
en	ADP	en
apelet	VERB	appeler
e	CCONJ	et
ses	DET	son
dux	NOUN	duc
e	CCONJ	et
ses	DET	son
cuntes	NOUN	comte
:	PUNCT	:
«	PUNCT	"
Oez	VERB	ouïr
,	PUNCT	,
seignurs	NOUN	seigneur
,	PUNCT	,
quel	DET	quel
pecchet	NOUN	pechac
nus	DET	nul
encumbret	VERB	embormer
.	PUNCT	.
Li	DET	le
empereres	NOUN	emperëor
Carles	PROPN	charles
de	ADP	de
France	PROPN	france
dulce	ADJ	doux
En	ADP	en
cest	DET	cest
païs	NOUN	päis
nos	PRON	nos
est	VERB	estre
venuz	VERB	venir
cunfundre	VERB	confondre
.	PUNCT	.
Jo	PRON	je
nen	NOUN	ne
ai	VERB	avoir
ost	VERB	ost
qui	PRON	qui
bataille	NOUN	bataille
li	DET	le
dunne	PRON	donner
,	PUNCT	,
Ne	CCONJ	ne
n'	ADV	ne
ai	VERB	avoir
tel	DET	tel
gent	NOUN	gent
ki	PRON	qui
la	DET	le
sue	ADJ	suen
derumpet	VERB	dermompre
.	PUNCT	.
Conseilez	VERB	conseillier
mei	PRON	moi
cume	SCONJ	comme
mi	DET	moi
savie	VERB	savoir
hume	NOUN	homme
,	PUNCT	,
Si	ADV	si
me	PRON	je
guarisez	VERB	guarre
e	CCONJ	et
de	ADP	de
mort	NOUN	mort
e	CCONJ	et
de	ADP	de
hunte	NOUN	honte
!	PUNCT	!
»	PUNCT	"
N'	ADV	ne
i	ADV	i
ad	VERB	avoir
paien	NOUN	païen
ki	PRON	qui
un	DET	un
sul	DET	seul
mot	NOUN	mot
respundet	VERB	répondre
,	PUNCT	,
Fors	ADV	fors
Blancandrins	PROPN	blancandrin
de	ADP	de
Castel	NOUN	château
de	ADP	de
Valfunde	NOUN	vaudlet
.	PUNCT	.
Blancandrins	PROPN	blancandrin
fut	VERB	être
des	ADP.DET	de.le
plus	ADV	plus
saives	NOUN	savoir
paiens	NOUN	paine
;	PUNCT	;
De	ADP	de
vasselage	NOUN	vasselage
fut	VERB	être
asez	ADV	assez
chevaler	NOUN	chevaler
,	PUNCT	,
Prozdom	NOUN	proton
i	ADV	i
out	VERB	avoir
pur	ADP	pour
sun	DET	son
seignur	NOUN	seigneur
aider	VERB	aidier
,	PUNCT	,
E	CCONJ	et
dist	VERB	dire
al	ADP.DET	à.le
rei	NOUN	roi
:	PUNCT	:
«	PUNCT	"
Ore	NOUN	or
ne	ADV	ne
vus	PRON	vous
esmaiez	VERB	esmaiier
!	PUNCT	!
Mandez	PROPN	mander
Carlun	PROPN	carles
,	PUNCT	,
a	ADP	a
l'	DET	le
orguillus	ADJ	orgoillos
e	CCONJ	et
al	ADP.DET	à.le
fier	VERB	fïer
,	PUNCT	,
Fedeilz	PROPN	faire
servises	NOUN	servise
e	CCONJ	et
mult	ADV	moult
granz	ADJ	grant
amistez	NOUN	amitre
.	PUNCT	.
Vos	PRON	vos
li	DET	le
durrez	ADJ	durer
urs	NOUN	ur
e	CCONJ	et
leons	NOUN	loi
e	CCONJ	et
chens	NOUN	chen
,	PUNCT	,
Set	DET	savoir
cenz	DET	cent
camelz	NOUN	chameloi
e	CCONJ	et
mil	DET	mil
hosturs	NOUN	hôtrous
muers	NOUN	muer
,	PUNCT	,
D'	ADP	de
or	NOUN	or
e	CCONJ	et
d'	ADP	de
argent	NOUN	argent
.IIII.	DET	quatre
.C.	DET	cent
muls	NOUN	mul
cargez	VERB	charger
,	PUNCT	,
Cinquante	DET	cinquante
carre	NOUN	carre
qu'	SCONJ	que
en	ADP	en
ferat	VERB	faire
carïer	VERB	charre
:	PUNCT	:
Ben	ADJ	bien
en	ADP	en
purrat	VERB	pouvoir
luer	NOUN	leur
ses	DET	son
soldeiers	NOUN	soudoiier
.	PUNCT	.
En	ADP	en
ceste	DET	cest
tere	NOUN	terre
ad	VERB	avoir
asez	ADV	assez
osteiet	VERB	osteile
:	PUNCT	:
En	ADP	en
France	PROPN	france
,	PUNCT	,
ad	VERB	avoir
Ais	PROPN	aix
,	PUNCT	,
s'	DET	soi
en	ADP	en
deit	VERB	devoir
ben	ADJ	bien
repairer	VERB	repairier
.	PUNCT	.
Vos	PRON	vos
le	DET	le
sivrez	VERB	sivre
a	ADP	a
la	DET	le
feste	NOUN	fête
seint	ADJ	saint
Michel	PROPN	michel
,	PUNCT	,
Si	ADV	si
recevrez	VERB	recevoir
la	DET	le
lei	NOUN	loi
de	ADP	de
chrestïens	NOUN	chrétien
,	PUNCT	,
Serez	PROPN	être
ses	DET	son
hom	NOUN	ome
par	ADP	par
honur	NOUN	honneur
e	CCONJ	et
par	ADP	par
ben	ADJ	bien
.	PUNCT	.
S'	DET	se
en	ADP	en
volt	VERB	voloir
ostages	NOUN	otage
,	PUNCT	,
e	CCONJ	et
vos	PRON	vos
l'	DET	le
en	ADP	en
enveiez	VERB	envoiier
,	PUNCT	,
U	DET	ou
dis	VERB	dire
u	CCONJ	ou
vint	VERB	venir
,	PUNCT	,
pur	ADP	pour
lui	PRON	lui
afïancer	VERB	afiencer
.	PUNCT	.
Enveiuns	PROPN	envenir
i	ADV	i
les	DET	le
filz	NOUN	fil
de	ADP	de
noz	DET	notre
muillers	NOUN	mulier
;	PUNCT	;
Par	ADP	par
num	DET	nom
d'	ADP	de
ocire	VERB	occire
i	ADV	i
enveierai	VERB	envoyer
le	DET	le
men	DET	mon
.	PUNCT	.
Asez	ADV	assez
est	VERB	estre
melz	NOUN	metre
qu'	SCONJ	que
il	PRON	il
i	ADV	i
perdent	VERB	perdre
lé	NOUN	lé
chefs	NOUN	chef
,	PUNCT	,
Que	CCONJ	que
nus	DET	nul
perduns	NOUN	perdre
l'	DET	le
onur	NOUN	onor
ne	ADV	ne
la	DET	le
deintet	NOUN	deinter
,	PUNCT	,
Ne	CCONJ	ne
nus	DET	nul
seiuns	VERB	être
cunduiz	VERB	conduire
a	ADP	a
mendeier	VERB	mander
!	PUNCT	!
»	PUNCT	"
AOI	INTJ	aoi
.	PUNCT	.
Dist	VERB	dire
Blancandrins	PROPN	blancandrin
:	PUNCT	:
«	PUNCT	"
Pa	ADP	pai
ceste	DET	cest
meie	ADJ	mien
destre	ADJ	destre
E	CCONJ	et
par	ADP	par
la	DET	le
barbe	NOUN	barbe
ki	PRON	qui
al	ADP.DET	à.le
piz	NOUN	piz
me	PRON	je
ventelet	NOUN	ventele
,	PUNCT	,
L'	DET	le
ost	VERB	ost
des	ADP.DET	de.le
Franceis	PROPN	français
verrez	VERB	voir
sempres	NOUN	sempre
desfere	NOUN	desferre
.	PUNCT	.
Francs	PROPN	franc
s'	DET	soi
en	ADP	en
irunt	VERB	aller
en	ADP	en
France	PROPN	france
,	PUNCT	,
la	DET	le
lur	DET	leur
tere	NOUN	terre
.	PUNCT	.
Quant	SCONJ	cant
cascuns	DET	chascun
ert	VERB	estre
a	ADP	a
sun	DET	son
meillor	ADJ	meillor
repaire	VERB	repairier
,	PUNCT	,
Carles	PROPN	charles
serat	VERB	être
ad	VERB	avoir
Ais	PROPN	aix
,	PUNCT	,
a	ADP	a
sa	DET	son
capele	NOUN	capele
,	PUNCT	,
A	ADP	a
seint	ADJ	saint
Michel	PROPN	michel
tendrat	NOUN	tenir
mult	ADV	moult
halte	ADJ	haut
feste	NOUN	fête
.	PUNCT	.
Vendrat	VERB	venir
li	DET	le
jurz	NOUN	jour
,	PUNCT	,
si	ADV	si
passerat	VERB	passer
li	DET	le
termes	NOUN	terme
,	PUNCT	,
N'	ADV	ne
orrat	VERB	orai
de	ADP	de
nos	PRON	nos
paroles	NOUN	parole
ne	ADV	ne
nuveles	NOUN	nouvelle
.	PUNCT	.
Li	DET	le
reis	NOUN	roi
est	VERB	estre
fiers	ADJ	fier
e	CCONJ	et
sis	DET	son
curages	NOUN	courage
pesmes	NOUN	pesme
:	PUNCT	:
De	ADP	de
noz	DET	notre
ostages	NOUN	otage
ferat	VERB	faire
trecher	VERB	trecher
les	DET	le
testes	NOUN	teste
.	PUNCT	.
Asez	ADV	assez
est	VERB	estre
mielz	ADV	mieux
qu'	SCONJ	que
il	PRON	il
i	ADV	i
perdent	VERB	perdre
les	DET	le
testes	NOUN	teste
,	PUNCT	,
Que	CCONJ	que
nus	DET	nul
perduns	NOUN	perdre
clere	ADJ	clair
Espaigne	PROPN	espagne
,	PUNCT	,
la	DET	le
bele	ADJ	bel
,	PUNCT	,
Ne	CCONJ	ne
nus	DET	nul
aiuns	NOUN	ainc
les	DET	le
mals	NOUN	mal
ne	ADV	ne
les	DET	le
suffraites	NOUN	souffrir
!	PUNCT	!
»	PUNCT	"
Dient	VERB	dire
paien	NOUN	païen
:	PUNCT	:
«	PUNCT	"
Issi	VERB	issi
poet	VERB	pöoir
il	PRON	il
ben	ADJ	bien
estre	VERB	estre
!	PUNCT	!
»	PUNCT	"
Li	DET	le
reis	NOUN	roi
Marsilie	PROPN	marsile
out	VERB	avoir
sun	DET	son
cunseill	NOUN	conseil
finet	VERB	finer
,	PUNCT	,
Sin	ADJ	sin
apelat	VERB	appeler
Clarin	PROPN	clarin
de	ADP	de
Balaguet	PROPN	balaguer
,	PUNCT	,
Estamarin	PROPN	estamarin
e	CCONJ	et
Eudropin	PROPN	eudrois
,	PUNCT	,
sun	DET	son
per	NOUN	per
,	PUNCT	,
E	CCONJ	et
Priamun	PROPN	priiemmon
e	CCONJ	et
Guarlan	PROPN	garle-gle
le	DET	le
barbet	NOUN	barber
E	CCONJ	et
Machiner	PROPN	machiner
e	CCONJ	et
sun	DET	son
uncle	NOUN	oncle
,	PUNCT	,
Maheu	PROPN	maheu
,	PUNCT	,
E	CCONJ	et
Joüner	VERB	jouvent
e	CCONJ	et
Malbien	PROPN	malin
d'	ADP	de
ultre	ADV	outre
mer	NOUN	mer
,	PUNCT	,
E	CCONJ	et
Blancandrins	PROPN	blancandrin
,	PUNCT	,
por	ADP	por
la	DET	le
raisun	NOUN	raison
cunter	VERB	conter
.	PUNCT	.
Des	ADP.DET	de.le
plus	ADV	plus
feluns	NOUN	felon
dis	VERB	dire
en	ADP	en
ad	VERB	avoir
apelez	VERB	apeler
:	PUNCT	:
