LE	DET	le
ROUMANZ	PROPN	romand
DE	ADP	de
LA	DET	le
ROSE	NOUN	rose
Mes	CCONJ	mais
quant	SCONJ	cant
l'	DET	le
en	ADP	en
a	ADP	a
la	DET	le
chose	NOUN	chose
aquise	VERB	acquérir
,	PUNCT	,
si	ADV	si
recovient	VERB	recover
il	PRON	il
grant	ADJ	grant
mestrise	NOUN	mastir
au	ADP.DET	a.le
bien	NOUN	bien
garder	VERB	garder
et	CCONJ	et
sagement	NOUN	sagement
,	PUNCT	,
qui	PRON	qui
joïr	VERB	jöir
en	ADP	en
veut	VERB	vouloir
longuement	ADV	longuement
;	PUNCT	;
car	CCONJ	car
la	DET	le
vertu	NOUN	vertu
n'	ADV	ne
est	VERB	estre
mie	ADV	mie
mendre	VERB	mener
de	ADP	de
bien	NOUN	bien
garder	VERB	garder
et	CCONJ	et
de	ADP	de
deffendre	VERB	défendre
les	DET	le
choses	NOUN	chose
,	PUNCT	,
quant	SCONJ	cant
eus	PRON	au
sunt	VERB	être
aquises	VERB	acquérir
,	PUNCT	,
que	SCONJ	que
d'	ADP	de
eus	PRON	au
aquerre	VERB	aquerre
en	ADP	en
quelque	DET	quelque
guises	NOUN	guise
;	PUNCT	;
s'	DET	soi
est	VERB	estre
bien	NOUN	bien
droiz	ADJ	droit
que	SCONJ	que
chetif	ADJ	chaitif
se	PRON	se
claime	ADJ	clamer
vallez	NOUN	valet
,	PUNCT	,
quant	SCONJ	cant
il	PRON	il
pert	VERB	perdre
ce	PRON	ce
qu'	SCONJ	que
il	PRON	il
aime	NOUN	aimer
,	PUNCT	,
por	ADP	por
quoi	PRON	coi
ce	PRON	ce
soit	VERB	estre
par	ADP	par
sa	DET	son
defaute	ADJ	défaute
,	PUNCT	,
car	CCONJ	car
mout	ADV	mout
est	VERB	estre
digne	ADJ	digne
chose	NOUN	chose
et	CCONJ	et
haute	ADJ	haut
de	ADP	de
bien	NOUN	bien
savoir	VERB	savoir
garder	VERB	garder
s'	DET	soi
amie	NOUN	ami
si	ADV	si
que	SCONJ	que
l'	DET	le
en	ADP	en
ne	ADV	ne
la	DET	le
perde	NOUN	perdre
mie	ADV	mie
,	PUNCT	,
meesmement	ADV	mêmement
quant	SCONJ	cant
Dex	PROPN	dieu
la	DET	le
done	VERB	doner
sage	ADJ	sage
,	PUNCT	,
simple	ADJ	simple
,	PUNCT	,
cortoise	ADJ	cortois
et	CCONJ	et
bone	ADJ	bon
,	PUNCT	,
qui	PRON	qui
s'	DET	soi
amor	NOUN	amor
doint	VERB	doner
et	CCONJ	et
point	NOUN	point
n'	ADV	ne
en	ADP	en
vande	VERB	vendre
;	PUNCT	;
car	CCONJ	car
onques	ADV	onque
amor	NOUN	amor
marchaande	NOUN	marchandie
ne	ADV	ne
fu	VERB	estre
par	ADP	par
fame	NOUN	feme
controvee	VERB	contrevoire
,	PUNCT	,
fors	ADV	fors
par	ADP	par
ribaudie	NOUN	ribaudic
provee	VERB	prover
;	PUNCT	;
n'	ADV	ne
il	PRON	il
n'	ADV	ne
i	ADV	i
a	ADP	a
point	NOUN	point
d'	ADP	de
amor	NOUN	amor
,	PUNCT	,
sanz	ADP	sans
faille	NOUN	faille
,	PUNCT	,
en	ADP	en
fame	NOUN	feme
qui	PRON	qui
por	ADP	por
don	PRON	dont
se	PRON	se
baille	NOUN	bailler
:	PUNCT	:
tele	DET	tel
amor	NOUN	amor
fainte	VERB	feindre
mau	NOUN	mal
feus	NOUN	feu
l'	DET	le
arde	VERB	ardre
,	PUNCT	,
la	DET	le
ne	ADV	ne
doit	VERB	devoir
l'	DET	le
en	ADP	en
pas	NOUN	pas
metre	VERB	metre
garde	NOUN	garde
!	PUNCT	!
Si	ADV	si
sunt	VERB	être
eles	PRON	il
voir	ADJ	voir
pres	ADV	près
que	SCONJ	que
toutes	DET	tout
covoiteuses	NOUN	covoitiers
de	ADP	de
prendre	VERB	prendre
,	PUNCT	,
et	CCONJ	et
gloutes	ADJ	gloire
de	ADP	de
ravir	VERB	ravir
et	CCONJ	et
de	ADP	de
devorer	VERB	devoir
,	PUNCT	,
si	ADV	si
qu'	SCONJ	que
il	PRON	il
ne	ADV	ne
puist	VERB	pöoir
riens	NOUN	rien
demorer	VERB	demorer
a	ADP	a
ceus	DET	ceu
qui	PRON	qui
plus	ADV	plus
por	ADP	por
leur	DET	leur
se	PRON	se
claiment	VERB	clamer
et	CCONJ	et
qui	PRON	qui
plus	ADV	plus
leaument	ADV	lëaument
les	DET	le
aiment	VERB	aimer
;	PUNCT	;
car	CCONJ	car
Juvenaus	PROPN	juvenue
si	ADV	si
nous	PRON	nous
raconte	NOUN	raconter
,	PUNCT	,
qui	PRON	qui
d'	ADP	de
Hiberine	PROPN	bicherin
tient	VERB	tenir
son	DET	son
conte	NOUN	comte
,	PUNCT	,
que	SCONJ	que
mieuz	ADV	mieuz
vosist	VERB	voloir
un	DET	un
des	ADP.DET	de.le
euz	VERB	avoir
perdre	VERB	perdre
que	SCONJ	que
soi	PRON	soi
a	ADP	a
un	DET	un
seul	ADJ	sol
home	NOUN	ome
aherdre	VERB	aerdre
,	PUNCT	,
car	CCONJ	car
nus	DET	nul
seus	ADJ	sol
n'	ADV	ne
i	ADV	i
peüst	VERB	pauvoir
soffire	VERB	soffir
,	PUNCT	,
tant	ADV	tant
estoit	VERB	estre
de	ADP	de
chaude	NOUN	chaut
matire	NOUN	matir
;	PUNCT	;
que	SCONJ	que
ja	ADV	ja
fame	NOUN	feme
n'	ADV	ne
iert	VERB	estre
tant	ADV	tant
ardanz	ADJ	ardre
ne	ADV	ne
ses	DET	son
amors	NOUN	amor
si	ADV	si
bien	NOUN	bien
gardanz	NOUN	garder
que	SCONJ	que
de	ADP	de
son	DET	son
chier	ADJ	chier
ami	NOUN	ami
ne	ADV	ne
veille	VERB	veillier
et	CCONJ	et
les	DET	le
tormenz	NOUN	torment
et	CCONJ	et
la	DET	le
despueille	NOUN	despeler
.	PUNCT	.
Or	ADV	or
vez	VERB	vëoir
que	SCONJ	que
les	DET	le
autres	PRON	autre
feroient	VERB	faire
,	PUNCT	,
qui	PRON	qui
por	ADP	por
dons	NOUN	donc
aus	PRON	il
homes	NOUN	ome
s'	DET	soi
otroient	VERB	otroiier
;	PUNCT	;
ne	ADV	ne
nule	DET	nul
n'	ADV	ne
en	ADP	en
peut	VERB	pouvoir
l'	DET	le
en	ADP	en
trover	VERB	trover
qui	PRON	qui
ne	ADV	ne
se	PRON	se
veille	VERB	veillier
ainsinc	ADJ	ainsi
prover	VERB	prover
,	PUNCT	,
tant	ADV	tant
ait	VERB	avoir
home	NOUN	ome
en	ADP	en
subjection	NOUN	sujette
:	PUNCT	:
toutes	DET	tout
ont	VERB	avoir
ceste	DET	cest
entencion	NOUN	entention
.	PUNCT	.
Vez	VERB	vëoir
ci	ADV	ci
la	DET	le
regle	NOUN	regle
qu'	SCONJ	que
il	PRON	il
en	ADP	en
baille	NOUN	bailler
;	PUNCT	;
