Por	PRE	pour
conforter	VERB	conforter
ma	DET	mon
pesance	NOUN	pesance
Faz	NOUN	faire
un	DET	un
son	DET	son
.	PUNCT	.
Bons	ADJ	bon
ert	VERB	estre
,	PUNCT	,
se	PRON	se
il	PRON	il
m'	PRON	je
en	ADP	en
avance	NOUN	avancier
,	PUNCT	,
Car	CCONJ	car
Jason	PROPN	jasser
,	PUNCT	,
Cil	DET	cel
qui	PRON	qui
conquist	VERB	conquérir
la	DET	le
toison	NOUN	toison
,	PUNCT	,
N'	ADV	ne
ot	VERB	avoir
pas	NOUN	pas
si	ADV	si
grief	ADJ	grief
penitance	NOUN	penitence
.	PUNCT	.
E	CCONJ	et
!	PUNCT	!
é	VERB	avoir
!	PUNCT	!
é	VERB	avoir
!	PUNCT	!
Je	PRON	je
meïsmes	ADJ	mëisme
a	ADP	a
moi	PRON	je
tence	NOUN	tence
,	PUNCT	,
Car	CCONJ	car
reson	NOUN	reson
Me	PRON	je
dit	VERB	dire
que	SCONJ	que
je	PRON	je
faz	VERB	faire
enfance	NOUN	enfance
,	PUNCT	,
Quant	SCONJ	cant
prison	NOUN	prison
Tieng	PROPN	tenir
ou	CCONJ	ou
ne	ADV	ne
vaut	VERB	valoir
raençon	NOUN	rançon
;	PUNCT	;
Si	ADV	si
ai	VERB	avoir
mestier	NOUN	mestier
d'	ADP	de
alejance	NOUN	alegande
.	PUNCT	.
E	CCONJ	et
!	PUNCT	!
é	VERB	avoir
!	PUNCT	!
é	VERB	avoir
!	PUNCT	!
Ma	DET	mon
dame	NOUN	dame
a	ADP	a
tel	DET	tel
conoissance	NOUN	conoistre
Et	CCONJ	et
tel	DET	tel
renon	NOUN	renom
Que	CCONJ	que
g'	PRON	je
i	ADV	i
ai	VERB	avoir
mis	VERB	metre
ma	DET	mon
fiance	NOUN	fïance
Jusqu'	ADP	jusque
en	ADP	en
son	DET	son
.	PUNCT	.
Meus	NOUN	meut
aim	VERB	aimer
que	SCONJ	que
d'	ADP	de
autre	ADJ	autre
amor	NOUN	amor
don	PRON	dont
Un	DET	un
regart	NOUN	regart
,	PUNCT	,
quant	SCONJ	cant
le	DET	le
me	PRON	je
lance	NOUN	lance
.	PUNCT	.
E	CCONJ	et
!	PUNCT	!
é	VERB	avoir
!	PUNCT	!
é	VERB	avoir
!	PUNCT	!
Melz	NOUN	metre
aim	VERB	aimer
de	ADP	de
li	DET	le
l'	DET	le
acointance	NOUN	acointance
Et	CCONJ	et
le	DET	le
douz	ADJ	douz
non	NOUN	nom
Que	CCONJ	que
le	DET	le
roiaume	NOUN	royaume
de	ADP	de
France	PROPN	france
.	PUNCT	.
Mort	PROPN	mort
Mahon	PROPN	mahon
!	PUNCT	!
Qui	PRON	qui
d'	ADP	de
amer	VERB	amer
qiert	VERB	cerdre
acheson	NOUN	achesson
Por	ADP	por
esmai	NOUN	esmai
ne	ADV	ne
pour	ADP	pour
dotance	NOUN	dotance
!	PUNCT	!
E	CCONJ	et
!	PUNCT	!
é	VERB	avoir
!	PUNCT	!
é	VERB	avoir
!	PUNCT	!
Bien	NOUN	bien
ai	VERB	avoir
en	ADP	en
moi	PRON	je
remenbrance	NOUN	remembrer
A	ADP	a
conpaignon	NOUN	compagnon
;	PUNCT	;
Touz	DET	tout
jorz	NOUN	jor
remir	VERB	remirer
sa	DET	son
senblance	NOUN	semblance
Et	CCONJ	et
sa	DET	son
façon	NOUN	façon
.	PUNCT	.
Aiez	VERB	avoir
,	PUNCT	,
Amors	NOUN	amor
,	PUNCT	,
guerredon	NOUN	guerredon
!	PUNCT	!
Ne	CCONJ	ne
sosfrez	VERB	sofrir
ma	DET	mon
mescheance	NOUN	meschëonce
!	PUNCT	!
E	CCONJ	et
!	PUNCT	!
é	VERB	avoir
!	PUNCT	!
é	VERB	avoir
!	PUNCT	!
Dame	NOUN	dame
,	PUNCT	,
j'	PRON	je
ai	VERB	avoir
entencion	NOUN	entention
Que	CCONJ	que
vos	PRON	vos
avroiz	VERB	avoir
conoissance	NOUN	conoistre
.	PUNCT	.
E	CCONJ	et
!	PUNCT	!
é	VERB	avoir
!	PUNCT	!
é	VERB	avoir
!	PUNCT	!
De	ADP	de
touz	DET	tout
maus	NOUN	mal
n'	ADV	ne
est	VERB	estre
nus	DET	nul
plesanz	ADJ	plaisan
Fors	ADV	fors
seulement	ADV	seulement
cil	DET	cel
d'	ADP	de
amer	VERB	amer
,	PUNCT	,
Mès	CCONJ	mais
cil	DET	cel
est	VERB	estre
douz	ADJ	douz
et	CCONJ	et
poignanz	VERB	poindre
Et	CCONJ	et
deliteus	ADJ	delitier
a	ADP	a
penser	VERB	penser
Et	CCONJ	et
tant	ADV	tant
set	VERB	savoir
biau	ADJ	bel
conforter	VERB	conforter
,	PUNCT	,
Et	CCONJ	et
de	ADP	de
granz	ADJ	grant
biens	NOUN	bien
i	ADV	i
a	ADP	a
tanz	DET	tant
Que	CCONJ	que
nus	DET	nul
ne	ADV	ne
s'	DET	soi
en	ADP	en
doit	VERB	devoir
oster	VERB	oster
.	PUNCT	.
Fins	NOUN	fin
amis	NOUN	ami
obedianz	NOUN	obédier
,	PUNCT	,
Vueil	NOUN	vouloir
a	ADP	a
ma	DET	mon
dame	NOUN	dame
encliner	VERB	encliner
.	PUNCT	.
Je	PRON	je
ne	ADV	ne
puis	NOUN	puis
estre	VERB	estre
dolanz	ADJ	dolent
,	PUNCT	,
Quant	SCONJ	cant
je	PRON	je
oi	VERB	avoir
de	ADP	de
li	DET	le
parler	VERB	parler
;	PUNCT	;
Tant	ADV	tant
me	PRON	je
plest	NOUN	plaire
a	ADP	a
remenbrer	VERB	remembrer
,	PUNCT	,
Que	CCONJ	que
de	ADP	de
touz	DET	tout
maus	NOUN	mal
m'	PRON	je
est	VERB	estre
garanz	NOUN	garant
Sa	DET	son
biauté	NOUN	biauté
a	ADP	a
recorder	VERB	recorder
.	PUNCT	.
Amors	NOUN	amor
,	PUNCT	,
quant	SCONJ	cant
vous	PRON	vous
m'	PRON	je
avez	VERB	avoir
mis	VERB	metre
Lïé	ADJ	lié
en	ADP	en
vostre	DET	vostre
prison	NOUN	prison
,	PUNCT	,
Melz	NOUN	metre
ameroie	VERB	amer
estre	VERB	estre
ocis	VERB	ocire
Que	CCONJ	que
g'	PRON	je
eüsse	VERB	avoir
raençon	NOUN	rançon
.	PUNCT	.
Tels	DET	tel
maus	NOUN	mal
est	VERB	estre
bien	NOUN	bien
sanz	ADP	sans
reson	NOUN	reson
Qui	PRON	qui
me	PRON	je
plest	NOUN	plaire
,	PUNCT	,
quant	SCONJ	cant
me	PRON	je
fet	VERB	faire
pis	ADV	pis
,	PUNCT	,
Ne	CCONJ	ne
ja	ADV	ja
n'	ADV	ne
en	ADP	en
qier	NOUN	querre
garison	NOUN	garison
.	PUNCT	.
Quanque	PRON	cantque
il	PRON	il
vous	PRON	vous
est	VERB	estre
a	ADP	a
vis	NOUN	vis
,	PUNCT	,
Dame	NOUN	dame
,	PUNCT	,
me	PRON	je
senble	NOUN	sembler
reson	NOUN	reson
;	PUNCT	;
Si	ADV	si
m'	PRON	je
a	ADP	a
vostre	DET	vostre
amor	NOUN	amor
sorpris	VERB	sorprendre
Et	CCONJ	et
vostre	DET	vostre
plesant	ADJ	plaire
façon	NOUN	façon
,	PUNCT	,
Et	CCONJ	et
biautez	NOUN	biauté
a	ADP	a
tel	DET	tel
foison	NOUN	foison
Qui	PRON	qui
resplent	VERB	réplendre
en	ADP	en
vostre	DET	vostre
vis	NOUN	vis
Et	CCONJ	et
dès	ADP	dès
les	DET	le
piez	NOUN	pié
jusqu'	ADP	jusque
en	ADP	en
son	DET	son
.	PUNCT	.
Se	SCONJ	se
de	ADP	de
vos	PRON	vos
peüsse	VERB	peser
avoir	VERB	avoir
,	PUNCT	,
Dame	NOUN	dame
,	PUNCT	,
un	DET	un
pou	ADV	peu
plus	ADV	plus
biau	ADJ	bel
senblant	NOUN	semblant
,	PUNCT	,
Je	PRON	je
ne	ADV	ne
