form	upos	lemma
aagee	NOUN	ëage
aagez	VERB	age
aagie	NOUN	again
aagiés	VERB	agaise
aaige	NOUN	age
aaisemens	NOUN	aaimier
aaisiers	NOUN	aaisier
aaisse	NOUN	aaise
aaroient	VERB	aarevi
aasiéz	VERB	aasser
aaste	PROPN	asset
aatisoit	VERB	aatiser
abacuth	PROPN	abcauc
abaësse	NOUN	abaise
abailarz	PROPN	abelir
abáissád	VERB	abbésir
abaissed	VERB	abaissier
abaissee	VERB	abaissier
abaissiés	VERB	abaissier
abandonna	VERB	abandoner
abandonnassent	VERB	abandoner
abandonnast	VERB	abandoner
abandonnastes	NOUN	abandoner
abandonne	VERB	abandoner
abandonnée	PROPN	abandoner
abandonnée	VERB	abandoner
abandonnéement	NOUN	abandoner
abandonner	VERB	abandonner
abandonnerent	VERB	abandoner
abandonneroit	VERB	abandoner
abandonnés	VERB	abandoner
abandonnez	PROPN	abandoner
abandonnez	VERB	abandoner
abandonnéz	VERB	abandoner
abandunad	VERB	abandonner
abandune	VERB	abandoner
abandunent	VERB	abandonner
abandunet	VERB	abandonner
abanz	NOUN	abant
abaptre	NOUN	abatre
abaterái	VERB	abatre
abaterúnt	VERB	abatre
abatid	VERB	abatre
abatíd	VERB	abatre
abatied	VERB	abatre
abatier	VERB	abatre
abatiet	VERB	abatre
abatírent	VERB	abatre
abatit	VERB	abatre
ábatre	VERB	batre
abatreit	VERB	abatre
abattre	VERB	abatre
abatud	VERB	abatre
abatúz	NOUN	abatre
abaty	VERB	abatre
abaubiz	VERB	abbauc
abbacuc	X	habaccui
abbaësse	NOUN	abbée
abbaie	PROPN	abbaye
abbaïe	NOUN	abbaye
abbaïes	NOUN	abbaye
abbaissement	NOUN	abbéser
abbatus	NOUN	abbast
abbay	NOUN	abbaye
abbaye	NOUN	abbaye
abbayé	VERB	abbaye
abbayes	NOUN	abbaye
abbayez	VERB	abbaye
abbé	NOUN	abbé
abbees	NOUN	abbé
abbeesse	NOUN	abbée
abbeïe	NOUN	abbé
abbeis	PROPN	abbé
abbés	NOUN	abbé
abbesse	NOUN	abbé
abbesses	NOUN	abbé
abbeville	NOUN	abbeville
abbey	NOUN	abbé
abbeÿe	NOUN	abbé
abbez	NOUN	abbé
abbit	NOUN	abbir
abbregier	VERB	abbrage
abbye	NOUN	abbé
abecé	NOUN	abecher
abeiesse	NOUN	abaissier
abeissa	VERB	abaissier
abeisse	VERB	abaissier
abeit	NOUN	abbé
abél	PROPN	abel
ábelá	ADJ	beau
abelli	VERB	abelir
abelmacha	VERB	abemalir
abelmeülá	PROPN	abembler
aberconewey	PROPN	abercher
abesser	VERB	abesser
abessoit	VERB	abassir
abestira	VERB	abestrier
abestist	VERB	abastir
abestiz	NOUN	abastier
abeuvrer	VERB	abevrer
abeville	PROPN	abelir
abevrot	NOUN	abevrer
abeye	NOUN	abbé
abéye	NOUN	abbéei
abeÿe	NOUN	abbée
abéz	NOUN	abét
abhominable	NOUN	abambarie
abiá	NOUN	abi
abialbon	PROPN	abaillier
abiates	PROPN	abbiéer
abiathár	PROPN	abatre
abillee	VERB	ablier
abillees	VERB	ablier
abillemens	NOUN	ablemier
abisá	NOUN	abiser
abiság	PROPN	abiser
abisaï	PROPN	abaisier
abitation	NOUN	abtitaire
abiteür	NOUN	abiture
abiteürs	NOUN	abétre
abituees	NOUN	abbétier
abituez	NOUN	abituer
aboier	NOUN	aboir
abominatiuns	NOUN	abomaindre
abomynable	NOUN	abombamande
abór	PROPN	abre
abosmés	NOUN	abosmer
abrahant	PROPN	abrahant
abre	NOUN	abre
abrégent	NOUN	arbéte
abrégier	VERB	abregier
abregoit	VERB	abreger
abreuve	NOUN	abreuver
abreviacion	NOUN	abrevais
abréviacion	NOUN	abrachier
abrevoir	VERB	abrevard
abruver	VERB	abrure
absallont	PROPN	abastaller
absalón	PROPN	abassagle
abscence	NOUN	accessember
abscisiun	NOUN	absisquist
absconséz	VERB	accoser
absenciam	NOUN	absenchier
absoille	NOUN	abaslir
absoloit	VERB	abostier
absols	NOUN	ablos
absolut	PROPN	abostu
absoubdre	VERB	abobsdre
absouldre	VERB	abobrder
absque	NOUN	absque
abstient	VERB	abstier
abunde	NOUN	abondre
abundement	NOUN	adoncer
abusee	NOUN	aboser
abutinay	NOUN	abatrie
abye	NOUN	abbé
abyes	NOUN	abier
abyme	NOUN	abammi
abyndone	PROPN	abanton
abyndoun	PROPN	abinoin
ácab	NOUN	cache
acachoit	VERB	accochier
acaison	NOUN	acheancier
acaisun	NOUN	achesile
acatés	VERB	acheter
acatet	VERB	acheter
acatrons	VERB	acoter
acáz	PROPN	acce
accart	PROPN	accert
accatee	VERB	acceter
accatoient	VERB	accoter
ácceptable	NOUN	cestache
acceptee	VERB	acceter
accés	NOUN	accesser
accessoires	NOUN	accossir
acchaÿs	PROPN	acches
acchetasmes	NOUN	accestement
accidens	NOUN	accidence
accoinctance	NOUN	accompaitement
accointance	NOUN	accointement
accointer	VERB	accointer
accointes	NOUN	accointer
accollant	VERB	accloinder
accolle	VERB	acclel
accollemens	VERB	accloindre
accoller	VERB	accloiier
accompaigna	VERB	accompagner
accompaignee	VERB	accompagner
accompaigner	VERB	accompagner
accompaignéz	VERB	accompagner
accompaignié	VERB	accompagner
accompaignier	VERB	accompagner
accompaignoyent	VERB	accompagner
accompli	VERB	accomplir
accomplir	VERB	accomplir
accomplissemens	NOUN	accomplismement
accomplissement	NOUN	accomplirmement
accomplit	VERB	accomplir
acconstumeit	VERB	accompter
accord	NOUN	accord
accorda	VERB	accorder
accordable	NOUN	accordande
accordast	VERB	accorder
accorde	VERB	accorder
accordees	VERB	accorder
accordées	VERB	accorder
accordent	VERB	accorder
accordera	VERB	accorder
accorderent	VERB	accorder
accorderoit	VERB	accorder
accordés	VERB	accorder
accordez	VERB	accorder
accordons	VERB	accorder
accors	NOUN	accors
accort	VERB	accort
accoudee	VERB	accouter
accourt	VERB	accorter
accoururent	VERB	accordure
accoustrée	VERB	accoutrer
accoustréz	VERB	accoutrer
accoustume	NOUN	accoutumer
accoustumeement	NOUN	accoutumer
accoustumés	VERB	accoutumer
accoutuméz	VERB	accoutumer
accroissances	NOUN	accroître
accroistre	VERB	accroître
accroître	VERB	accroter
accueillez	VERB	accuillir
accusa	VERB	accuser
