form	def_pos	def_lemma	def_morph	source	UPOS	pos
assúr	ADJ	assûr	_	LGERM	ADJ	ADJ
avúiltres	ADJ	avoutre	_	FROLEX	ADJ	ADJ
doús	ADJqua	doux	_	FROLEX	ADJ	ADJ
dúze	ADJcar	doze	ord	FROLEX	ADJ	ADJ
explycit	ADJ	explicit	_	FROLEX	ADJ	ADJ
malfaitúrs	ADJ	malfaiteur	_	LGERM	ADJ	ADJ
menúr	ADJ	mineur	_	FROLEX	ADJ	ADJ
merveillús	ADJ	merveilleux	_	BFMGOLDLEM	ADJ	ADJ
merveillúse	ADJ	merveilleux	_	BFMGOLDLEM	ADJ	ADJ
m´	ADJ	mon	_	FROLEX	ADJ	ADJ
nú	ADJqua	nu	_	FROLEX	ADJ	ADJ
núe	ADJ	nu	_	FROLEX	ADJ	ADJ
núef	ADJ	neuf	_	BFMGOLDLEM	ADJ	ADJ
nús	ADJ	nu	_	FROLEX	ADJ	ADJ
núé	ADJ	nu	_	FROLEX	ADJ	ADJ
núés	ADJ	nu	_	BFMGOLDLEM	ADJ	ADJ
paenúr	ADJ	païenor	_	FROLEX	ADJ	ADJ
púrpre	ADJ	porpre	_	FROLEX	ADJ	ADJ
rúnd	ADJ	rëont	_	FROLEX	ADJ	ADJ
s´	ADJ	siene	_	FROLEX	ADJ	ADJ
súen	ADJ	siene	_	FROLEX	ADJ	ADJ
súls	ADJqua	seul	_	FROLEX	ADJ	ADJ
sún	ADJ	sien	_	FROLEX	ADJ	ADJ
túns	ADJ	tuen	_	FROLEX	ADJ	ADJ
tútes	ADJ	tout	_	FROLEX	ADJ	ADJ
úílz	ADJ	vil	_	FROLEX	ADJ	ADJ
nuef	ADJ	nuef	_	BFMGOLDLEM	ADJ	
merveilus	ADJ	merveilleux	_	BFMGOLDLEM	ADJ	
nu	ADJcar	nuef	_	FROLEX	ADJ	
nu	ADJqua	nuef	_	FROLEX	ADJ	
nu	ADJ	nu	_	FROLEX	ADJ	
nu	ADJ	nuef	_	FROLEX	ADJ	
nues	ADJqua	nu	_	FROLEX	ADJ	
nues	ADJ	nu	_	FROLEX	ADJ	
nus	ADJqua	nu	_	FROLEX	ADJ	
nus	ADJind	nu	_	FROLEX	ADJ	
nuef	ADJqua	nuef	_	FROLEX	ADJ	
nuef	ADJqua	nuef	ord	FROLEX	ADJ	
nue	ADJqua	nu	_	FROLEX	ADJ	
nuef	ADJcar	nuef	_	FROLEX	ADJ	
nue	ADJqua	nu	_	FROLEX	ADJ	
nuef	ADJcar	nuef	ord	FROLEX	ADJ	
dous	ADJcar	doux	_	FROLEX	ADJ	
dous	ADJ	doux	_	FROLEX	ADJ	
dous	ADJqua	doux	ord	FROLEX	ADJ	
menur	ADJqua	mineur	_	FROLEX	ADJ	
dous	ADJcar	doux	ord	FROLEX	ADJ	
