form	def_pos	def_lemma	def_morph	source	UPOS
assúr	APD	assûr	_	FROLEX	APD
aútel	APD	autel	_	FROLEX	APD
aútél	APD	autel	_	FROLEX	APD
avúiltres	APD	avoutre	_	FROLEX	APD
c´	APD	que	_	FROLEX	APD
c´	APD	si	_	FROLEX	APD
celúi	APD	celui/cil	_	FROLEX	APD
cestúi	APD	cist	_	FROLEX	APD
desúre	APD	dessure	_	FROLEX	APD
desús	APD	dessus	_	FROLEX	APD
desúz	APD	dessous	_	FROLEX	APD
doús	APD	doux	_	FROLEX	APD
dúit	APD	duit	_	FROLEX	APD
dúne	APD	dunne	_	FROLEX	APD
dúze	APD	doze	_	FROLEX	APD
encúntre	APD	encontre	_	FROLEX	APD
entúr	APD	entor	_	FROLEX	APD
entúr	APD	entour	_	FROLEX	APD
explycit	APD	explicit	_	FROLEX	APD
l´	APD	le	_	FROLEX	APD
l´	APD	lui	_	FROLEX	APD
lúi	APD	lui	_	FROLEX	APD
lúí	APD	lui	_	FROLEX	APD
m´	APD	je	_	FROLEX	APD
m´	APD	mon	_	FROLEX	APD
malfaitúrs	APD	malfaiteur	_	FROLEX	APD
menúr	APD	mineur	_	FROLEX	APD
n´	APD	en	_	FROLEX	APD
nú	APD	ne	_	FROLEX	APD
nú	APD	nu	_	FROLEX	APD
nú	APD	nuef	_	FROLEX	APD
nú	APD	nul	_	FROLEX	APD
núe	APD	nu	_	FROLEX	APD
núé	APD	nu	_	FROLEX	APD
núef	APD	neuf	_	FROLEX	APD
núef	APD	nuef	_	FROLEX	APD
núés	APD	nu	_	FROLEX	APD
núés	APD	nuet	_	FROLEX	APD
nús	APD	nu	_	FROLEX	APD
oút	APD	où	_	FROLEX	APD
óút	APD	où	_	FROLEX	APD
paenúr	APD	païenor	_	FROLEX	APD
púrpre	APD	porpre	_	FROLEX	APD
rúnd	APD	rëont	_	FROLEX	APD
s´	APD	siene	_	FROLEX	APD
súe	APD	suen	_	FROLEX	APD
súe	APD	süer	_	FROLEX	APD
súen	APD	sien	_	FROLEX	APD
súen	APD	siene	_	FROLEX	APD
súen	APD	son	_	FROLEX	APD
súi	APD	son	_	FROLEX	APD
súlement	APD	seulement	_	FROLEX	APD
súls	APD	seul	_	FROLEX	APD
sún	APD	sien	_	FROLEX	APD
sún	APD	son	_	FROLEX	APD
súz	APD	soz	_	FROLEX	APD
tenúe	APD	ténu	_	FROLEX	APD
tenúe	APD	tenve	_	FROLEX	APD
trestúte	APD	trestot	_	FROLEX	APD
tú	APD	toi	_	FROLEX	APD
túe	APD	tien	_	FROLEX	APD
túe	APD	tuen	_	FROLEX	APD
túns	APD	tuen	_	FROLEX	APD
tút	APD	proind	_	FROLEX	APD
tút	APD	tot	_	FROLEX	APD
tút	APD	tout	_	FROLEX	APD
tút	APD	tüer	_	FROLEX	APD
túte	APD	tot	_	FROLEX	APD
tútes	APD	tot	_	FROLEX	APD
tútes	APD	tout	_	FROLEX	APD
túz	APD	tot	_	FROLEX	APD
úílz	APD	vil	_	FROLEX	APD
úm	APD	on	_	FROLEX	APD
úm	APD	un	_	FROLEX	APD
úre	APD	ure	_	FROLEX	APD
úre	APD	vostre	_	FROLEX	APD
vús	APD	vide	_	FROLEX	APD
vús	APD	vostre	_	FROLEX	APD
