form	def_pos	def_lemma	def_morph	source	UPOS	pos
c´	CONcoo	que	_	FROLEX	CON	CON
meez	CON	mais	_	FROLEX	CON	CON
n´	CONcoo	ne	_	FROLEX	CON	CON
s´	CON	se	_	FROLEX	CON	CON
n'	CON	ne	_	FROLEX	CON	
s'	CONsub	se	_	FROLEX	CON	
c'	CONcoo	que/	_	FROLEX	CON	
c'	CONsub	ce	_	FROLEX	CON	
c'	CONsub	que	_	FROLEX	CON	
c'	CONsub	que/	_	FROLEX	CON	
c'	CONcoo	ce	_	FROLEX	CON	
c'	CONsubs	que/	_	FROLEX	CON	
c'	CONsubs	ce	_	FROLEX	CON	
c'	CONsubs	que	_	FROLEX	CON	
c'	CON	que	_	FROLEX	CON	
c'	CON	que/	_	FROLEX	CON	
c'	CON	ce	_	FROLEX	CON	
