form	def_pos	def_lemma	def_morph	source	UPOS	pos
assúr	NPO	assur	_	FROLEX	NPO	NPO
bourgnygnons	NPO	bourguignon	_	BFMGOLDLEM	NPO	NPO
hautbourbin	NPO	hautbourdin	_	BFMGOLDLEM	NPO	NPO
hautbourdin	NPO	hautbourdin	_	BFMGOLDLEM	NPO	NPO
longeumeau	NPO	longjumeau	_	BFMGOLDLEM	NPO	NPO
lúne	NPO	lune	_	FROLEX	NPO	NPO
meez	NPO	metz	_	FROLEX	NPO	NPO
phúl	NPO	phul	_	FROLEX	NPO	NPO
rubembré	NPO	rubempré	_	BFMGOLDLEM	NPO	NPO
rubempré	NPO	rubempré	_	BFMGOLDLEM	NPO	NPO
salezart	NPO	salazar	_	BFMGOLDLEM	NPO	NPO
salomún	NPO	salomon	_	BFMGOLDLEM	NPO	NPO
sellúm	NPO	sellum	_	LGERM	NPO	NPO
soút	NPO	sout	_	FROLEX	NPO	NPO
sún	NPO	sun	_	FROLEX	NPO	NPO
sýrie	NPO	syrie	_	FROLEX	NPO	NPO
sýriens	NPO	syrien	_	FROLEX	NPO	NPO
týr	NPO	tyr	_	LGERM	NPO	NPO
úr	NPO	ur	_	FROLEX	NPO	NPO
úríe	NPO	urie	_	LGERM	NPO	NPO
syrie	NPO	syrie	_	LGERM	NPO	
assur	NPO	assur	_	LGERM	NPO	
