form	def_pos	def_lemma	def_morph	source	UPOS	pos
abaterúnt	VER	abattre	_	FROLEX	VER	VER
abatúz	VER	abatre	_	BFMGOLDLEM	VER	VER
aparchút	VER	apercevoir	_	FROLEX	VER	VER
aparút	VERcjg	apparaître	_	FROLEX	VER	VER
aperchút	VERcjg	apercevoir	_	FROLEX	VER	VER
apúier	VERinf	appuyer	_	FROLEX	VER	VER
arestút	VER	arester	_	BFMGOLDLEM	VER	VER
avúm	VER	avoir	_	BFMGOLDLEM	VER	VER
búes	VER	boire	_	FROLEX	VER	VER
críerúnt	VER	crier	_	FROLEX	VER	VER
crúeses	VER	creuser	_	FROLEX	VER	VER
cundúirunt	VER	conduire	_	FROLEX	VER	VER
cunút	VERcjg	connaître	_	FROLEX	VER	VER
curechád	VER	curecher	_	FROLEX	VER	VER
curúciez	VERcjg	courroucer	_	FROLEX	VER	VER
cúillir	VER	clore	_	FROLEX	VER	VER
cúngeád	VER	cungeier	_	FROLEX	VER	VER
cúés	VER	cueillir	_	FROLEX	VER	VER
descendúe	VER	descendre	_	FROLEX	VER	VER
destrúi	VER	détruire	_	FROLEX	VER	VER
destrúie	VERcjg	détruire	_	FROLEX	VER	VER
destrúire	VERinf	détruire	_	FROLEX	VER	VER
destrúist	VER	détruire	_	BFMGOLDLEM	VER	VER
destrúistrent	VER	détruire	_	FROLEX	VER	VER
destrúit	VER	détruire	_	BFMGOLDLEM	VER	VER
destrúite	VER	détruire	_	BFMGOLDLEM	VER	VER
destrúiz	VER	détruire	_	LGERM	VER	VER
destrúístrent	VER	détruire	_	FROLEX	VER	VER
desús	VER	décevoir	_	FROLEX	VER	VER
desúz	VER	décevoir	_	FROLEX	VER	VER
doús	VER	deveir	_	FROLEX	VER	VER
dúi	VER	deus	_	FROLEX	VER	VER
dúinse	VER	donner	_	FROLEX	VER	VER
dúit	VER	duire	_	BFMGOLDLEM	VER	VER
dún	VER	donner	_	FROLEX	VER	VER
dúnad	VER	donner	_	LGERM	VER	VER
dúres	VER	durer	_	FROLEX	VER	VER
dússent	VER	devoir	_	FROLEX	VER	VER
