form	def_pos	def_lemma	def_morph	source	UPOS	pos
abaterúnt	VER	abattre	_	FROLEX	VER	VER
abatúz	VER	abatre	_	BFMGOLDLEM	VER	VER
alúres	NCO	allure	fem	FROLEX	NCO	NCO
amúnt	ADVgen	amont	_	FROLEX	ADV	ADV
amúnt	NCO	amont	_	FROLEX	NCO	NCO
aparchút	VER	apercevoir	_	FROLEX	VER	VER
aparút	VERcjg	apparaître	_	FROLEX	VER	VER
aperchút	VERcjg	apercevoir	_	FROLEX	VER	VER
apúier	VERinf	appuyer	_	FROLEX	VER	VER
arestút	VER	arester	_	BFMGOLDLEM	VER	VER
assúr	NCO	azur	masc	FROLEX	NCO	NCO
assúr	ADV	assûr	_	LGERM	ADV	ADV
assúr	NPO	assur	_	FROLEX	NPO	NPO
assúr	ADJ	assûr	_	LGERM	ADJ	ADJ
avúiltres	ADJ	avoutre	_	FROLEX	ADJ	ADJ
avúm	VER	avoir	_	BFMGOLDLEM	VER	VER
aútel	ADV	autel	_	FROLEX	ADV	ADV
aútel	NCO	autel	_	FROLEX	NCO	NCO
aútel	PRO	autel	_	FROLEX	PRO	PRO
aútre	DET	autre	_	FROLEX	DET	DET
aútre	PRO	autre	_	FROLEX	PRO	PRO
aútél	ADV	autant	_	FROLEX	ADV	ADV
aútél	PRO	autel	_	FROLEX	PRO	PRO
aútél	NCO	autel	_	FROLEX	NCO	NCO
bourgnygnons	NPO	bourguignon	_	BFMGOLDLEM	NPO	NPO
búes	NCO	boeuf	fem	FROLEX	NCO	NCO
búes	VER	boire	_	FROLEX	VER	VER
búille	NCO	boille	fem	FROLEX	NCO	NCO
celúi	PRO	celui/cil	_	FROLEX	PRO	PRO
cestúi	DET	cist	_	FROLEX	DET	DET
chascúne	DET	chacun	_	BFMGOLDLEM	DET	DET
chascúne	PRO	chacun	_	BFMGOLDLEM	PRO	PRO
colúmpnes	NCO	colonne	fem	LGERM	NCO	NCO
críerúnt	VER	crier	_	FROLEX	VER	VER
crúeses	VER	creuser	_	FROLEX	VER	VER
cundúirunt	VER	conduire	_	FROLEX	VER	VER
