form	lemma_def	pos	genre	src_mot	nombre
aaige	âge	NOMcom	masc		sg|pl
aaisemens	aaisement	NOMcom	masc		sg|pl
abaies	abbaye	NOMcom	fem	abbayes	pl
abayes	abbaye	NOMcom	fem	abbayes	pl
abaësse	abbesse	NOMcom	fem		sg
abbaie	abbaye	NOMcom	fem		sg
abbaies	abbaye	NOMcom	fem	abbayes	pl
abbaissement	abaissement	NOMcom	masc		sg|pl
abbay	abbé	NOMcom	masc		sg|pl
abbay	aboi	NOMcom	masc		sg|pl
abbaye	abbaye	NOMcom	fem		sg
abbayes	abbaye	NOMcom	fem	abbayes	pl
abbaësse	abbesse	NOMcom	fem		sg
abbaïe	abbaye	NOMcom	fem		sg
abbaïes	abbaye	NOMcom	fem		pl
abbees	abbaye	NOMcom	fem		pl
abbees	abbé	NOMcom	masc		sg|pl
abbeesse	abbesse	NOMcom	fem		sg
abbeis	abbaye	NOMcom	fem		pl
abbeis	abbé	NOMcom	masc		sg|pl
abbesse	abbesse	NOMcom	fem		sg
abbesses	abbesse	NOMcom	fem		pl
abbey	abbaye	NOMcom	fem		sg
abbey	abbé	NOMcom	masc		sg|pl
abbez	abbé	NOMcom	masc		sg|pl
abbeïe	abbaye	NOMcom	fem		sg
abbeÿe	abbaye	NOMcom	fem		sg
abbit	habit	NOMcom	masc		sg|pl
abbye	abbaye	NOMcom	fem		sg
abbé	abbé	NOMcom	masc		sg|pl
abbés	abbé	NOMcom	masc		sg|pl
abecé	abc	NOMcom	masc		sg|pl
abeiesse	abbesse	NOMcom	fem		sg
abeit	abbé	NOMcom	masc		sg|pl
abeye	abbaye	NOMcom	fem		sg
abeÿe	abbaye	NOMcom	fem		sg
abiates	abbayette	NOMcom	fem		pl
abillemens	habillement	NOMcom	masc		sg|pl
abime	abîme	NOMcom	fem	abyme	sg
abitation	habitation	NOMcom	fem		sg
abiteür	habiteur	NOMcom	masc		sg|pl
abiteürs	habiteur	NOMcom	masc		sg|pl
abominatiuns	abomination	NOMcom	fem		pl
abre	arbre	NOMcom	masc		sg|pl
abreviacion	abréviation	NOMcom	fem		sg
abrevoir	abreuvoir	NOMcom	masc		sg|pl
abréviacion	abréviation	NOMcom	fem		sg
abscence	absence	NOMcom	fem		sg
abscisiun	abscision	NOMcom	fem		sg
abunde	abonde	NOMcom	fem		sg
abundement	abondement	NOMcom	masc		sg|pl
abye	abbaye	NOMcom	fem		sg
abyes	abbaye	NOMcom	fem		pl
abyme	abîme	NOMcom	fem	abyme	sg
abyndoun	abandon	NOMcom	masc		sg|pl
abél	abbé	NOMcom	masc		sg|pl
abél	aveau	NOMcom	masc		sg|pl
abéye	abbaye	NOMcom	fem		sg
abéz	abbé	NOMcom	masc		sg|pl
abór	abord	NOMcom	masc		sg|pl
abór	aubour	NOMcom	masc		sg|pl
abór	avoir	NOMcom	masc		sg|pl
abór	haïeur	NOMcom	fem		sg
acaison	ochaison	NOMcom	fem		sg
acaisun	ochaison	NOMcom	fem		sg
acaz	achat	NOMcom	masc	acáz	sg|pl
accart	achart	NOMcom	masc		sg|pl
accart	agart	NOMcom	masc		sg|pl
accart	tard	NOMcom	masc		sg|pl
accart	écart	NOMcom	masc		sg|pl
accessoires	accessoire	NOMcom			pl-fem|sg-masc|pl-masc
accidens	accident	NOMcom	masc		sg|pl
accidens	assident	NOMcom			pl-fem|sg-masc|pl-masc
accoinctance	accointance	NOMcom	fem		sg
accointance	accointance	NOMcom	fem		sg
accollemens	accolement	NOMcom	masc		sg|pl
accomplissemens	accomplissement	NOMcom	masc		sg|pl
accomplissement	accomplissement	NOMcom	masc		sg|pl
accord	accord	NOMcom	masc		sg|pl
accors	accord	NOMcom	masc		sg|pl
accors	accours	NOMcom	masc		sg|pl
accort	accord	NOMcom	masc		sg|pl
accroissances	accroissance	NOMcom	fem		pl
accusacion	accusation	NOMcom	fem		sg
accusacions	accusation	NOMcom	fem		pl
accusation	accusation	NOMcom	fem		sg
accés	accès	NOMcom	masc		sg|pl
achainte	aceinte	NOMcom	fem		sg
achaisuns	ochaison	NOMcom	fem		pl
acheisons	ochaison	NOMcom	fem		pl
acheson	ochaison	NOMcom	fem		sg
achesun	ochaison	NOMcom	fem		sg
achilón	aiguillon	NOMcom	masc		sg|pl
achilón	aquilon	NOMcom	masc		sg|pl
achilón	échelon	NOMcom	masc		sg|pl
acompagnée	accompagnée	NOMcom	fem		sg
acord	accord	NOMcom	masc		sg|pl
acouchemens	accouchement	NOMcom	masc		sg|pl
acoustumance	accoutumance	NOMcom	fem		sg
acoustumances	accoutumance	NOMcom	fem		pl
acoustumanche	accoutumance	NOMcom	fem		sg
acquenee	haquenée	NOMcom	fem		sg
acquenees	haquenée	NOMcom	fem		pl
acques	arque	NOMcom			pl-fem|sg-masc|pl-masc
acquest	acquêt	NOMcom	masc		sg|pl
acquitte	acquitte	NOMcom	fem		sg
acraventerres	acravanteur	NOMcom	masc		sg|pl
acreis	accrois	NOMcom	masc		sg|pl
actaintes	atteinte	NOMcom	fem		pl
actempranche	attemprance	NOMcom	fem		sg
actente	attente	NOMcom	fem	actente	sg
acteur	acteur	NOMcom	masc		sg|pl
acteur	auteur	NOMcom	masc		sg|pl
actrait	attrait	NOMcom	masc		sg|pl
actum	ago	NOMcom	masc		sg|pl
acuites	acuité	NOMcom	fem	acuités	pl
acuités	acuité	NOMcom	fem	acuités	pl
acustume	accoutume	NOMcom	fem		sg
