form	lemma_def	pos	src_mot
Abailarz	Abélard	NOMpro	
Abbeville	Abbeville	NOMpro	
Ábelá	Abela	NOMpro	
Ábelá	Abella	NOMpro	
Abeville	Abbeville	NOMpro	
Absallont	Absalon	NOMpro	
Absalón	Absalon	NOMpro	
Aceste	Aceste	NOMpro	
Acestes	Aceste	NOMpro	
Achillés	Achille	NOMpro	
Achís	Achis	NOMpro	
Acquitaine	Aquitaine	NOMpro	
Acy	Acy	NOMpro	
Adonías	Adonias	NOMpro	
Adónie	Adonie	NOMpro	
Adonys	Adonis	NOMpro	
Adonys	Adonie	NOMpro	
Adrian	Adrien	NOMpro	
Afsibá	Aquiba	NOMpro	
Afsibá	Assia	NOMpro	
Agen	Agen	NOMpro	
Agenois	Agenais	NOMpro	
Agenoiz	Agenais	NOMpro	
Agenor	Agenor	NOMpro	
Agincort	Azincourt	NOMpro	
Agincourt	Azincourt	NOMpro	
Agneis	Agnès	NOMpro	
Agnés	Agnès	NOMpro	
Ái	Ay	NOMpro	
Aigny	Aigny	NOMpro	
Aiguemorte	Aigues-Mortes	NOMpro	
Aimery	Aimery	NOMpro	
Ainel	Ainel	NOMpro	
Aingleterre	Angleterre	NOMpro	
Aixe	Aixe	NOMpro	
Alain	Alain	NOMpro	
Alars	Alard	NOMpro	
Albanie	Albanie	NOMpro	
Albin	Albin	NOMpro	
Albins	Albin	NOMpro	
Albion	Albion	NOMpro	
Albret	Albret	NOMpro	
Aldeberd	Aldebert	NOMpro	
Aldebert	Aldebert	NOMpro	
Alebret	Alebret	NOMpro	
Alecxi	Alexis	NOMpro	
Alemaygne	Allemagne	NOMpro	
Alençon	Alençon	NOMpro	
Alexandre	Alexandre	NOMpro	
Alexandrie	Alexandrie	NOMpro	
Alexe	Alex	NOMpro	
Alexes	Alex	NOMpro	
Alfrike	Afrique	NOMpro	
Alixendre	Alexandre	NOMpro	
Alni	Alni	NOMpro	
Amana	Amana	NOMpro	
Ámasiá	Amasia	NOMpro	
Ámasiá	Amazia	NOMpro	
Amasonie	Amazonie	NOMpro	
Amauri	Amauri	NOMpro	
Amboise	Amboise	NOMpro	
Amboyse	Amboise	NOMpro	
Ambrose	Ambroise	NOMpro	
Amiles	Amile	NOMpro	
Aminois	Aminois	NOMpro	
Amón	Amon	NOMpro	
Amphiaras	Amphiaras	NOMpro	
Amyens	Amiens	NOMpro	
Ananie	Ananie	NOMpro	
Anastaise	Anastaise	NOMpro	
Anastaises	Anastaise	NOMpro	
Anastaises	Anastaize	NOMpro	
Anastaises	Anastase	NOMpro	
Anchisés	Anchise	NOMpro	
Andremite	Andremite	NOMpro	
Andreu	André	NOMpro	
Andri	Andri	NOMpro	
Andrieu	Andrieu	NOMpro	
Andriex	Andrieu	NOMpro	
Andrius	Andrieux	NOMpro	
Andrius	Andrieu	NOMpro	
Andromes	Androme	NOMpro	
Angiers	Angers	NOMpro	
Angletere	Angleterre	NOMpro	
Angliterre	Angleterre	NOMpro	
Angou	Anjou	NOMpro	
Anguerran	Angerran	NOMpro	
Anguerran	Engueran	NOMpro	
Anguerran	Enguerran	NOMpro	
Anguerran	Enguerrand	NOMpro	
Anguien	Anguien	NOMpro	
Ansealme	Anseaume	NOMpro	
Ansealme	Anselme	NOMpro	
Ansealme	Ancelme	NOMpro	
Ansealme	Anciaume	NOMpro	
Anthioce	Antioche	NOMpro	
Anthioche	Antioche	NOMpro	
Anthoine	Antoine	NOMpro	
Anthony	Anthony	NOMpro	
Anthyoche	Antioche	NOMpro	
Antióche	Antioche	NOMpro	
Antiocus	Antiochus	NOMpro	
Anton	Anton	NOMpro	
Appollo	Apollon	NOMpro	
Aquariüs	Aquarius	NOMpro	
Aquin	Aquin	NOMpro	
Aran	Aran	NOMpro	
Arbi	Albi	NOMpro	
Arbi	Alby	NOMpro	
Arbi	Erbil	NOMpro	
Archeldemach	Ascheldamah	NOMpro	
Ardenne	Ardenne	NOMpro	
Ardenne	Ardennes	NOMpro	
Arie	Arie	NOMpro	
Aristote	Aristote	NOMpro	
Aristotes	Aristote	NOMpro	
Arlon	Arlon	NOMpro	
