form	lemma_def	pos	type	src_mot
aagee	âgé	adjectif	qualificatif	
aagez	âgé	adjectif	qualificatif	
aagie	âgé	adjectif	qualificatif	
abhominable	abominable	adjectif	qualificatif	
abomynable	abominable	adjectif	qualificatif	
accordable	accordable	adjectif	qualificatif	
acustumiere	accoutumier	adjectif	qualificatif	
adhérens	adhérent	adjectif	qualificatif	
adjacens	adjacent	adjectif	qualificatif	
admirable	admirable	adjectif	qualificatif	
adrois	adroit	adjectif	qualificatif	
adroitz	adroit	adjectif	qualificatif	
advantageuse	avantageux	adjectif	qualificatif	
advaricieuse	avaricieux	adjectif	qualificatif	
adventureuse	aventureux	adjectif	qualificatif	
agape	agappe	adjectif	qualificatif	
agille	agile	adjectif	qualificatif	
agitatis	agitatif	adjectif	qualificatif	
agréable	agréable	adjectif	qualificatif	
agréables	agréable	adjectif	qualificatif	
aguë	aigu	adjectif	qualificatif	
ainné	aîné	adjectif	qualificatif	
ainsneez	aîné	adjectif	qualificatif	
ainsnés	aîné	adjectif	qualificatif	
aïrus	aïreux	adjectif	qualificatif	
aisieus	aisé	adjectif	qualificatif	
aisnee	aîné	adjectif	qualificatif	
aisnel	isnel	adjectif	qualificatif	
aisnez	aîné	adjectif	qualificatif	
aiwel	égal	adjectif	qualificatif	
aiwel	oial	adjectif	qualificatif	
algus	aigu	adjectif	qualificatif	
altéls	autel	adjectif	qualificatif	
altum	hautain	adjectif	qualificatif	
amanieree	amaniéré	adjectif	qualificatif	
amerous	amoureux	adjectif	qualificatif	
amoureuz	amoureux	adjectif	qualificatif	
anable	hanable	adjectif	qualificatif	
anable	aimable	adjectif	qualificatif	
anable	annal	adjectif	qualificatif	
anable	hainable	adjectif	qualificatif	
ancians	ancien	adjectif	qualificatif	
ancline	enclin	adjectif	qualificatif	
anclines	enclin	adjectif	qualificatif	
anclins	enclin	adjectif	qualificatif	
andreus	ambedeux	adjectif	qualificatif	
angleures	angleux	adjectif	qualificatif	
angoisseux	angoisseux	adjectif	qualificatif	
angoissex	angoisseux	adjectif	qualificatif	
angoissouse	angoisseux	adjectif	qualificatif	
anguissuse	angoisseux	adjectif	qualificatif	
anieuse	ennuyeux	adjectif	qualificatif	
antantif	ententif	adjectif	qualificatif	
antantif	intentif	adjectif	qualificatif	
antantif	authentif	adjectif	qualificatif	
antantis	ententif	adjectif	qualificatif	
antantive	ententif	adjectif	qualificatif	
antantive	authentif	adjectif	qualificatif	
antendable	entendable	adjectif	qualificatif	
antesequent	antéséquent	adjectif	qualificatif	
antífs	antif	adjectif	qualificatif	
anuiables	ennuyable	adjectif	qualificatif	
anuiables	enviable	adjectif	qualificatif	
anuieus	ennuyeux	adjectif	qualificatif	
anvieuses	envieux	adjectif	qualificatif	
anvieuses	ennuyeux	adjectif	qualificatif	
apostolique	apostolique	adjectif	qualificatif	
argilluse	argileux	adjectif	qualificatif	
arrabic	arabique	adjectif	qualificatif	
arrabiens	arabien	adjectif	qualificatif	
arragons	aragon	adjectif	qualificatif	
arrogans	arrogant	adjectif	qualificatif	
artifficieuse	artificieux	adjectif	qualificatif	
artificieuse	artificieux	adjectif	qualificatif	
asprès	exprès	adjectif	qualificatif	
asprès	âpre	adjectif	qualificatif	
assiduelx	assiduel	adjectif	qualificatif	
assidueus	assiduel	adjectif	qualificatif	
attaigneuse	ataïneux	adjectif	qualificatif	
aufferrant	auferrant	adjectif	qualificatif	
auffricain	africain	adjectif	qualificatif	
auffriquant	africain	adjectif	qualificatif	
autantique	authentique	adjectif	qualificatif	
autumnals	automnal	adjectif	qualificatif	
auxdictes	ledit	adjectif	qualificatif	
avantageux	avantageux	adjectif	qualificatif	
avantaigeux	avantageux	adjectif	qualificatif	
avantditz	avant-dit	adjectif	qualificatif	
avaricieulx	avaricieux	adjectif	qualificatif	
avaricieus	avaricieux	adjectif	qualificatif	
aventureuse	aventureux	adjectif	qualificatif	
aventureux	aventureux	adjectif	qualificatif	
aventurous	aventureux	adjectif	qualificatif	
aysié	aisé	adjectif	qualificatif	
azuree	azuré	adjectif	qualificatif	
baïf	bäif	adjectif	qualificatif	
baraine	brehaing	adjectif	qualificatif	
barhaine	brehaing	adjectif	qualificatif	
bassette	basset	adjectif	qualificatif	
bastard	bâtard	adjectif	qualificatif	
baupheur	baveresse	adjectif	qualificatif	
baupheur	baveur	adjectif	qualificatif	
bax	beau	adjectif	qualificatif	
beate	béat	adjectif	qualificatif	
beaufilz	beau	adjectif	qualificatif	
beaulz	beau	adjectif	qualificatif	
beauz	beau	adjectif	qualificatif	
beax	beau	adjectif	qualificatif	
beduins	bédouin	adjectif	qualificatif	
béles	beau	adjectif	qualificatif	
bellezour	belisor	adjectif	qualificatif	
benedictus	bénédit	adjectif	qualificatif	
