form	lemma_def	pos	type	src_mot
aaste	es.tu	ADVgen.PROper	_	_
abandonnéement	abandonnément	ADVgen	_	_
abanz	avant	ADVgen	_	_
accoustumeement	accoutumément	ADVgen	_	_
activement	activement	ADVgen	_	_
adesement	adesséement	ADVgen	_	_
adéz	adès	ADVgen	_	_
adfin	afin	ADVgen	_	_
adoncq	adonc	ADVgen	temps	_
adoncquez	adonc	ADVgen	temps	_
adonqe	adonc	ADVgen	temps	_
áfermement	affermément	ADVgen	_	_
affectueusement	affectueusement	ADVgen	_	_
afyn	afin	ADVgen	_	_
áí	aussi	ADVgen	_	_
aileurs	ailleurs	ADVgen	_	_
aimablement	aimablement	ADVgen	_	_
aincoires	encore	ADVgen	_	_
ainçoiz	ainçois	ADVgen	_	_
ainsiz	ainsi	ADVgen	_	_
ainssin	ainsi	ADVgen	_	_
ainxi	ainsi	ADVgen	_	_
ainxin	ainsi	ADVgen	_	_
aliàs	alias	ADVgen	_	_
allo	aluec	ADVgen	_	_
alo	aluec	ADVgen	_	_
alsement	aussiment	ADVgen	_	_
altretánt	autretant	ADVgen	_	_
amoreusement	amoureusement	ADVgen	_	_
amplement	amplement	ADVgen	_	_
amyablement	amiablement	ADVgen	_	_
ançoys	ainçois	ADVgen	_	_
anevois	enevois	ADVgen	_	_
anplois	amplois	ADVgen	_	_
ansorquetot	ensurquetout	ADVgen	_	_
ánuit	anuit	ADVgen	_	_
ánz	ens	ADVgen	_	_
ánz	en	ADVgen	_	_
apartement	apertement	ADVgen	_	_
apenseement	apensément	ADVgen	_	_
apertenant	apertement	ADVgen	_	_
appartemant	apertement	ADVgen	_	_
apprès	après	ADVgen	_	_
apréz	après	ADVgen	_	_
ardament	ardemment	ADVgen	_	_
ardyment	hardiment	ADVgen	_	_
areement	arreement	ADVgen	_	_
áriére	arrière	ADVgen	_	_
arrogamment	arrogamment	ADVgen	_	_
asés	assez	ADVgen	_	_
aseüreement	assurément	ADVgen	_	_
asque	auques	ADVgen	_	_
assès	assez	ADVgen	_	_
asseurement	assurément	ADVgen	_	_
asséz	assez	ADVgen	_	_
assiduement	assidûment	ADVgen	_	_
ássis	aussi	ADVgen	_	_
assus	assus	ADVgen	_	_
auchunefois	aucunefois	ADVgen	_	_
aucuneffois	aucunefois	ADVgen	_	_
aucuneffoiz	aucunefois	ADVgen	_	_
aucuneffoys	aucunefois	ADVgen	_	_
aucunefois	aucunefois	ADVgen	_	_
aucunefoiz	aucunefois	ADVgen	_	_
aucunement	aucunement	ADVgen	_	_
aucunesfois	aucunefois	ADVgen	_	_
aucunesfoiz	aucunefois	ADVgen	_	_
audacieusement	audacieusement	ADVgen	_	_
aujourdhuy	aujourd'hui	ADVgen	_	_
aujourdui	aujourd'hui	ADVgen	_	_
auke	auques	ADVgen	_	_
aulcunement	aucunement	ADVgen	_	_
aultant	autant	ADVgen	_	_
aulte	haut	ADVgen	_	_
aultrement	autrement	ADVgen	_	_
auparavant	auparavant	ADVgen	temps	_
auprès	auprès	ADVgen	lieu	_
autrefois	autrefois	ADVgen	_	_
autrefoiz	autrefois	ADVgen	_	_
autrefoyz	autrefois	ADVgen	_	_
autresfois	autrefois	ADVgen	_	_
autresfoiz	autrefois	ADVgen	_	_
auxci	aussi	ADVgen	_	_
avenalment	avenamment	ADVgen	_	_
aviseement	avisément	ADVgen	_	_
aylours	ailleurs	ADVgen	_	_
aylours	alors	ADVgen	_	_
ayséement	aisément	ADVgen	_	_
aysément	aisément	ADVgen	_	_
aysiemant	aisiement	ADVgen	_	_
bassement	bassement	ADVgen	_	_
bein	bien	ADVgen	_	_
bénignement	bénignement	ADVgen	_	_
beninement	bénignement	ADVgen	_	_
benurément	bienheurément	ADVgen	_	_
bestiaument	bestialement	ADVgen	_	_
bestïaument	bestialement	ADVgen	_	_
blus	blos	ADVgen	_	_
bónement	bonnement	ADVgen	_	_
brefremont	brièvement	ADVgen	_	_
brevement	brièvement	ADVgen	_	_
briefvement	brièvement	ADVgen	_	_
briment	brièvement	ADVgen	_	_
çaenz	céans	ADVgen	_	_
çaianz	céans	ADVgen	_	_
çaisus	çà	ADVgen	_	_
çajus	céans	ADVgen	_	_
capitalment	capitalement	ADVgen	_	_
castement	chastement	ADVgen	_	_
çasus	çà	ADVgen	_	_
causelement	causalement	ADVgen	_	_
cautement	cautement	ADVgen	_	_
ceainz	céans	ADVgen	_	_
ceeinz	céans	ADVgen	_	_
celéement	celément	ADVgen	_	_
cependant	cependant	ADVgen	temps	_
cependent	cependant	ADVgen	temps	_
certaignement	certainement	ADVgen	_	_
certaynement	certainement	ADVgen	_	_
certeynement	certainement	ADVgen	_	_
cetera	et cetera	ADVgen	_	_
chaienz	céans	ADVgen	_	_
chaitivement	chétivement	ADVgen	_	_
charneilment	charnellement	ADVgen	_	_
charnellement	charnellement	ADVgen	_	_
chaudement	chaudement	ADVgen	_	_
chertainnement	certainement	ADVgen	_	_
chierment	chèrement	ADVgen	_	_
chierment	gierement	ADVgen	_	_
clèrement	clairement	ADVgen	_	_
clergilment	clergeaument	ADVgen	_	_
clerjaument	clergeaument	ADVgen	_	_
coardement	couardement	ADVgen	_	_
comain	comment	ADVgen	_	_
comain	comme	ADVgen	_	_
comfaitement	confaitement	ADVsub	_	_
communéement	communément	ADVgen	_	_
communelment	communalement	ADVgen	_	_
communément	communément	ADVgen	_	_
complectement	complètement	ADVgen	_	_
compleignemant	compleinement	ADVgen	_	_
comunablement	communablement	ADVgen	_	_
confaitement	confaitement	ADVsub	_	_
conjoinctement	conjointement	ADVgen	_	_
contemplativement	contemplativement	ADVgen	_	_
continuellement	continuellement	ADVgen	_	_
conuoitousement	convoiteusement	ADVgen	_	_
convenablement	convenablement	ADVgen	_	_
corteysement	courtoisement	ADVgen	_	_
coumant	comment	ADVsub	_	_
courtaisment	courtement	ADVgen	_	_
courtaisment	courtoisement	ADVgen	_	_
courtment	courtement	ADVgen	_	_
coyement	coiement	ADVgen	_	_
craintivement	craintivement	ADVgen	_	_
crestiennement	chrétiennement	ADVgen	_	_
cruellement	cruellement	ADVgen	_	_
cruélment	cruellement	ADVgen	_	_
cruélment	crûment	ADVgen	_	_
cumfaitement	confaitement	ADVint	_	_
cumfaiterement	faitièrement	ADVgen	_	_
cumfaiterement	confaitement	ADVgen	_	_
curieusement	curieusement	ADVgen	_	_
curranment	couramment	ADVgen	_	_
cyeins	céans	ADVgen	_	_
cza	çà	ADVgen	_	_
czo	comme	ADVgen	_	_
darainement	derrainement	ADVgen	_	_
darenierement	dernièrement	ADVgen	_	_
darrainement	derrainement	ADVgen	_	_
darreinnement	derrainement	ADVgen	_	_
dasriere	derrière	ADVgen	_	_
davan	devant	ADVgen	_	_
debonnayrement	débonnairement	ADVgen	_	_
deçà	deçà	ADVgen	_	_
dedant	dedans	ADVgen	lieu	_
dedeignousement	dédaigneusement	ADVgen	_	_
dedeins	dedans	ADVgen	lieu	_
dedénz	dedans	ADVgen	lieu	_
dehonnestement	déshonnêtement	ADVgen	_	_
dehonnestement	honnêtement	ADVgen	_	_
deja	déjà	ADVgen	temps	_
déjà	déjà	ADVgen	temps	_
delicativement	délicativement	ADVgen	_	_
delicieusement	délicieusement	ADVgen	_	_
demei	demi	ADVgen	_	_
deprés	près	ADVgen	_	_
derainement	derrainement	ADVgen	_	_
derechef	derechef	ADVgen	_	_
derechíef	derechef	ADVgen	_	_
derer	derrière	ADVgen	_	_
dererre	derrière	ADVgen	_	_
derrainement	derrainement	ADVgen	_	_
derrainnement	derrainement	ADVgen	_	_
derreinement	derrainement	ADVgen	_	_
derrenierement	dernièrement	ADVgen	_	_
derrienement	derrainement	ADVgen	_	_
derrienement	terriennement	ADVgen	_	_
derriennement	derrainement	ADVgen	_	_
derrière	derrière	ADVgen	_	_
derrierre	derrière	ADVgen	_	_
descure	dessure	ADVgen	lieu	_
desdaingneusement	dédaigneusement	ADVgen	_	_
desdunc	donc	ADVgen	_	_
desiranment	désiramment	ADVgen	_	_
desjà	déjà	ADVgen	temps	_
desloiaument	déloyalement	ADVgen	_	_
desloyaument	déloyalement	ADVgen	_	_
desoremaiz	désormais	ADVgen	temps	_
desoresmais	désormais	ADVgen	temps	_
desormaiz	désormais	ADVgen	temps	_
despièça	piéça	ADVgen	_	_
despourveuement	dépourvuement	ADVgen	_	_
desquidiement	cuidément	ADVgen	_	_
desquidiement	cuidemment	ADVgen	_	_
desquidiement	quiteement	ADVgen	_	_
desquidiement	quittement	ADVgen	_	_
desriers	derrière	ADVgen	_	_
dessudictz	dessus-dit	ADVgen	_	_
dessurdicte	dessure	ADVgen	lieu	_
dessusdict	dessus-dit	ADVgen	_	_
dessusdicts	dessus-dit	ADVgen	_	_
dessusnommé	dessus-nommé	ADVgen	_	_
dessusnommé	dessusnommé	ADVgen	_	_
dessusnommée	dessus-nommé	ADVgen	_	_
dessusnommés	dessus-nommé	ADVgen	_	_
destroitement	détroitement	ADVgen	_	_
desusnommés	dessus-nommé	ADVgen	_	_
desusnommés	dessusnommé	ADVgen	_	_
deuant	devant	ADVgen	_	_
deuement	dûment	ADVgen	_	_
deument	dûment	ADVgen	_	_
devantdict	devant-dit	ADVgen	_	_
devantdicte	devant-dit	ADVgen	_	_
devottement	dévotement	ADVgen	_	_
devoutement	dévotement	ADVgen	_	_
deyes	hier	ADVgen	_	_
diligamment	diligemment	ADVgen	_	_
diligaument	diligemment	ADVgen	_	_
diligeanment	diligemment	ADVgen	_	_
diligeaument	diligemment	ADVgen	_	_
diligentement	diligentement	ADVgen	_	_
dilijanment	diligemment	ADVgen	_	_
dilligamment	diligemment	ADVgen	_	_
dilligemment	diligemment	ADVgen	_	_
directement	directement	ADVgen	_	_
dissi	deci	ADVgen	_	_
distinteement	distinctement	ADVgen	_	_
doc	donc	ADVgen	_	_
dolentement	dolentement	ADVgen	_	_
doloreusement	douloureusement	ADVgen	_	_
donches	donc	ADVgen	_	_
donqe	donc	ADVgen	_	_
donqs	donc	ADVgen	_	_
doresnavant	dorénavant	ADVgen	_	_
doubtablement	doutablement	ADVgen	_	_
doubteusement	douteusement	ADVgen	_	_
douloureusement	douloureusement	ADVgen	_	_
doutanment	doutamment	ADVgen	_	_
dreituralment	droiturellement	ADVgen	_	_
dreiturelement	droiturellement	ADVgen	_	_
dreiturelment	droiturellement	ADVgen	_	_
droictement	droitement	ADVgen	_	_
droittement	droitement	ADVgen	_	_
dulurusement	douloureusement	ADVgen	_	_
duncques	donc	ADVgen	_	_
effreement	effrayement	ADVgen	_	_
effroiement	effrayement	ADVgen	_	_
egalement	également	ADVgen	_	_
einsement	ainsement	ADVgen	_	_
einsement	ensement	ADVgen	_	_
einsois	ainçois	ADVgen	_	_
emsamle	ensemble	ADVgen	_	_
enapréz	après	ADVgen	_	_
enchaï	ainçois	ADVgen	_	_
encoires	encore	ADVgen	_	_
encoy	ainçois	ADVgen	_	_
encoy	enqui	ADVgen	_	_
encrement	encrement	ADVgen	_	_
endedens	endedens	ADVgen	lieu	_
endementirs	endementiers	ADVgen	_	_
endevant	devant	ADVgen	_	_
ene	enne	ADVing	_	_
eneur	anuit	ADVgen	_	_
enforciement	enforciement	ADVgen	_	_
ennón	ennon	ADVgen	_	_
ensemblë	ensemble	ADVgen	_	_
ensemen	ensement	ADVgen	_	_
enseurquetot	ensurquetout	ADVgen	_	_
enssus	ensus	ADVgen	_	_
ensuz	ensus	ADVgen	_	_
ensuz	ainçois	ADVgen	_	_
entendanment	entendamment	ADVgen	_	_
entendiz	entandis	ADVgen	_	_
enterement	entièrement	ADVgen	_	_
entièrement	entièrement	ADVgen	_	_
entierment	entièrement	ADVgen	_	_
entro	entro	ADVgen	_	_
envys	envis	ADVgen	_	_
équallement	équalement	ADVgen	_	_
errament	erramment	ADVgen	_	_
erramenz	erramment	ADVgen	_	_
errammant	erramment	ADVgen	_	_
escouteement	écoutément	ADVgen	_	_
esforceement	efforciement	ADVgen	_	_
esling	eslinc	ADVgen	_	_
especiallement	espécialement	ADVgen	_	_
especiaument	espécialement	ADVgen	_	_
especiaument	spécialement	ADVgen	_	_
esperituelment	espirituellement	ADVgen	_	_
espetialement	espécialement	ADVgen	_	_
espetialment	espécialement	ADVgen	_	_
