form	lemma_def	pos	src_mot	type
esquelez	èsquel	CON		
esquelles	èsquel	CON		
esquelz	èsquel	CON		
neporec	neporoec	CON		
puisqe	puisque	CON		
puisqu	puisque	CON		
qos	que	CONsub.proper		
quoyque	quoique	CON		
si	se	CON	sí	
ov	ou	CON	ov	
s'	soi	CON	s’	
nompourquant	nonpourquant	CON	nompourquant	
dontre	dentres	CON	dontre	
c'	ce	CON	c’	
s'	son	CON	s’	
jesque	jesque	CON	jésque	
jesque	jusque	CON	jésque	
jesqes	jusque	CON	jesqes	
s'	si	CON	s’	
c'	que/	CON	c’	
jusquez	jusque	CON	jusquez	
kar	car	CON	kár	
n'	ne	CON	n’	
s'	se	CON	s’	
quer	que	CON	qúer	
mez	mais	CON	meez	
qui	que	CON	quy	
qua	que	CON	qua	
c'	que	CON	c’	
sinon	sinon	CON	sinon	
meis	mais	CON	meís	
si	si	CON	sí	
ov	ou	CONcoo	ov	coordination
