form	lemma_def	pos	src_mot	type
vns	un	DETndf		indefini
meinte	maint	DET	méinte	
l'	il	DET	l’	
meins	maint	DET	meyns	
plusseurs	plusor	DET	plusseurs	
l'	le	DET	l’	
nuille	nul	DET	nuille	
lui	le	DET	lúi	
el	le	DET	él	
il	il	DET	íl	
meintes	maint	DET	meyntes	
lui	le	DET	luí	
dun	dun	DET	dún	
lei	le	DET	ley	
nesune	nesun	DET	nesune	
nu	nul	DET	nú	
maintez	maint	DET	maintez	
pleuseurs	plusor	DET	pleuseurs	
meint	maint	DET	meynt	
ov	ou	DET	ov	
lu	le	DET	lú	
nus	nul	DET	nús	
nuls	nul	DET	núls	
lui	le	DET	lúí	
lez	le	DET	léz	
loz	le	DET	loz	
trestute	trestot	DET	trestúte	
cescune	chascun	DET	cescune	
us	un	DET	ús	
chasqu	chasque	DET	chasqu	
chacuns	chascun	DET	chacuns	
tutes	tot	DET	tútes	
autre	autre	DET	aútre	
aulz	au	DET	aulz	
tuz	tot	DET	túz	
chascunes	chascun	DET	chascunes	
acuns	aucun	DET	acuns	
to	tot	DET	to	
unes	uns	DET	únes	
al	au	DET	ál	
qanz	cant	DET	qanz	
quanz	cant	DET	qanz	
chacum	chascun	DET	chacum	
sun	son	DET	sún	
quantz	cant	DET	quantz	
as	au	DET	ás	
ugne	un	DET	ugne	
aucunes	aucun	DET	aucunnes	
tute	tot	DET	túte	
unes	un	DET	únes	
unez	uns	DET	unez	
ungz	un	DET	ungz	
zz	un	DET	zz	
unt	un	DET	únt	
tut	tot	DET	tút	
uns	uns	DET	úns	
uns	un	DET	úns	
tu	tot	DET	tú	
um	un	DET	úm	
unez	un	DET	unez	
aucunnes	aucun	DET	aucunnes	
l'	il	DETdef	l’	defini
loz	le	DETdef	loz	defini
lu	le	DETdef	lú	defini
aulz	au	DETdef	aulz	defini
lez	le	DETdef	léz	defini
as	au	DETdef	ás	defini
l'	le	DETdef	l’	defini
al	au	DETdef	ál	defini
el	le	DETdef	él	defini
lei	le	DETdef	ley	defini
aucunes	aucun	DETind	aucunnes	indefini
tute	tot	DETind	túte	indefini
plusseurs	plusor	DETind	plusseurs	indefini
trestute	trestot	DETind	trestúte	indefini
tut	tot	DETind	tút	indefini
meint	maint	DETind	meynt	indefini
tuz	tot	DETind	túz	indefini
maintez	maint	DETind	maintez	indefini
meintes	maint	DETind	meyntes	indefini
chascunes	chascun	DETind	chascunes	indefini
meinte	maint	DETind	méinte	indefini
tutes	tot	DETind	tútes	indefini
chacuns	chascun	DETind	chacuns	indefini
cescune	chascun	DETind	cescune	indefini
el	le	DETind	él	indefini
acuns	aucun	DETind	acuns	indefini
chacum	chascun	DETind	chacum	indefini
nesune	nesun	DETind	nesune	indefini
aucunnes	aucun	DETind	aucunnes	indefini
