form	lemma_def	pos	src_mot	type
anpor	empor	PRE		
asquelx	à.lequel	PRE.PROrel		
au	à.le	PRE.DETdef		
au	à.le	PRE.PROper		
audict	À	PRE.DETcom		
audictz	À	PRE.DETcom		
aulx	À	PRE.DETdef		
ausdictes	À	PRE.DETcom		
ausdicts	À	PRE.DETcom		
ausdiz	à.ledit	PRE.DETcom		
auxquelles	À	PRE.PROrel		
auxquels	à.lequel	PRE.PROrel		
avesques	avec	PRE		
az	à.le	PRE.DETdef		
az	à.lequel	PRE.PROrel		
dalés	delez	PRE		
davan	devant	PRE		
davan	DEVANT	PRE		
deçà	deçà	PRE		
del	de.il	PRE.PROper		
del	de.le	PRE.DETdef		
del	de.le	PRE.PROper		
del	de.lequel	PRE.DETrel		
delà	delà	PRE		
deléz	delez	PRE		
desaux	dessous	PRE		
desdicts	DE	PRE.DETcom		
desdis	DE	PRE.DETcom		
desdiz	de.ledit	PRE.DETcom		
desdiz	de.ledit	PRE.PROcom		
desquelles	de.lequel	PRE.DETrel		
desquelles	de.lequel	PRE.PROrel		
desquels	de.lequel	PRE.PROrel		
desquelx	de.lequel	PRE.DETrel		
desquelx	de.lequel	PRE.PROrel		
desquelz	DE	PRE.PROrel		
desquiex	DE	PRE.PROrel		
deuant	devant	PRE		
deuant	DEVANT	PRE		
dez	de.le	PRE.DETdef		
dudict	DE	PRE.DETcom		
dudit	de.ledit	PRE.DETcom		
duquel	de.lequel	PRE.DETrel		
duquel	de.lequel	PRE.PROrel		
durans	DURANT	PRE		
empréz	EMPRÈS	PRE		
enpor	EMPOUR	PRE		
ensobre	ensor	PRE		
ès	en.le	PRE.DETdef		
jucques	JUSQUE	PRE		
jusche	jusque	PRE		
oudit	en.ledit	PRE.DETcom		
pardevers	DEVERS	PRE		
pource	POUR	PRE		
saunz	SANS	PRE		
sobrae	sur	PRE		
solounc	SELON	PRE		
soubs	SOUS	PRE		
sub	SOUS	PRE		
suth	SOUS	PRE		
vecy	VOICI	PRE		
depuys	depuis	PRE	depuys	
depuis	depuis	PRE	depuys	
deqes	dusue	PRE	deqes	
ad	à	PRE	ád	
ad	a+le	PRE	ád	
deriere	derrière	PRE	deríere	
depus	depuis	PRE	depus	
suz	sus	PRE	súz	
enl	en+le	PRE	enl	
entr'	entre	PRE	entr’	
suz	sous	PRE	súz	
entreux	entre-eux	PRE	entreux	
ov	en+le	PRE	ov	
denaprés	après	PRE	denaprés	
emmy	enmi	PRE	emmy	
ovec	avec	PRE	ovéc	
d'	de	PRE	d’	
emi	enmi	PRE	emmy	
deca	deçà	PRE	decà	
els	en+le	PRE	éls	
deled	dalez	PRE	deléd	
emmi	enmi	PRE	emmy	
oveque	avec	PRE	oveque	
ovesqe	avec	PRE	ovesqe	
lez	lez	PRE	léz	
encuntre	encontre	PRE	encúntre	
countre	contre	PRE	countré	
countre	contre	PRE	countree	
environ	environ	PRE	envyron	
entur	entour	PRE	entúr	
jesque	jusque	PRE	jésque	
jesque	jesque	PRE	jésque	
jesqes	jusque	PRE	jesqes	
depuiz	depuis	PRE	depuiz	
jusquez	jusque	PRE	jusquez	
amunt	amont	PRE	ámúnt	
contremount	contremont	PRE	contremount	
derer	derrière	PRE	derrer	
desus	dessus	PRE	desús	
el	en.le	PRE	él	
desus	desus	PRE	desús	
desure	dessure	PRE	desúre	
el	en.lequel	PRE	él	
desure	desor	PRE	desúre	
el	en+le	PRE	él	
desuis	dessus	PRE	desuis	
al	le	PRE	ál	
al	en+le	PRE	ál	
as	a	PRE	ás	
amunt	amont	PRE	amúnt	
nonobstans	nonobstant	PRE	nonobstans	
puis	puis	PRE	púis	
el	en	PRE	él	
selum	selonc	PRE	sellúm	
as	à	PRE	ás	
as	à.le	PRE	ás	
pues	puis	PRE	puès	
eus	en+le	PRE	eüx	
hors	hors	PRE	hórs	
horz	hors	PRE	horz	
chies	chiés	PRE	chiex	
as	le	PRE	ás	
puis	puis	PRE	puís	
as	en+le	PRE	ás	
chiex	chez	PRE	chiex	
desuz	dessus	PRE	desúz	
as	avoir	PRE	ás	
desuz	dessous	PRE	desúz	
desuz	desoz	PRE	desúz	
amounte	amont	PRE	amounte	
el	el	PRE	él	
desutz	dessus	PRE	desutz	
desous	dessous	PRE	dessoux	
al	à.lequel	PRE	ál	
desous	desoz	PRE	dessoux	
ele	en+le	PRE	éle	
veez	voilà	PRE	vééz	
od	o	PRE	ód	
desouthe	dessous	PRE	desouthe	
sous	sous	PRE	soux	
apres	après	PRE	apprés	
veez	voici	PRE	vééz	
despuis	depuis	PRE	despuis	
sous	soz	PRE	soux	
apres	apres	PRE	apprés	
vus	vu	PRE	vús	
estre	être	PRE	éstre	
affait	à	PRE	affait	
aval	aval	PRE	ávál	
estre	estre	PRE	éstre	
contremonlt	contremont	PRE	contremonlt	
ava	avant	PRE	avá	
al	à.le	PRE	ál	
despuys	depuis	PRE	despuys	
despuis	depuis	PRE	despuys	
ches	chiés	PRE	chex	
al	a	PRE	ál	
ches	chez	PRE	chex	
chex	chez	PRE	chex	
dous	de+le	PRE	dóus	
dessous	dessous	PRE	dessoux	
aprés	après	PRE	apprés	
dous	de+le	PRE	doús	
arière	arrière	PRE	arière	
dessous	desoz	PRE	dessoux	
porce	pour	PRE	porce	
dessoux	dessous	PRE	dessoux	
appres	après	PRE	apprés	
desoux	dessous	PRE	dessoux	
ariere	arrière	PRE	arière	
segond	second	PRE	segond	
entreulz	entre-eux	PRE.PROper	entreulz	
entreulx	entre-eux	PRE.PROper	entreulx	
entreuls	entre-eux	PRE.PROper	entreulx	
entreux	entre-eux	PRE.PROper	entreux	
