form	lemma_def	pos	type	feats	src_mot
aagiés	âger	VERppe	participe passe	_	
aaisiers	aaiser	VERinf	infinitif	_	
aaisiers	aiser	VERinf	infinitif	_	
aaisse	aaiser	VERcjg	conjugue	_	
aaisse	ardre	VERcjg	conjugue	_	
aaisse	être	VERcjg	conjugue	_	
aaisse	haïr	VERcjg	conjugue	_	
aaisse	issir	VERcjg	conjugue	_	
aaroient	arer	VERcjg	conjugue	_	
aaroient	avoir	VERcjg	conjugue	_	
aasiéz	aaiser	VERppe	participe passe	_	
aasiéz	aiser	VERppe	participe passe	_	
aasiéz	âger	VERppe	participe passe	_	
aaste	ester	VERcjg	conjugue	_	
aaste	hâter	VERcjg	conjugue	_	
aaste	aatir	VERcjg	conjugue	_	
aaste	ardre	VERcjg	conjugue	_	
aaste	avoir	VERcjg	conjugue	_	
aatisoit	attiser	VERcjg	conjugue	_	
aatisoit	aatir	VERcjg	conjugue	_	
abacuth	abattre	VERppe	participe passe	_	
abacuth	abaisser	VERppe	participe passe	_	
abaissed	abaisser	VERcjg	conjugue	_	
abaissee	abaisser	VERppe	participe passe	_	
abaissiés	abaisser	VERppe	participe passe	_	
abandonna	abandonner	VERcjg	conjugue	VerbForm=Fin	
abandonnassent	abandonner	VERcjg	conjugue	_	
abandonnast	abandonner	VERcjg	conjugue	VerbForm=Fin	
abandonnastes	abandonner	VERcjg	conjugue	VerbForm=Fin	
abandonne	abandonner	VERcjg	conjugue	_	
abandonnée	abandonner	VERppe	participe passe	_	
abandonner	abandonner	VERinf	infinitif	_	
abandonnerent	abandonner	VERcjg	conjugue	VerbForm=Fin	
abandonneroit	abandonner	VERcjg	conjugue	_	
abandonnés	abandonner	VERppe	participe passe		
abandonnés	abandonner	VERcjg	conjugue		
abandonnez	abandonner	VERppe	participe passe	_	
abandonnéz	abandonner	VERppe	participe passe	_	
abandunad	abandonner	VERcjg	conjugue	_	
abandune	abandonner	VERcjg	conjugue	_	
abandunent	abandonner	VERcjg	conjugue	VerbForm=Fin	
abandunet	abandonner	VERcjg	conjugue	VerbForm=Fin	
abaptre	abattre	VERcjg	conjugue	_	
abaterái	abattre	VERcjg	conjugue	_	
abatid	abattre	VERcjg	conjugue	_	
abatíd	abattre	VERcjg	conjugue	_	
abatied	abattre	VERcjg	conjugue	VerbForm=Fin	
abatier	abaisser	VERinf	infinitif	_	
abatiet	abaisser	VERcjg	conjugue	_	
abatírent	abattre	VERcjg	conjugue	_	
abatit	abattre	VERcjg	conjugue	_	
ábatre	abattre	VERinf	infinitif	_	
abatreit	abattre	VERcjg	conjugue	VerbForm=Fin	
abattre	abattre	VERinf	infinitif	_	
abatud	abattre	VERppe	participe passe	_	
abaty	abattre	VERppe	participe passe	_	
abaubiz	abaubir	VERppe	participe passe	_	
abbaie	aboyer	VERcjg	conjugue	_	
abbatus	abattre	VERppe	participe passe	_	
abbaye	aboyer	VERppe	participe passe	_	
abbaye	abéer	VERppe	participe passe	_	
abbayé	aboyer	VERppe	participe passe	_	
abbayez	aboyer	VERcjg	conjugue	_	
abbregier	abréger	VERinf	infinitif	_	
