	form	lemma_pos	cognates	TL:	DMF:	FEW:	Gdf:
0	chaitivíer	chaitivier (s.xii2)__s.	['FEW: 2/i,330a captivus', 'Gdf: 2,38b chaitivier', 'TL: 2,173 chaitivier']	chaitivier		/ia captivus	b chaitivier
1	chelidonius	celidoine (s.xii1/3)__s.	['FEW: 2/i,634a chelidonia', 'DMF:  chélidoine']		chélidoine	/ia chelidonia	
2	clamíve	clamif (s.xii)__s.	['FEW: 2/i,730a clamare', 'TL: 2,460 clamif', 'DMF:  clamif']	clamif	clamif	/ia clamare	
3	compotistïen	compotistien (1113-19)__s.	['FEW: *2/ii,997b comp?tus', 'Gdf: 2,212c compotistien', 'TL: 2,637 compotistiien']	compotistiien		*/iib comp?tus	c compotistien
4	cumfermeisun	confermeison (c.1174)__s.	['FEW: 2/ii,1035b confirmare', 'Gdf: 2,231c confermaison', 'TL: 2,673 confermaison']	confermaison		/iib confirmare	c confermaison
5	cummúe	commoveir (s.xii¼)__v.a.	['FEW: 2/ii,959a commovere', 'Gdf: 2,196c commovoir', 'TL: 2,611 comovoir', 'DMF:  commouvoir']	comovoir	commouvoir	/iia commovere	c commovoir
6	cúmpás	compas (s.xii3/4)__s.	['FEW: 2/ii,972a compassare', 'Gdf: 2,204a compas', 'TL: 2,622 compas', 'DMF:  compas']	compas	compas	/iia compassare	a compas
7	cundúistrent	conduire (s.xii¼)__v.a.	['FEW: 2/ii,1023a conducere', 'Gdf: 2,227b conduire 1', 'TL: 2,665 conduire', 'DMF:  conduire']	conduire	conduire	/iia conducere	b conduire
8	cunjúreisun	conjuraisoun (s.xii3/4)__s.	['FEW: 2/ii,1056a conjurare', 'Gdf: 2,241a conjuroison', 'TL: 2,698 conjuracïon', 'DMF:  conjuraison']	conjuracïon	conjuraison	/iia conjurare	a conjuroison
9	cunjuréisun	conjuraisoun (s.xii3/4)__s.	['FEW: 2/ii,1056a conjurare', 'Gdf: 2,241a conjuroison', 'TL: 2,698 conjuracïon', 'DMF:  conjuraison']	conjuracïon	conjuraison	/iia conjurare	a conjuroison
10	desfaciún	desfaçun (s.xii2)__s.	['FEW: 3,356a facies /3,360a factio', 'Gdf: 2,582b desfacion', 'TL: 2,1577 desfacïon /2,1577 desfaçon', 'DMF:  desfaçon']	desfacïon / desfaçon	desfaçon	a facies /a factio	b desfacion
11	domini	dominical (1216-25)__a.	['FEW: *3,129b dominicus', 'DMF:  dominical']		dominical	*b dominicus	
12	domini	dominik (a.1382)__s.	['FEW: *3,129b dominicus', 'Gdf: 2,742b dominice']			*b dominicus	b dominice
13	effectu	effectuel (1364-65)__a.	['FEW: *3,205b effectus', 'Gdf: 3,8a effectuel', 'TL: 3,18 efectüel', 'DMF:  effectuel']	efectüel	effectuel	*b effectus	a effectuel
14	eissifaiterement	issifaiterement (s.xii1/3)__adv.	['FEW: *3,346b facere', 'Gdf: 3,708c faitierement', 'TL: 4,1479 issifaitierement']	issifaitierement		*b facere	c faitierement
15	ellepas	ignelepas (s.xii1/4)__adv.	['FEW: 17,159b *snel', 'Gdf: 4,615c isnel le pas', 'TL: 4,1472 isnel (isnel le pas)', 'DMF:  isnel (isnel (le) pas)']	isnel (isnel le pas)	isnel (isnel (le) pas)	b *snel	c isnel le pas
