	prefixe	word	root	ofr_root_form	ofr_root_lemma	ofr_root_pos	lemma_def
0	ab	abaissiés	aissiés	aissiés	aissié___11355__1	nc	_
1	ab	abanz	anz	anz	anter___79600__1__1	v	avoir
2	ab	abanz	anz	anz	anter___79600__1__1	v	avancer
3	ab	abbaie	baie	baie	baiier___748336__1__1	v	aboyer
4	ab	abbaissement	baissement	baissement	baissement___13154__1	nc	abaissement
5	ab	abbees	bees	bees	bee___13449__1	nc	abbaye
6	ab	abbees	bees	bees	bee___13449__1	nc	abbé
7	ab	abbeis	beis	beis	beisier___748490__1__1	v	_
8	ab	abbesse	besse	besse	besser___79971__1__1	v	_
9	ab	abbesses	besses	besses	besser___79971__1__1	v	_
10	ab	abbez	bez	bez	beter___60903__1__1	v	_
11	ab	abbit	bit	bit	biier___748557__1__1	v	_
12	ab	abbregier	bregier	bregier	bregier___14259__1	nc	_
13	ab	abeisse	eisse	eisse	eisse___99999__1	nc	_
14	ab	abeit	eit	eit	eit___99999__1	nc	abbé
15	ab	abestira	estira	estira	estirer___754354__1__1	v	abêtir
16	ab	aboier	oier	oier	oier___74098__1__1	v	aboyer
17	ab	abrahant	rahant	rahant	rahaner___57953__1__1	v	abrier
18	ab	abrahant	rahant	rahant	rahaner___57953__1__1	v	avoir
19	ab	abrevoir	revoir	revoir	revoir___59213__1__1	v	_
20	ab	absoille	soille	soille	soillier___59651__1__1	v	_
21	ab	absoloit	soloit	soloit	soluer___59678__1__1	v	_
22	ab	absols	sols	sols	solfer___59669__1__1	v	_
23	ab	absolut	solut	solut	soluer___59678__1__1	v	absoudre
24	ab	absouldre	souldre	souldre	souldre___59883__1__1	v	absoudre
25	ab	abusee	usee	usee	usee___999999__1__1	v	abuser
26	ac	accart	cart	cart	carter___749091__1__1	v	_
27	ac	accointance	cointance	cointance	cointance___16531__1	nc	accointance
28	ac	accointes	cointes	cointes	cointier___749607__1__1	v	accointer
29	ac	accolle	colle	colle	colle___16595__1	nc	_
30	ac	accompaigna	compaigna	compaigna	compaigner___749687__1__1	v	accompagner
31	ac	accompaigner	compaigner	compaigner	compaigner___749687__1__1	v	accompagner
32	ac	accompaignier	compaignier	compaignier	compaignier___749688__1__1	v	_
33	ac	accomplir	complir	complir	complir___749714__1__1	v	accomplir
34	ac	accomplissement	complissement	complissement	complissement___16785__1	nc	accomplissement
